Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Anthony Johnson,34.1,ORL,Point,277,41,-1.3,43,-0.2,56,+0.2%,28,+2.2%,32,-3.2,35,-1.3,42,-9.6
Joe Johnson,27.3,ATL,Wing,428,16,-8.3,34,-2.8,20,-5.4%,92,-4.6%,20,-5.8,90,+4.8,2,-82.4
Dahntay Jones,27.8,DEN,Wing,262,23,-5.4,45,-0.2,37,-2.6%,56,-0.6%,28,-3.9,36,-1.3,32,-15.5
James Jones,28.1,MIA,Wing,234,83,+10.1,91,+13.1,31,-3.6%,33,+1.3%,62,+1.7,53,+0.5,59,+10.1
Jason Kidd,35.6,DAL,Point,386,26,-4.5,25,-5.7,67,+2.5%,91,-4.4%,91,+11.7,64,+1.1,96,+75.0
Andrei Kirilenko,27.7,UTA,Forward,135,25,-5.2,64,+3.4,39,-2.6%,32,+1.5%,13,-8.7,83,+3.8,3,-79.2
Linas Kleiza,23.8,DEN,Forward,181,44,+0.1,16,-8.6,58,+0.3%,41,+0.6%,74,+4.2,29,-1.8,87,+38.0
Kyle Korver,27.6,UTA,Wing,136,65,+4.2,44,-0.2,41,-2.3%,83,-3.0%,88,+10.2,89,+4.8,82,+29.2
Carl Landry,25.1,HOU,Big,220,61,+3.6,76,+7.6,34,-3.1%,52,-0.5%,45,-1.3,28,-2.2,59,+11.4
Courtney Lee,23.1,ORL,Wing,548,67,+4.9,59,+3.1,55,+0.0%,67,-1.3%,81,+5.0,66,+1.4,76,+23.2
Rashard Lewis,29.2,ORL,Big,983,53,+1.7,73,+6.6,9,-7.8%,59,-0.8%,23,-4.8,27,-2.2,35,-12.3
Kyle Lowry,22.6,HOU,Point,228,34,-3.5,48,+0.4,28,-4.0%,77,-2.5%,4,-11.6,14,-4.8,14,-40.4
Stephon Marbury,31.7,BOS,Combo,156,4,-13.6,11,-10.6,8,-8.5%,23,+2.8%,17,-6.6,11,-6.2,54,+6.4
Kenyon Martin,30.8,DEN,Big,536,20,-6.3,66,+3.8,18,-5.8%,16,+3.4%,25,-4.4,30,-1.7,41,-9.8
Roger Mason Jr.,28.1,SAS,Wing,108,75,+7.0,78,+7.9,87,+6.0%,8,+4.7%,78,+4.6,66,+1.3,83,+32.5
Antonio McDyess,34.2,DET,Big,135,3,-14.6,38,-1.8,4,-10.5%,0,+12.9%,1,-17.5,2,-10.7,5,-68.1
Andre Miller,32.6,PHI,Point,257,43,-0.8,8,-12.3,30,-3.7%,78,-2.6%,85,+5.6,84,+3.9,64,+13.0
Brad Miller,32.6,CHI,Big,185,71,+5.4,55,+1.9,14,-6.4%,91,-4.1%,18,-5.9,23,-2.5,24,-22.3
Paul Millsap,23.7,UTA,Big,155,45,+0.2,46,+0.2,88,+6.2%,49,-0.2%,72,+3.9,92,+5.0,45,-7.7
Ronald Murray,29.3,ATL,Combo,323,85,+11.5,68,+4.4,75,+3.7%,17,+3.3%,43,-1.7,34,-1.4,49,-0.9
Joakim Noah,23.7,CHI,Big,271,9,-10.6,10,-11.2,22,-5.0%,13,+3.6%,42,-1.7,61,+0.9,31,-15.6
Dirk Nowitzki,30.4,DAL,Big,393,70,+5.4,83,+10.4,24,-4.4%,81,-2.8%,84,+5.5,80,+3.5,52,+4.8
Jermaine O'Neal,30.1,MIA,Big,161,73,+5.9,81,+9.1,16,-6.0%,29,+2.1%,61,+1.6,49,+0.0,60,+11.4
Lamar Odom,29.0,LAL,Big,733,84,+10.2,93,+14.4,77,+4.0%,47,+0.1%,47,-1.0,71,+2.0,27,-20.7
Travis Outlaw,24.1,POR,Forward,166,57,+2.5,29,-4.4,90,+6.3%,93,-4.9%,82,+5.2,77,+2.6,65,+13.6
Zaza Pachulia,24.7,ATL,Big,249,77,+7.8,82,+9.2,92,+6.6%,20,+2.9%,26,-4.1,50,+0.0,23,-24.7
Tony Parker,26.5,SAS,Point,181,97,+21.7,96,+18.8,10,-7.3%,87,-3.4%,40,-2.1,56,+0.6,22,-25.0
Chris Paul,23.5,NOH,Point,201,99,+26.7,98,+22.6,5,-10.2%,28,+2.3%,9,-10.1,0,-21.5,86,+35.0
Kendrick Perkins,24.0,BOS,Big,511,37,-2.9,51,+0.6,62,+1.3%,72,-1.6%,36,-2.5,81,+3.5,10,-52.9
Paul Pierce,31.1,BOS,Wing,555,66,+4.8,47,+0.3,26,-4.1%,40,+0.6%,39,-2.3,22,-3.0,55,+7.3
Mickael Pietrus,26.7,ORL,Wing,609,53,+1.8,40,-1.5,82,+5.0%,44,+0.3%,69,+2.6,59,+0.7,62,+12.2
James Posey,31.8,NOH,Wing,113,12,-9.8,3,-16.0,71,+3.0%,97,-6.6%,71,+3.0,47,-0.4,78,+25.0
Tayshaun Prince,28.7,DET,Forward,128,5,-11.5,20,-7.1,42,-2.2%,10,+4.1%,5,-10.5,19,-3.9,6,-64.3
Joel Przybilla,29.1,POR,Big,161,47,+0.7,74,+6.7,81,+4.3%,54,-0.5%,14,-8.3,26,-2.3,16,-37.5
JJ Redick,24.4,ORL,Combo,320,30,-3.9,32,-3.8,47,-1.1%,73,-1.8%,53,-0.0,69,+1.5,33,-14.0
Rajon Rondo,22.7,BOS,Point,576,89,+12.4,80,+9.1,91,+6.5%,99,-7.7%,83,+5.5,94,+7.0,21,-29.2
Derrick Rose,20.1,CHI,Point,313,64,+4.1,72,+6.0,29,-3.9%,74,-1.9%,51,-0.4,17,-4.2,77,+24.9
Brandon Roy,24.3,POR,Wing,237,98,+21.9,97,+22.4,7,-8.7%,34,+1.3%,29,-3.5,7,-7.0,78,+25.0
John Salmons,28.9,CHI,Wing,312,17,-7.6,39,-1.8,34,-3.2%,1,+6.6%,28,-3.8,8,-6.8,63,+12.5
Brian Scalabrine,30.6,BOS,Forward,240,72,+5.5,79,+8.7,49,-0.9%,27,+2.4%,3,-15.2,16,-4.4,3,-79.8
Luis Scola,28.5,HOU,Big,416,69,+5.0,61,+3.1,46,-1.4%,18,+3.3%,33,-2.9,41,-0.9,37,-11.4
JR Smith,23.1,DEN,Wing,409,51,+1.3,59,+3.0,59,+0.4%,51,-0.3%,19,-5.9,33,-1.5,28,-20.2
Joe Smith,33.3,CLE,Big,205,28,-4.2,47,+0.3,72,+3.0%,30,+2.0%,66,+2.1,40,-0.9,72,+21.4
Josh Smith,22.9,ATL,Big,409,19,-6.4,9,-11.8,45,-1.6%,84,-3.2%,89,+10.5,47,-0.1,93,+58.6
Peja Stojakovic,31.4,NOH,Forward,162,1,-21.8,1,-17.2,53,-0.2%,15,+3.5%,0,-20.4,1,-10.7,9,-54.4
Rodney Stuckey,22.5,DET,Combo,127,11,-10.1,54,+1.4,2,-15.2%,31,+1.7%,10,-9.8,12,-5.6,11,-44.4
Wally Szczerbiak,31.7,CLE,Wing,134,13,-9.6,37,-2.0,47,-1.0%,26,+2.4%,44,-1.4,52,+0.3,39,-10.3
Jason Terry,31.1,DAL,Wing,322,8,-11.0,12,-10.0,78,+4.2%,43,+0.3%,11,-9.1,72,+2.1,1,-92.9
Tyrus Thomas,22.2,CHI,Big,187,18,-7.2,24,-6.2,84,+5.6%,46,+0.1%,48,-0.9,32,-1.7,51,+4.0
Hedo Turkoglu,29.6,ORL,Wing,931,59,+2.9,78,+8.1,25,-4.2%,19,+3.0%,8,-10.1,9,-6.3,41,-9.9
Anderson Varejao,26.1,CLE,Big,419,78,+8.2,41,-0.5,32,-3.5%,95,-5.7%,30,-3.5,73,+2.2,15,-40.2
Sasha Vujacic,24.7,LAL,Combo,235,42,-0.9,21,-7.0,80,+4.3%,53,-0.5%,76,+4.2,34,-1.3,84,+33.5
Dwyane Wade,26.8,MIA,Wing,284,95,+14.9,92,+13.7,97,+8.6%,98,-7.7%,47,-1.0,93,+6.0,0,-116.7
Von Wafer,23.3,HOU,Wing,164,6,-11.2,27,-5.4,19,-5.6%,64,-1.1%,7,-10.1,13,-5.0,20,-29.2
Ben Wallace,34.1,CLE,Big,176,14,-9.2,36,-2.2,73,+3.5%,16,+3.4%,73,+4.0,60,+0.9,73,+21.5
Rasheed Wallace,34.1,DET,Big,121,2,-19.8,18,-8.3,3,-11.2%,22,+2.8%,3,-13.7,9,-6.7,4,-73.6
Luke Walton,28.6,LAL,Wing,316,50,+1.0,28,-4.5,74,+3.6%,21,+2.9%,79,+4.7,42,-0.8,84,+32.6
David West,28.2,NOH,Big,178,100,+28.4,100,+29.1,44,-1.6%,2,+6.0%,53,-0.1,3,-9.6,91,+50.7
Delonte West,25.3,CLE,Combo,589,56,+2.5,65,+3.5,1,-16.2%,48,-0.1%,37,-2.5,10,-6.3,66,+17.1
Deron Williams,24.4,UTA,Point,210,7,-11.1,15,-8.7,15,-6.3%,96,-6.3%,15,-8.2,63,+1.1,7,-62.5
Lou Williams,22.0,PHI,Combo,148,52,+1.6,77,+7.8,89,+6.2%,82,-3.0%,16,-6.9,25,-2.3,16,-37.7
Mo Williams,25.9,CLE,Point,540,84,+10.5,88,+12.0,72,+3.4%,65,-1.2%,66,+2.3,28,-2.2,80,+26.2
Metta World Peace,29.0,HOU,Forward,487,78,+8.2,69,+4.6,57,+0.2%,5,+4.8%,59,+1.3,62,+1.0,47,-2.9
Antoine Wright,24.7,DAL,Wing,151,40,-2.0,58,+2.5,51,-0.3%,37,+0.9%,22,-4.9,22,-2.7,43,-9.2
Yao Ming,28.1,HOU,Big,322,59,+3.1,50,+0.5,66,+2.0%,86,-3.4%,96,+14.2,95,+7.8,79,+26.0
Thaddeus Young,20.4,PHI,Forward,229,35,-3.2,4,-13.8,38,-2.6%,76,-2.5%,60,+1.3,46,-0.5,66,+15.0
