Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Marcus Smart,28.7,BOS,Point,668,61,-3.1,62,-1.7,67,-1.6%,76,+1.8%,78,-4.5,65,-1.2,77,-20.0
Klay Thompson,32.7,GSW,Wing,467,62,-3.2,54,-1.0,29,+3.8%,19,-3.2%,33,+3.6,30,+2.9,48,+1.7
Karl-Anthony Towns,27.0,MIN,Big,249,58,-1.9,8,+11.8,100,-14.7%,86,+2.8%,99,-18.5,98,-9.1,88,-28.3
PJ Tucker,37.5,PHI,Big,292,8,+10.3,28,+5.4,63,-1.0%,21,-3.1%,9,+11.4,22,+4.0,5,+60.9
Russell Westbrook,34.0,LAC,Point,192,20,+6.9,53,-0.8,60,-0.7%,23,-2.9%,4,+15.4,14,+5.4,4,+63.1
Andrew Wiggins,27.7,GSW,Forward,441,84,-8.7,92,-13.0,32,+3.4%,27,-2.1%,80,-4.9,42,+1.5,93,-41.5
Cody Zeller,30.1,MIA,Big,163,42,+1.3,45,+1.2,1,+11.9%,47,-0.3%,54,+0.2,33,+2.5,63,-12.3
Ivica Zubac,25.6,LAC,Big,129,13,+8.6,4,+13.2,97,-11.9%,29,-2.0%,71,-3.3,94,-6.4,14,+30.8
Gary Payton II,29.9,GSW,Wing,170,4,+16.0,8,+11.3,26,+4.2%,94,+4.7%,13,+9.1,28,+3.3,13,+31.3
Torrey Craig,31.9,PHX,Forward,177,69,-5.2,90,-11.4,28,+3.8%,33,-1.7%,67,-2.2,84,-3.5,34,+9.4
Josh Hart,27.7,NYK,Wing,352,8,+10.5,7,+12.0,38,+2.3%,78,+1.9%,92,-8.3,68,-1.7,93,-41.3
Bam Adebayo,25.3,MIA,Big,925,78,-7.3,75,-6.0,96,-11.5%,42,-0.8%,73,-3.8,78,-3.0,55,-3.7
John Collins,25.1,ATL,Big,186,98,-19.9,100,-26.6,56,-0.2%,55,+0.2%,36,+3.2,53,+0.6,18,+20.8
Dillon Brooks,26.8,MEM,Wing,167,44,+1.0,27,+5.7,64,-1.2%,71,+1.6%,23,+5.3,52,+0.6,21,+20.2
Jayson Tatum,24.7,BOS,Forward,797,78,-7.2,70,-4.5,91,-7.7%,50,-0.1%,81,-5.0,56,+0.1,91,-35.3
Malik Monk,24.7,SAC,Wing,205,83,-8.2,63,-2.3,93,-9.5%,58,+0.4%,73,-3.5,91,-5.5,23,+18.0
Bogdan Bogdanovic,30.2,ATL,Wing,182,72,-6.1,57,-1.3,23,+4.4%,98,+8.0%,68,-2.8,47,+1.1,92,-35.4
De'Aaron Fox,24.9,SAC,Point,269,5,+13.9,3,+14.8,19,+5.0%,90,+4.0%,42,+1.9,41,+1.5,47,+2.2
Derrick White,28.3,BOS,Combo,590,23,+6.4,34,+2.8,15,+5.3%,28,-2.1%,37,+3.1,19,+4.6,71,-17.1
Jarrett Allen,24.5,CLE,Big,190,1,+20.2,28,+5.5,48,+0.8%,33,-1.7%,0,+20.1,16,+5.3,2,+70.0
Luke Kennard,26.4,MEM,Combo,106,75,-7.0,72,-5.0,94,-9.9%,93,+4.6%,98,-15.6,98,-9.5,66,-12.9
Donovan Mitchell,26.1,CLE,Combo,206,14,+8.2,88,-10.9,6,+8.8%,54,+0.1%,1,+19.5,0,+15.9,36,+8.7
Royce O'Neale,29.4,BKN,Wing,118,50,+0.2,71,-5.0,18,+5.1%,61,+0.8%,5,+13.7,4,+8.0,43,+4.7
Kevin Huerter,24.2,SAC,Wing,184,98,-16.8,98,-22.3,41,+1.7%,18,-3.3%,79,-4.6,33,+2.5,94,-44.3
Trae Young,24.1,ATL,Point,266,87,-10.0,97,-19.8,28,+3.8%,1,-9.3%,10,+11.1,67,-1.4,0,+94.0
Robert Williams,25.0,BOS,Big,410,17,+7.4,33,+3.3,40,+1.8%,36,-1.5%,31,+3.9,38,+1.9,33,+9.8
Michael Porter,24.3,DEN,Wing,647,49,+0.2,23,+6.8,85,-6.0%,40,-1.0%,57,-0.6,62,-0.3,53,-2.4
Jaren Jackson,23.1,MEM,Big,220,77,-7.1,85,-9.0,17,+5.1%,3,-7.1%,2,+19.0,13,+5.7,3,+66.5
Donte DiVincenzo,25.7,GSW,Wing,207,43,+1.1,68,-4.2,71,-2.4%,45,-0.6%,34,+3.3,63,-0.4,18,+22.6
Josh Okogie,24.2,PHX,Forward,174,23,+6.2,29,+4.2,4,+9.6%,24,-2.7%,6,+12.9,24,+3.6,9,+42.2
Landry Shamet,25.6,PHX,Combo,177,28,+4.9,17,+8.1,72,-2.6%,73,+1.6%,35,+3.3,59,-0.1,22,+19.0
Deandre Ayton,24.3,PHX,Big,319,57,-1.2,33,+3.2,53,+0.1%,28,-2.0%,82,-5.4,63,-0.5,79,-21.0
Mikal Bridges,26.2,BKN,Wing,157,2,+19.6,3,+15.0,43,+1.2%,100,+13.3%,93,-9.0,100,-15.9,7,+56.2
Lonnie Walker,23.9,LAL,Wing,154,22,+6.5,1,+16.2,48,+0.7%,92,+4.2%,87,-7.2,73,-2.5,88,-27.9
Grayson Allen,27.1,MIL,Wing,149,73,-6.4,43,+1.5,61,-0.8%,0,-10.1%,72,-3.4,7,+7.5,100,-127.8
Troy Brown,23.3,LAL,Forward,117,29,+4.8,73,-5.1,16,+5.1%,41,-0.9%,50,+1.0,35,+2.4,56,-5.8
Jalen Brunson,26.2,NYK,Point,442,7,+12.1,2,+15.9,93,-8.5%,70,+1.6%,77,-4.3,64,-1.1,74,-18.4
Isaiah Hartenstein,24.5,NYK,Big,213,36,+2.3,42,+1.7,9,+7.4%,63,+1.0%,60,-1.2,68,-1.7,44,+3.8
Jarred Vanderbilt,23.6,LAL,Big,269,46,+0.5,63,-2.5,68,-2.0%,26,-2.2%,62,-1.5,89,-4.4,26,+15.6
Bruce Brown,26.2,DEN,Wing,528,60,-2.7,59,-1.4,65,-1.3%,68,+1.3%,65,-2.1,74,-2.5,48,+1.8
Mitchell Robinson,24.6,NYK,Big,298,54,-0.4,47,+0.5,89,-7.3%,48,-0.2%,39,+2.8,37,+2.3,46,+2.3
De'Anthony Melton,24.4,PHI,Combo,269,82,-8.1,84,-8.5,23,+4.4%,99,+8.1%,95,-10.6,95,-6.4,90,-33.1
Duncan Robinson,28.5,MIA,Wing,391,41,+1.3,67,-4.1,27,+4.1%,69,+1.5%,44,+1.6,58,+0.0,33,+10.0
Haywood Highsmith,25.9,MIA,Big,144,31,+4.0,46,+1.1,78,-4.3%,88,+3.5%,69,-2.9,88,-4.1,31,+11.1
Ja Morant,23.2,MEM,Point,187,38,+1.5,31,+3.8,62,-1.0%,32,-1.7%,20,+6.3,60,-0.1,13,+30.8
RJ Barrett,22.4,NYK,Wing,375,27,+5.4,14,+8.8,92,-7.9%,8,-4.9%,24,+5.0,36,+2.4,24,+16.4
DeAndre Hunter,24.9,ATL,Forward,246,48,+0.3,39,+2.4,95,-10.1%,64,+1.1%,88,-7.4,97,-6.6,18,+20.8
Darius Garland,22.8,CLE,Point,188,63,-3.3,38,+2.5,73,-3.0%,13,-4.0%,3,+18.4,18,+4.8,3,+65.0
Rui Hachimura,24.7,LAL,Forward,408,59,-1.9,55,-1.0,47,+0.8%,78,+1.9%,53,+0.4,51,+0.8,49,+0.0
Cameron Johnson,26.7,BKN,Forward,151,73,-6.7,74,-5.7,69,-2.1%,10,-4.2%,66,-2.2,69,-1.8,45,+2.5
Nickeil Alexander-Walker,24.2,MIN,Wing,206,85,-8.9,57,-1.3,83,-5.6%,52,+0.0%,70,-3.2,93,-5.7,15,+24.0
Grant Williams,23.9,BOS,Big,237,6,+13.7,9,+11.2,58,-0.5%,84,+2.2%,21,+6.1,26,+3.4,29,+13.6
Jordan Poole,23.4,GSW,Combo,270,56,-0.8,38,+2.4,81,-4.8%,72,+1.6%,63,-1.7,83,-3.5,25,+15.8
Nicolas Claxton,23.5,BKN,Big,116,80,-7.6,81,-7.4,76,-3.9%,93,+4.4%,85,-6.8,93,-6.4,28,+14.9
Terance Mann,26.0,LAC,Combo,132,94,-13.2,96,-17.1,3,+10.1%,87,+3.3%,58,-1.0,43,+1.3,76,-19.7
Caleb Martin,27.1,MIA,Forward,737,63,-3.5,78,-7.1,10,+7.2%,59,+0.4%,19,+6.5,25,+3.6,27,+15.0
Max Strus,26.6,MIA,Wing,707,65,-3.6,35,+2.8,84,-5.8%,46,-0.4%,83,-5.4,80,-3.0,61,-10.7
Gabe Vincent,26.4,MIA,Combo,716,74,-6.7,50,-0.6,80,-4.6%,74,+1.7%,78,-4.4,79,-3.0,57,-6.5
Anthony Edwards,21.2,MIN,Wing,279,3,+16.2,25,+6.3,3,+9.8%,98,+5.9%,22,+6.0,8,+7.1,83,-24.4
Onyeka Okongwu,21.9,ATL,Big,150,18,+7.4,12,+9.1,22,+4.7%,88,+3.7%,14,+8.9,12,+6.3,58,-7.9
Obi Toppin,24.7,NYK,Big,167,64,-3.5,60,-1.5,74,-3.1%,83,+2.1%,84,-5.7,83,-3.4,70,-16.0
Saddiq Bey,23.6,ATL,Forward,166,0,+23.0,0,+24.9,49,+0.6%,39,-1.0%,68,-2.4,54,+0.4,84,-24.7
Tyrese Maxey,22.0,PHI,Combo,419,76,-7.1,43,+1.4,99,-14.3%,7,-5.5%,16,+7.7,48,+1.1,8,+54.7
Immanuel Quickley,23.4,NYK,Combo,171,97,-16.5,95,-17.0,2,+10.2%,60,+0.5%,18,+6.9,9,+7.0,54,-2.6
Desmond Bane,24.4,MEM,Wing,231,53,-0.3,53,-0.8,30,+3.7%,2,-8.6%,3,+15.5,2,+12.9,80,-21.1
Xavier Tillman,23.8,MEM,Big,183,92,-12.3,69,-4.2,31,+3.7%,96,+5.0%,98,-15.2,43,+1.4,99,-90.4
Paul Reed,23.4,PHI,Big,145,33,+2.5,82,-7.4,7,+8.6%,79,+1.9%,38,+3.1,18,+4.7,62,-11.1
Evan Mobley,21.4,CLE,Big,187,100,-30.8,99,-24.8,66,-1.5%,8,-4.9%,11,+10.6,3,+10.9,67,-13.0
Davion Mitchell,24.2,SAC,Combo,138,68,-4.3,76,-6.0,63,-1.1%,38,-1.0%,26,+5.0,45,+1.2,23,+19.0
Moses Moody,20.4,GSW,Wing,135,39,+1.5,36,+2.7,88,-6.7%,57,+0.3%,76,-4.3,90,-4.6,41,+6.4
Quentin Grimes,22.5,NYK,Wing,240,71,-5.6,83,-7.5,57,-0.4%,57,+0.3%,48,+1.2,82,-3.4,12,+32.5
Jock Landale,27.0,PHX,Big,106,79,-7.5,65,-2.9,73,-2.8%,97,+5.3%,74,-3.8,46,+1.2,86,-26.1
Austin Reaves,24.4,LAL,Wing,617,88,-10.7,86,-9.2,77,-4.0%,51,-0.0%,43,+1.9,55,+0.3,38,+8.3
Keegan Murray,22.2,SAC,Forward,191,43,+1.0,52,-0.8,13,+6.0%,23,-3.0%,48,+1.4,20,+4.5,78,-20.2
Christian Braun,21.5,DEN,Combo,243,37,+2.0,77,-6.2,18,+5.0%,67,+1.2%,57,-0.8,57,+0.1,57,-6.2
