Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Jayson Tatum,24.7,BOS,Forward,797,63,+5.0,37,-1.7,70,+2.7%,63,-1.1%,63,+2.4,42,-0.7,73,+20.6
Malik Monk,24.7,SAC,Wing,205,94,+18.6,82,+9.0,90,+7.5%,2,+6.0%,86,+9.2,67,+1.8,91,+40.5
Bogdan Bogdanovic,30.2,ATL,Wing,182,88,+14.1,88,+12.5,28,-4.1%,76,-2.5%,64,+2.6,77,+3.3,35,-5.5
De'Aaron Fox,24.9,SAC,Point,269,91,+17.0,95,+20.1,43,-1.4%,22,+2.1%,31,-3.7,20,-4.0,48,+2.3
Derrick White,28.3,BOS,Combo,590,32,-3.2,30,-4.5,38,-1.9%,71,-1.7%,58,+0.8,61,+0.8,41,-0.9
Jarrett Allen,24.5,CLE,Big,190,90,+16.9,81,+8.8,100,+17.5%,10,+3.4%,100,+18.6,100,+18.5,100,
Luke Kennard,26.4,MEM,Combo,106,98,+30.5,98,+26.2,66,+2.5%,45,+0.2%,60,+1.2,65,+1.5,42,-0.8
Donovan Mitchell,26.1,CLE,Combo,206,99,+33.2,99,+27.5,86,+6.6%,94,-4.3%,80,+6.2,72,+2.6,83,+29.0
Royce O'Neale,29.4,BKN,Wing,118,12,-11.2,1,-16.0,87,+6.8%,11,+3.3%,13,-7.2,56,+0.5,7,-70.0
Kevin Huerter,24.2,SAC,Wing,184,9,-11.9,9,-11.5,33,-2.9%,93,-4.2%,51,-0.3,39,-1.0,50,+3.0
Trae Young,24.1,ATL,Point,266,0,-22.9,0,-16.2,1,-13.8%,35,+0.9%,1,-23.9,0,-14.5,17,-30.8
Robert Williams,25.0,BOS,Big,410,76,+7.6,66,+4.8,72,+3.0%,7,+3.8%,50,-0.5,37,-1.4,57,+8.5
Michael Porter,24.3,DEN,Wing,647,70,+6.4,64,+4.7,58,+1.1%,36,+0.9%,55,+0.4,64,+1.3,38,-4.4
Jaren Jackson,23.1,MEM,Big,220,3,-15.4,15,-8.2,56,+0.6%,26,+1.6%,43,-1.0,23,-3.6,64,+14.0
Donte DiVincenzo,25.7,GSW,Wing,207,22,-6.9,56,+2.7,40,-1.5%,68,-1.5%,32,-3.6,57,+0.6,21,-22.1
Josh Okogie,24.2,PHX,Forward,174,15,-10.6,17,-7.5,91,+7.8%,83,-3.5%,65,+2.6,99,+11.6,8,-57.0
Landry Shamet,25.6,PHX,Combo,177,53,+2.4,70,+6.3,9,-7.3%,33,+1.1%,38,-2.3,21,-3.8,62,+12.4
Deandre Ayton,24.3,PHX,Big,319,33,-3.1,33,-2.7,25,-4.2%,51,-0.1%,77,+5.2,58,+0.7,83,+29.2
Mikal Bridges,26.2,BKN,Wing,157,86,+12.8,29,-4.5,75,+3.8%,92,-4.2%,17,-6.2,43,-0.6,10,-53.8
Lonnie Walker,23.9,LAL,Wing,154,43,-0.4,80,+8.7,3,-12.6%,8,+3.6%,8,-10.8,5,-8.8,53,+4.5
Grayson Allen,27.1,MIL,Wing,149,45,+0.5,53,+2.5,51,-0.2%,27,+1.6%,54,+0.0,36,-1.6,58,+9.1
Troy Brown,23.3,LAL,Forward,117,23,-6.8,38,-1.6,37,-2.0%,34,+1.1%,18,-6.0,33,-2.2,22,-19.8
Jalen Brunson,26.2,NYK,Point,442,100,+36.1,100,+33.9,89,+7.4%,13,+3.2%,73,+4.2,83,+3.8,46,+1.2
Isaiah Hartenstein,24.5,NYK,Big,213,50,+1.8,68,+5.3,38,-2.0%,5,+4.0%,5,-14.2,3,-9.9,18,-24.0
Jarred Vanderbilt,23.6,LAL,Big,269,17,-9.5,4,-14.4,63,+2.3%,81,-2.9%,68,+2.8,75,+3.1,36,-5.4
Bruce Brown,26.2,DEN,Wing,528,38,-2.2,28,-4.8,69,+2.6%,48,+0.0%,61,+1.3,62,+0.8,48,+1.6
Mitchell Robinson,24.6,NYK,Big,298,35,-3.0,22,-6.2,54,+0.4%,79,-2.9%,97,+15.5,97,+9.4,86,+32.8
De'Anthony Melton,24.4,PHI,Combo,269,41,-2.1,45,-0.4,53,+0.2%,60,-0.9%,67,+2.7,84,+4.1,20,-22.4
Duncan Robinson,28.5,MIA,Wing,391,68,+6.4,73,+7.3,80,+4.5%,38,+0.5%,48,-0.7,43,-0.6,43,-0.7
Haywood Highsmith,25.9,MIA,Big,144,36,-2.9,35,-2.0,48,-0.5%,42,+0.4%,33,-3.6,35,-1.6,29,-14.5
Ja Morant,23.2,MEM,Point,187,67,+6.0,28,-4.6,34,-2.4%,98,-5.8%,93,+13.6,88,+5.9,92,+42.3
RJ Barrett,22.4,NYK,Wing,375,13,-10.9,34,-2.0,0,-17.2%,4,+5.1%,9,-9.5,1,-12.2,63,+12.9
DeAndre Hunter,24.9,ATL,Forward,246,73,+6.7,83,+10.0,61,+2.0%,6,+3.8%,15,-6.6,24,-3.4,32,-12.5
Darius Garland,22.8,CLE,Point,188,73,+7.1,20,-6.5,85,+6.4%,53,-0.3%,70,+3.7,48,-0.1,78,+24.2
Rui Hachimura,24.7,LAL,Forward,408,64,+5.1,69,+6.2,23,-4.8%,9,+3.4%,28,-4.2,10,-6.3,79,+24.3
Cameron Johnson,26.7,BKN,Forward,151,71,+6.7,74,+7.3,23,-4.8%,88,-3.9%,28,-4.0,22,-3.6,25,-16.7
Nickeil Alexander-Walker,24.2,MIN,Wing,206,82,+9.0,93,+16.4,55,+0.5%,29,+1.4%,29,-3.8,90,+7.4,3,-86.0
Grant Williams,23.9,BOS,Big,237,48,+1.1,49,+0.9,49,-0.4%,47,+0.0%,68,+3.4,60,+0.8,63,+13.3
Jordan Poole,23.4,GSW,Combo,270,33,-3.0,41,-1.5,8,-7.5%,40,+0.5%,34,-3.3,25,-3.3,40,-1.3
Nicolas Claxton,23.5,BKN,Big,116,57,+3.0,78,+8.3,13,-6.5%,77,-2.7%,74,+4.5,68,+1.9,87,+33.3
Terance Mann,26.0,LAC,Combo,132,93,+18.4,72,+6.8,98,+12.9%,89,-4.1%,98,+17.3,83,+3.8,98,+82.9
Caleb Martin,27.1,MIA,Forward,737,87,+13.2,73,+7.2,94,+8.7%,57,-0.6%,82,+6.5,86,+4.9,61,+12.1
Max Strus,26.6,MIA,Wing,707,26,-5.2,18,-7.1,26,-4.2%,57,-0.6%,57,+0.6,55,+0.5,43,-0.6
Gabe Vincent,26.4,MIA,Combo,716,27,-5.0,55,+2.6,5,-11.3%,13,+2.9%,23,-4.9,18,-4.1,37,-5.0
Anthony Edwards,21.2,MIN,Wing,279,98,+28.8,98,+24.7,68,+2.6%,21,+2.2%,90,+12.8,38,-1.2,98,+79.7
Onyeka Okongwu,21.9,ATL,Big,150,78,+7.7,85,+10.5,43,-1.4%,44,+0.3%,78,+5.3,51,+0.1,77,+23.4
Obi Toppin,24.7,NYK,Big,167,28,-4.9,16,-7.8,53,+0.1%,85,-3.6%,44,-0.9,33,-1.9,52,+4.5
Saddiq Bey,23.6,ATL,Forward,166,79,+8.2,58,+3.2,97,+11.7%,72,-1.8%,98,+15.7,94,+9.0,80,+25.2
Tyrese Maxey,22.0,PHI,Combo,419,83,+9.0,54,+2.6,52,-0.1%,8,+3.8%,13,-6.8,14,-5.4,55,+6.3
Immanuel Quickley,23.4,NYK,Combo,171,16,-9.7,3,-14.5,78,+4.1%,78,-2.8%,53,-0.1,49,-0.1,44,0.0
Desmond Bane,24.4,MEM,Wing,231,40,-2.1,43,-1.3,20,-5.5%,18,+2.5%,93,+13.8,18,-4.2,97,+78.3
Xavier Tillman,23.8,MEM,Big,183,57,+3.5,50,+1.2,12,-6.6%,58,-0.8%,39,-2.1,32,-2.4,45,+0.1
Paul Reed,23.4,PHI,Big,145,66,+5.5,75,+7.7,93,+8.3%,61,-0.9%,78,+5.3,95,+9.0,13,-40.0
Evan Mobley,21.4,CLE,Big,187,54,+2.8,53,+2.1,42,-1.4%,87,-3.9%,57,+0.8,31,-2.5,70,+18.8
Davion Mitchell,24.2,SAC,Combo,138,7,-14.7,2,-15.9,79,+4.2%,86,-3.8%,53,-0.2,79,+3.6,23,-17.6
Moses Moody,20.4,GSW,Wing,135,47,+1.0,57,+3.1,15,-6.1%,23,+2.1%,19,-5.7,28,-3.0,24,-16.8
Quentin Grimes,22.5,NYK,Wing,240,46,+0.7,61,+3.7,21,-5.2%,98,-5.1%,20,-5.1,69,+1.9,16,-32.1
Jock Landale,27.0,PHX,Big,106,60,+3.9,59,+3.3,73,+3.1%,20,+2.2%,11,-8.4,53,+0.3,9,-54.2
Austin Reaves,24.4,LAL,Wing,617,59,+3.8,48,+0.9,95,+9.0%,96,-4.6%,91,+12.8,96,+9.1,59,+10.2
Keegan Murray,22.2,SAC,Forward,191,43,-0.9,68,+5.6,10,-6.9%,59,-0.8%,8,-10.9,39,-1.0,8,-54.5
Christian Braun,21.5,DEN,Combo,243,11,-11.3,12,-9.4,82,+5.1%,43,+0.3%,49,-0.6,57,+0.6,33,-6.6
