Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
JT Thor,19.2,CHA,Forward,190,30,50.0%,96,77%,22,33%,77,50%,49,40%,0,0%,0,27%,3,22%
Matisse Thybulle,24.7,PHI,Wing,1669,83,57.5%,93,76%,16,24%,5,0%,9,23%,38,36%,11,26%,21,31%
Killian Tillie,23.7,MEM,Forward,355,51,52.7%,9,53%,17,31%,0,,18,31%,20,32%,95,41%,78,38%
Xavier Tillman,22.8,MEM,Big,564,5,47.6%,16,60%,65,45%,8,0%,62,44%,0,29%,1,13%,2,16%
Obi Toppin,23.7,NYK,Big,1190,64,58.5%,66,72%,14,29%,58,36%,15,30%,57,35%,17,27%,29,31%
Juan Toscano-Anderson,28.6,GSW,Forward,866,59,53.4%,47,65%,77,46%,32,33%,71,45%,18,31%,12,27%,18,28%
Karl-Anthony Towns,26.0,MIN,Big,2482,69,59.0%,44,67%,85,52%,48,33%,78,47%,58,35%,89,41%,89,41%
Gary Trent Jr.,22.8,TOR,Combo,2441,57,51.2%,35,55%,55,42%,59,41%,56,42%,30,36%,80,39%,69,39%
PJ Tucker,36.5,MIA,Big,1978,59,57.7%,12,58%,83,50%,79,50%,86,50%,77,41%,96,45%,90,41%
Myles Turner,25.6,IND,Big,1232,65,58.5%,85,76%,93,56%,79,50%,92,55%,28,31%,54,34%,47,33%
Jonas Valanciunas,29.5,NOP,Big,2236,58,57.6%,36,65%,91,54%,62,39%,87,52%,0,33%,66,36%,67,36%
Denzel Valentine,28.0,CLE,Wing,164,50,53.0%,91,75%,8,17%,5,0%,3,11%,94,50%,40,33%,85,41%
Fred VanVleet,27.7,TOR,Point,2457,70,51.7%,30,56%,30,34%,74,44%,52,39%,82,46%,64,37%,68,38%
Jarred Vanderbilt,22.6,MIN,Big,1869,69,58.9%,46,67%,13,28%,8,0%,13,28%,0,20%,0,0%,0,14%
Devin Vassell,21.2,SAS,Wing,1896,42,52.2%,66,66%,66,42%,71,43%,72,43%,30,35%,68,37%,50,36%
Gabe Vincent,25.4,MIA,Combo,1499,71,53.4%,35,55%,82,49%,56,40%,68,44%,56,40%,66,36%,63,37%
Nikola Vucevic,31.0,CHI,Big,2415,21,52.0%,55,68%,71,48%,64,40%,69,45%,13,27%,43,32%,36,32%
Dean Wade,24.9,CLE,Forward,950,76,55.2%,84,71%,43,39%,94,71%,85,48%,6,24%,79,38%,47,34%
Franz Wagner,20.2,ORL,Forward,2416,40,51.8%,24,60%,61,41%,30,31%,52,40%,77,44%,44,33%,65,36%
Moritz Wagner,24.5,ORL,Big,874,62,58.1%,88,76%,26,34%,8,0%,18,31%,78,43%,40,32%,45,33%
Ishmail Wainright,27.1,PHX,Big,245,8,48.7%,34,65%,1,10%,0,,1,10%,90,48%,3,15%,42,33%
Kemba Walker,31.5,NYK,Point,947,54,50.3%,4,46%,90,48%,54,39%,66,43%,0,56%,60,36%,64,37%
Lonnie Walker,22.9,SAS,Wing,1596,24,48.5%,50,64%,73,45%,49,36%,50,39%,50,39%,24,30%,25,32%
Derrick Walton Jr.,26.6,DET,Point,108,0,28.8%,8,50%,0,0%,12,20%,0,11%,0,100%,0,17%,0,23%
Brad Wanamaker,32.3,IND,Combo,249,12,42.9%,9,40%,35,36%,89,54%,78,46%,0,0%,0,36%,0,29%
Duane Washington,21.6,IND,Combo,920,43,49.6%,23,50%,26,33%,31,32%,23,33%,94,49%,47,33%,70,39%
PJ Washington,23.2,CHA,Big,1716,58,57.7%,38,66%,68,46%,8,0%,62,44%,30,32%,83,39%,71,37%
Yuta Watanabe,27.1,TOR,Wing,390,17,47.3%,20,57%,25,33%,67,43%,35,36%,65,42%,2,21%,22,32%
Lindy Waters,24.3,OKC,Wing,454,79,56.1%,85,73%,97,58%,87,50%,99,57%,11,31%,78,39%,49,36%
Trendon Watford,21.0,POR,Big,780,42,55.2%,62,71%,68,46%,71,44%,73,46%,0,10%,5,20%,3,17%
Paul Watson,26.8,OKC,Forward,140,2,37.5%,94,75%,97,60%,0,,97,60%,0,23%,0,10%,0,17%
Russell Westbrook,33.0,LAL,Point,2667,32,47.8%,52,58%,34,36%,52,38%,36,37%,79,44%,13,26%,13,30%
Coby White,21.7,CHI,Combo,1636,76,54.4%,72,63%,32,35%,52,40%,37,37%,75,43%,74,38%,72,39%
Derrick White,27.3,BOS,Combo,709,35,48.5%,58,60%,93,52%,8,8%,76,46%,59,41%,14,28%,22,31%
Derrick White,27.3,SAS,Combo,1485,47,49.9%,48,58%,78,48%,77,46%,85,47%,2,22%,51,34%,27,32%
Hassan Whiteside,32.4,UTA,Big,1125,90,65.4%,96,78%,58,43%,8,0%,52,41%,0,,0,,0,
Joe Wieskamp,22.2,SAS,Wing,141,2,35.5%,99,100%,0,,22,25%,12,25%,0,11%,17,29%,6,23%
Aaron Wiggins,22.8,OKC,Wing,1193,46,52.7%,56,65%,85,48%,35,33%,87,48%,20,32%,23,30%,17,31%
Andrew Wiggins,26.7,GSW,Forward,2318,65,54.3%,87,72%,62,41%,49,38%,51,40%,76,44%,76,38%,85,39%
Lindell Wigginton,23.6,MIL,Combo,156,20,44.8%,18,47%,24,30%,0,,16,30%,0,80%,1,19%,38,33%
Brandon Williams,21.9,POR,Point,603,12,42.8%,6,48%,36,36%,22,29%,28,33%,91,50%,9,25%,21,31%
Grant Williams,22.9,BOS,Forward,1842,95,59.8%,91,73%,30,35%,13,11%,20,32%,87,47%,57,35%,92,41%
Kenrich Williams,26.9,OKC,Forward,1069,54,53.2%,39,63%,78,46%,61,42%,69,44%,38,36%,51,34%,52,35%
Lou Williams,35.0,ATL,Combo,790,22,45.0%,23,50%,48,40%,39,35%,42,38%,79,44%,29,31%,54,36%
Patrick Williams,20.2,CHI,Big,408,77,61.6%,58,69%,60,44%,69,43%,60,43%,0,50%,100,53%,100,52%
Robert Williams,24.0,BOS,Big,1803,99,73.7%,97,79%,58,43%,41,29%,54,42%,0,,0,0%,0,0%
Ziaire Williams,20.1,MEM,Wing,1299,64,54.6%,97,83%,35,36%,95,61%,80,45%,27,34%,25,30%,26,32%
Dylan Windler,25.1,CLE,Wing,395,31,50.6%,11,53%,98,60%,0,,100,60%,31,36%,19,30%,28,33%
Justise Winslow,25.6,POR,Forward,293,12,44.7%,31,61%,21,32%,18,21%,10,27%,0,15%,45,33%,16,27%
Justise Winslow,25.6,LAC,Big,425,14,50.8%,67,72%,42,39%,35,22%,29,36%,0,31%,0,10%,6,22%
Christian Wood,26.1,HOU,Big,2092,56,57.4%,51,68%,67,46%,32,21%,48,40%,82,46%,77,38%,81,39%
Delon Wright,29.5,ATL,Combo,1393,78,54.9%,71,63%,30,35%,46,38%,29,35%,13,30%,97,44%,81,40%
Thaddeus Young,33.4,SAS,Big,355,51,56.6%,31,64%,84,51%,38,25%,84,49%,0,0%,0,0%,0,0%
Thaddeus Young,33.4,TOR,Forward,466,43,51.8%,3,49%,91,55%,7,0%,87,49%,81,45%,0,25%,84,39%
Trae Young,23.1,ATL,Point,2647,84,54.2%,60,59%,78,45%,96,52%,88,47%,94,55%,73,38%,81,39%
Omer Yurtseven,23.4,MIA,Big,624,27,53.3%,52,68%,52,42%,29,18%,42,39%,0,0%,0,14%,0,11%
Cody Zeller,29.1,POR,Big,335,53,57.0%,24,63%,61,44%,97,100%,79,47%,0,0%,0,0%,0,0%
Ivica Zubac,24.6,LAC,Big,1843,79,62.5%,62,71%,78,49%,26,14%,81,48%,0,,0,,0,
