Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Terence Davis,24.5,SAC,Wing,517,33,51.0%,38,61%,61,41%,50,36%,53,40%,43,38%,32,31%,27,33%
DeMar DeRozan,32.2,CHI,Forward,2737,46,52.4%,45,64%,90,53%,73,46%,88,49%,19,32%,91,41%,72,37%
Dewayne Dedmon,32.2,MIA,Big,1057,75,60.7%,48,68%,84,51%,33,21%,63,44%,0,43%,98,46%,97,45%
Donte DiVincenzo,24.8,MIL,Combo,327,13,43.1%,16,46%,74,45%,3,0%,31,36%,10,25%,22,30%,13,29%
Donte DiVincenzo,24.8,SAC,Combo,660,37,48.6%,14,46%,7,19%,52,40%,8,24%,95,54%,46,33%,61,37%
Mamadi Diakite,24.8,OKC,Big,181,37,54.3%,27,64%,98,63%,48,33%,96,58%,0,0%,0,0%,0,0%
Hamidou Diallo,23.3,DET,Wing,1248,38,51.6%,62,65%,78,46%,54,38%,75,43%,4,26%,3,23%,7,24%
Gorgui Dieng,31.8,ATL,Big,302,66,58.8%,27,64%,79,50%,67,42%,71,45%,0,40%,94,43%,93,43%
Spencer Dinwiddie,28.6,WAS,Point,1330,20,45.1%,36,57%,44,38%,30,31%,34,36%,27,33%,27,31%,23,32%
Spencer Dinwiddie,28.6,DAL,Wing,649,87,58.3%,78,70%,61,41%,94,56%,78,44%,68,43%,82,39%,83,40%
Luka Doncic,22.7,DAL,Point,2299,76,53.0%,96,73%,92,49%,40,34%,78,45%,6,29%,62,36%,60,36%
Luguentz Dort,22.5,OKC,Wing,1664,27,49.6%,16,55%,74,45%,33,32%,69,42%,76,44%,35,31%,30,33%
Ayo Dosunmu,21.8,CHI,Combo,2020,92,58.5%,87,66%,61,43%,93,59%,92,51%,71,42%,27,31%,60,37%
PJ Dozier,25.0,DEN,Forward,332,7,43.8%,73,69%,4,19%,45,37%,13,29%,0,20%,68,37%,24,31%
Goran Dragic,35.5,BKN,Combo,396,21,45.0%,62,62%,65,44%,14,25%,43,38%,0,36%,7,24%,11,27%
Andre Drummond,28.2,BKN,Big,534,76,61.3%,20,61%,99,64%,8,0%,98,61%,0,,0,,0,
Andre Drummond,28.2,PHI,Big,894,36,54.3%,18,61%,16,30%,8,0%,14,29%,0,,0,,0,
Chris Duarte,24.4,IND,Wing,1527,39,51.6%,23,57%,49,38%,72,43%,59,41%,46,38%,77,39%,70,38%
David Duke,22.1,BKN,Wing,295,4,40.6%,6,49%,6,14%,35,33%,6,20%,2,24%,0,21%,5,23%
Kris Dunn,27.6,POR,Forward,335,6,43.6%,23,59%,51,40%,61,42%,53,40%,0,,0,9%,0,9%
Kevin Durant,33.1,BKN,Forward,2047,86,57.3%,85,71%,89,52%,87,56%,91,54%,96,54%,74,38%,82,39%
Anthony Edwards,20.2,MIN,Wing,2459,51,53.1%,49,63%,22,32%,45,35%,21,33%,37,36%,59,36%,42,36%
Kessler Edwards,21.2,BKN,Forward,920,38,50.8%,2,48%,32,36%,93,65%,79,47%,23,33%,84,39%,67,36%
CJ Elleby,21.4,POR,Wing,1065,8,45.1%,31,59%,18,26%,17,21%,11,25%,5,26%,29,31%,11,29%
Wayne Ellington,33.9,LAL,Wing,745,83,57.4%,95,80%,100,67%,35,33%,91,50%,86,47%,42,34%,62,38%
Joel Embiid,27.6,PHI,Big,2295,28,53.3%,77,73%,41,39%,72,45%,54,41%,0,31%,71,37%,70,37%
Drew Eubanks,24.7,POR,Big,632,91,65.5%,79,74%,98,63%,79,50%,99,62%,0,0%,0,25%,0,21%
Drew Eubanks,24.7,SAS,Big,557,31,53.6%,24,63%,76,49%,44,30%,72,46%,0,50%,0,0%,0,13%
Derrick Favors,30.3,OKC,Big,652,22,52.2%,34,65%,79,50%,77,47%,82,48%,0,7%,0,50%,1,13%
Dorian Finney-Smith,28.5,DAL,Forward,2638,93,59.7%,79,70%,28,34%,23,27%,21,33%,84,45%,63,35%,88,40%
Malachi Flynn,23.5,TOR,Combo,480,64,51.9%,49,59%,69,45%,22,30%,38,38%,0,71%,45,33%,78,40%
Bryn Forbes,28.3,SAS,Wing,649,48,52.8%,29,58%,69,43%,60,40%,65,41%,97,55%,71,38%,88,41%
