Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Kent Bazemore,32.3,LAL,Wing,487,7,43.8%,50,24%,31,11%,75,12%,47,23%,95,34%,16,19%,59,53%
Darius Bazley,21.4,OKC,Forward,1931,23,48.8%,83,44%,63,17%,17,2%,36,19%,22,10%,48,27%,37,37%
Bradley Beal,28.3,WAS,Combo,1438,40,49.3%,66,30%,81,28%,82,17%,88,45%,26,7%,15,19%,12,25%
Malik Beasley,24.9,MIN,Wing,1959,56,53.7%,10,11%,22,9%,39,6%,25,15%,83,25%,86,48%,91,74%
DeAndre' Bembry,27.3,BKN,Wing,894,85,58.1%,100,70%,55,15%,6,0%,28,16%,25,9%,2,6%,1,15%
Davis Bertans,29.0,WAS,Forward,489,34,50.3%,0,8%,2,6%,26,2%,5,8%,62,17%,100,67%,100,84%
Davis Bertans,29.0,DAL,Forward,285,85,56.9%,6,11%,1,4%,11,1%,1,5%,77,21%,99,63%,99,83%
Patrick Beverley,33.3,MIN,Combo,1473,50,50.5%,43,22%,66,23%,9,3%,39,27%,69,12%,68,39%,71,51%
Saddiq Bey,22.6,DET,Forward,2684,27,49.7%,34,26%,52,16%,68,9%,60,25%,48,14%,68,36%,62,50%
Khem Birch,29.1,TOR,Big,988,6,48.5%,48,49%,98,43%,35,2%,94,45%,61,6%,0,0%,32,6%
Goga Bitadze,22.3,IND,Big,678,68,58.9%,68,60%,18,12%,21,1%,12,13%,39,2%,76,26%,62,28%
Bismack Biyombo,29.2,PHX,Big,440,78,61.8%,75,66%,88,32%,24,1%,74,34%,0,0%,0,0%,0,0%
Nemanja Bjelica,33.5,GSW,Big,1093,41,54.9%,19,34%,62,22%,42,3%,49,25%,58,6%,94,35%,85,40%
Eric Bledsoe,31.9,LAC,Point,1358,30,47.7%,78,32%,50,21%,68,14%,56,35%,38,4%,44,28%,32,32%
Keljin Blevins,25.9,POR,Combo,258,5,34.6%,41,22%,5,6%,28,6%,4,12%,95,24%,75,41%,92,66%
Bogdan Bogdanovic,29.2,ATL,Wing,1835,55,53.6%,25,16%,66,18%,71,11%,66,29%,42,14%,74,41%,64,55%
Bojan Bogdanovic,32.5,UTA,Forward,2121,77,55.4%,31,25%,87,25%,33,3%,73,28%,70,19%,52,28%,59,47%
Leandro Bolmaro,21.1,MIN,Wing,165,1,30.4%,93,47%,81,23%,62,10%,76,33%,1,3%,13,17%,6,20%
Devin Booker,25.0,PHX,Wing,2343,54,53.4%,23,15%,92,27%,100,26%,100,53%,4,5%,34,27%,15,31%
Brandon Boston Jr.,19.9,LAC,Forward,669,11,44.3%,55,31%,43,14%,95,21%,83,36%,17,8%,43,25%,28,33%
Chris Boucher,28.8,TOR,Big,1666,25,52.6%,52,50%,10,10%,51,4%,16,14%,78,11%,73,25%,78,36%
James Bouknight,21.1,CHA,Combo,234,24,45.5%,97,46%,34,16%,4,2%,12,18%,50,9%,28,27%,30,36%
Avery Bradley,30.9,LAL,Wing,1384,61,54.4%,32,18%,43,12%,68,11%,49,23%,97,35%,28,24%,67,59%
Tony Bradley,23.8,CHI,Big,492,66,58.7%,83,75%,42,18%,72,7%,46,25%,0,0%,0,0%,0,0%
Ignas Brazdeikis,22.8,ORL,Forward,439,60,54.0%,78,40%,34,13%,43,4%,31,17%,55,16%,49,27%,48,43%
Mikal Bridges,25.2,PHX,Wing,2846,94,60.5%,66,30%,94,29%,51,8%,85,36%,61,20%,9,14%,24,34%
Miles Bridges,23.6,CHA,Forward,2824,81,55.7%,85,46%,56,16%,34,3%,39,19%,23,10%,36,24%,30,34%
Oshae Brissett,23.4,IND,Big,1508,10,49.5%,34,43%,17,12%,49,4%,18,15%,88,15%,80,27%,88,42%
Malcolm Brogdon,28.9,IND,Combo,1205,49,50.3%,90,40%,36,16%,71,13%,45,29%,17,5%,25,26%,20,31%
Armoni Brooks,23.4,HOU,Combo,619,34,48.2%,9,11%,0,3%,3,1%,0,4%,71,12%,99,73%,99,85%
Armoni Brooks,23.4,TOR,Combo,139,10,41.4%,0,0%,2,6%,0,0%,1,6%,77,14%,100,81%,100,94%
Dillon Brooks,25.8,MEM,Wing,881,22,48.2%,61,29%,96,31%,82,14%,98,45%,5,5%,19,22%,7,26%
Bruce Brown,25.2,BKN,Forward,1707,62,54.1%,90,50%,93,30%,27,2%,82,33%,34,12%,2,5%,5,17%
Charles Brown,24.7,PHI,Wing,135,0,23.1%,99,59%,54,15%,50,7%,44,22%,3,4%,11,15%,4,19%
Greg Brown,20.2,POR,Big,504,9,49.3%,60,54%,5,9%,58,5%,13,13%,84,12%,66,20%,72,32%
Jaylen Brown,25.0,BOS,Wing,2220,59,54.2%,64,30%,76,22%,80,13%,84,36%,17,8%,39,27%,25,35%
Moses Brown,22.1,CLE,Big,163,84,63.6%,84,76%,64,23%,25,2%,44,24%,0,0%,0,0%,0,0%
Moses Brown,22.1,DAL,Big,134,47,56.1%,99,92%,4,8%,0,0%,2,8%,0,0%,0,0%,0,0%
Sterling Brown,26.7,DAL,Forward,569,14,45.2%,41,28%,15,9%,62,7%,27,16%,95,30%,46,26%,71,56%
Troy Brown,22.3,CHI,Forward,955,35,50.5%,64,35%,20,11%,37,4%,22,15%,96,32%,22,18%,63,50%
Jalen Brunson,25.2,DAL,Combo,2519,77,54.9%,40,22%,95,36%,86,18%,97,54%,35,7%,11,16%,8,24%
Thomas Bryant,24.3,WAS,Big,416,52,56.7%,54,51%,13,11%,91,13%,44,24%,56,5%,65,19%,56,25%
Reggie Bullock,30.6,DAL,Forward,1893,67,54.4%,5,11%,6,7%,50,5%,10,12%,98,37%,82,40%,97,77%
Trey Burke,29.0,DAL,Combo,351,31,47.6%,29,17%,50,19%,99,28%,91,47%,25,6%,40,30%,31,36%
Alec Burks,30.3,NYK,Combo,2309,48,50.0%,37,20%,55,20%,60,10%,51,31%,67,12%,65,37%,67,49%
Jared Butler,21.2,UTA,Combo,266,36,48.6%,26,17%,48,19%,35,7%,36,26%,34,7%,91,50%,80,57%
Jimmy Butler,32.1,MIA,Forward,1926,28,49.7%,81,42%,97,35%,78,12%,95,47%,7,6%,3,6%,2,11%
Kentavious Caldwell-Pope,28.7,WAS,Wing,2326,52,53.3%,29,17%,51,14%,97,23%,86,37%,53,17%,43,29%,47,46%
Facundo Campazzo,30.6,DEN,Point,1098,26,47.3%,46,24%,18,14%,8,4%,4,17%,84,11%,86,48%,88,59%
Vlatko Cancar,24.6,DEN,Big,163,80,62.5%,59,53%,41,18%,55,4%,38,22%,79,11%,51,13%,55,24%
Devin Cannady,25.4,ORL,Combo,139,30,47.6%,2,5%,6,7%,15,5%,3,12%,98,29%,97,55%,98,83%
Clint Capela,27.5,ATL,Big,2041,76,61.5%,94,83%,34,16%,14,1%,21,17%,0,0%,0,0%,0,0%
Jevon Carter,26.1,MIL,Combo,325,100,70.3%,12,12%,9,9%,94,22%,52,31%,96,27%,39,30%,79,57%
Jevon Carter,26.1,BKN,Combo,472,23,45.4%,1,3%,3,6%,76,15%,21,21%,94,22%,95,53%,95,76%
Wendell Carter,22.5,ORL,Big,1848,60,57.9%,29,42%,54,21%,80,9%,61,30%,48,3%,75,25%,65,28%
Alex Caruso,27.7,CHI,Combo,1136,38,48.8%,84,36%,15,12%,40,8%,14,19%,85,18%,27,27%,55,44%
Willie Cauley-Stein,28.2,DAL,Big,170,4,47.1%,72,64%,61,22%,78,8%,62,31%,0,0%,34,6%,29,6%
Justin Champagnie,20.3,TOR,Wing,227,29,50.0%,95,50%,26,10%,0,0%,12,10%,68,22%,15,18%,33,40%
Chris Chiozza,25.9,GSW,Combo,307,6,35.5%,16,13%,35,16%,24,6%,25,22%,82,16%,90,49%,89,65%
Marquese Chriss,24.3,DAL,Big,278,32,53.8%,76,67%,33,16%,40,3%,29,19%,55,4%,46,10%,42,14%
Josh Christopher,19.9,HOU,Combo,1195,65,52.3%,87,39%,59,22%,21,5%,40,27%,56,10%,24,25%,26,35%
Gary Clark,27.0,NOP,Big,314,29,53.3%,4,16%,4,8%,23,1%,4,9%,100,44%,85,30%,99,75%
Brandon Clarke,25.1,MEM,Big,1188,89,65.2%,64,58%,91,34%,47,3%,84,38%,49,3%,22,1%,28,4%
Jordan Clarkson,29.4,UTA,Combo,2109,53,50.6%,25,17%,83,29%,8,3%,53,31%,62,11%,75,41%,74,52%
Nicolas Claxton,22.5,BKN,Big,940,95,68.7%,87,80%,49,20%,10,0%,35,20%,0,0%,0,0%,0,0%
Amir Coffey,24.4,LAC,Wing,1472,76,56.0%,56,27%,59,16%,37,6%,43,22%,52,17%,56,34%,55,51%
John Collins,24.1,ATL,Big,1662,55,57.2%,27,42%,68,24%,79,9%,72,33%,70,9%,58,16%,58,25%
Zach Collins,24.0,SAS,Big,482,26,53.0%,38,45%,58,22%,83,10%,68,32%,38,2%,68,22%,53,23%
Mike Conley,34.1,UTA,Point,2056,86,54.5%,12,13%,86,33%,12,4%,62,37%,68,9%,70,41%,76,50%
Pat Connaughton,28.8,MIL,Wing,1655,93,60.2%,35,19%,11,6%,10,1%,6,7%,72,23%,92,51%,90,74%
Tyler Cook,24.1,CHI,Big,188,85,63.9%,96,90%,11,10%,0,0%,6,10%,0,0%,0,0%,0,0%
DeMarcus Cousins,31.2,MIL,Big,286,25,52.6%,49,49%,19,12%,15,1%,11,13%,57,6%,92,33%,82,38%
DeMarcus Cousins,31.2,DEN,Big,424,17,51.3%,53,51%,31,16%,44,3%,28,19%,0,0%,86,30%,69,30%
Robert Covington,30.9,LAC,Forward,478,100,68.1%,45,29%,3,6%,13,1%,4,7%,49,14%,95,50%,86,64%
Robert Covington,30.9,POR,Forward,1425,33,50.1%,22,21%,17,10%,28,3%,13,12%,47,14%,97,53%,89,67%
Torrey Craig,30.9,IND,Forward,1013,74,55.0%,61,33%,40,14%,57,7%,49,21%,78,21%,39,25%,55,46%
Torrey Craig,30.9,PHX,Forward,521,80,55.6%,35,26%,33,13%,36,3%,28,16%,85,24%,64,34%,74,58%
Jae Crowder,31.3,PHX,Forward,1884,41,51.8%,1,9%,37,13%,82,13%,66,26%,51,15%,96,50%,88,64%
Jarrett Culver,22.7,MEM,Combo,201,8,38.7%,79,36%,41,17%,72,13%,49,30%,70,12%,20,22%,23,34%
Cade Cunningham,20.1,DET,Wing,2082,14,47.0%,72,32%,82,23%,77,12%,83,35%,8,5%,40,28%,22,33%
Seth Curry,31.2,BKN,Wing,568,100,63.3%,2,6%,39,12%,96,23%,82,35%,49,16%,80,43%,68,59%
Seth Curry,31.2,PHI,Combo,1564,91,57.9%,4,8%,37,16%,100,29%,89,45%,46,9%,66,38%,62,47%
Stephen Curry,33.6,GSW,Point,2203,90,55.5%,26,18%,16,13%,36,10%,22,23%,58,6%,92,52%,86,59%
Anthony Davis,28.6,LAL,Big,1402,36,54.3%,42,46%,54,21%,98,23%,92,44%,34,1%,44,8%,38,9%
Ed Davis,32.4,CLE,Big,158,87,64.3%,94,83%,35,17%,0,0%,19,17%,0,0%,0,0%,0,0%
Terence Davis,24.5,SAC,Wing,517,33,51.0%,68,30%,35,12%,29,4%,28,16%,37,12%,79,42%,63,54%
DeMar DeRozan,32.2,CHI,Forward,2737,46,52.4%,23,21%,91,29%,100,41%,100,71%,4,3%,0,5%,0,8%
Dewayne Dedmon,32.2,MIA,Big,1057,75,60.7%,69,60%,50,20%,67,6%,52,26%,41,2%,48,11%,42,13%
Donte DiVincenzo,24.8,MIL,Combo,327,13,43.1%,60,28%,12,11%,6,3%,5,13%,86,18%,74,41%,85,59%
Donte DiVincenzo,24.8,SAC,Combo,660,37,48.6%,36,20%,17,13%,11,4%,11,17%,74,12%,92,51%,87,63%
Mamadi Diakite,24.8,OKC,Big,181,37,54.3%,56,52%,86,32%,66,6%,85,38%,52,4%,35,6%,39,10%
Hamidou Diallo,23.3,DET,Wing,1248,38,51.6%,91,46%,91,27%,69,11%,89,38%,21,8%,4,7%,2,15%
Gorgui Dieng,31.8,ATL,Big,302,66,58.8%,6,22%,16,11%,92,14%,48,25%,59,6%,98,48%,94,53%
Spencer Dinwiddie,28.6,WAS,Point,1330,20,45.1%,34,21%,70,27%,42,11%,64,37%,56,6%,62,36%,64,42%
Spencer Dinwiddie,28.6,DAL,Wing,649,87,58.3%,73,32%,87,24%,41,6%,71,31%,28,10%,38,27%,29,37%
Luka Doncic,22.7,DAL,Point,2299,76,53.0%,28,19%,94,36%,38,10%,82,46%,6,2%,56,34%,46,36%
Luguentz Dort,22.5,OKC,Wing,1664,27,49.6%,65,30%,60,16%,30,4%,42,21%,19,8%,75,42%,52,50%
Ayo Dosunmu,21.8,CHI,Combo,2020,92,58.5%,93,41%,20,13%,65,11%,32,24%,87,18%,10,16%,25,34%
PJ Dozier,25.0,DEN,Forward,332,7,43.8%,18,20%,68,18%,91,19%,84,36%,52,15%,55,29%,51,44%
Goran Dragic,35.5,BKN,Combo,396,21,45.0%,55,25%,72,26%,61,10%,68,37%,51,10%,36,29%,38,38%
Andre Drummond,28.2,BKN,Big,534,76,61.3%,88,80%,46,19%,16,1%,33,20%,0,0%,0,0%,0,0%
Andre Drummond,28.2,PHI,Big,894,36,54.3%,91,81%,45,19%,11,0%,29,19%,0,0%,0,0%,0,0%
Chris Duarte,24.4,IND,Wing,1527,39,51.6%,58,28%,62,17%,88,17%,77,34%,33,11%,36,27%,31,38%
David Duke,22.1,BKN,Wing,295,4,40.6%,97,57%,17,7%,26,3%,14,10%,55,18%,10,15%,18,32%
Kris Dunn,27.6,POR,Forward,335,6,43.6%,66,35%,100,44%,73,11%,97,55%,0,0%,7,10%,1,10%
Kevin Durant,33.1,BKN,Forward,2047,86,57.3%,10,14%,95,34%,98,27%,99,61%,1,2%,35,23%,13,25%
Anthony Edwards,20.2,MIN,Wing,2459,51,53.1%,77,37%,36,12%,44,7%,38,18%,6,5%,71,40%,39,45%
Kessler Edwards,21.2,BKN,Forward,920,38,50.8%,60,32%,27,12%,59,7%,37,19%,86,24%,41,25%,61,49%
CJ Elleby,21.4,POR,Wing,1065,8,45.1%,82,41%,56,16%,43,7%,45,22%,39,13%,27,24%,28,37%
Wayne Ellington,33.9,LAL,Wing,745,83,57.4%,1,5%,3,3%,24,3%,1,6%,86,28%,98,61%,100,90%
Joel Embiid,27.6,PHI,Big,2295,28,53.3%,22,37%,78,28%,96,20%,95,48%,29,1%,53,14%,45,15%
Drew Eubanks,24.7,POR,Big,632,91,65.5%,56,52%,96,37%,54,4%,89,42%,31,1%,33,5%,31,6%
Drew Eubanks,24.7,SAS,Big,557,31,53.6%,66,59%,84,31%,65,6%,79,37%,34,1%,31,3%,28,5%
Derrick Favors,30.3,OKC,Big,652,22,52.2%,29,42%,64,23%,99,27%,96,50%,64,7%,22,1%,35,8%
Dorian Finney-Smith,28.5,DAL,Forward,2638,93,59.7%,47,29%,12,8%,21,2%,7,10%,90,26%,66,35%,81,60%
Malachi Flynn,23.5,TOR,Combo,480,64,51.9%,33,20%,49,19%,80,16%,64,35%,44,8%,63,37%,58,45%
Bryn Forbes,28.3,SAS,Wing,649,48,52.8%,4,8%,72,21%,94,22%,95,43%,32,11%,66,39%,50,49%
Bryn Forbes,28.3,DEN,Combo,590,72,53.4%,3,6%,25,15%,91,21%,65,35%,60,10%,85,48%,81,58%
Trent Forrest,23.4,UTA,Wing,695,34,51.0%,86,42%,100,43%,11,1%,97,44%,29,10%,0,4%,0,14%
Evan Fournier,29.0,NYK,Wing,2357,61,54.4%,11,12%,58,16%,61,10%,57,26%,56,18%,82,44%,72,62%
De'Aaron Fox,23.9,SAC,Point,2074,58,50.8%,62,29%,90,34%,82,17%,90,50%,22,3%,10,17%,10,20%
Tim Frazier,31.0,ORL,Point,199,2,37.2%,2,9%,68,26%,94,28%,94,54%,80,11%,42,26%,50,37%
Melvin Frazier Jr.,25.2,OKC,Combo,119,1,28.1%,94,43%,33,16%,0,0%,8,16%,99,29%,6,12%,47,41%
Markelle Fultz,23.4,ORL,Combo,356,44,49.7%,78,35%,89,30%,97,26%,100,57%,0,1%,2,7%,1,8%
Wenyen Gabriel,24.6,LAL,Forward,291,57,53.4%,99,61%,54,16%,19,2%,33,18%,53,15%,4,6%,9,21%
Daniel Gafford,23.1,WAS,Big,1427,97,69.5%,89,81%,39,17%,35,2%,32,19%,0,0%,0,0%,0,0%
Danilo Gallinari,33.2,ATL,Forward,1657,52,52.8%,14,17%,67,18%,93,21%,86,38%,11,6%,79,39%,54,45%
Darius Garland,21.8,CLE,Point,2424,80,53.6%,50,25%,64,25%,70,14%,72,40%,46,5%,50,31%,44,36%
Marcus Garrett,23.0,MIA,Combo,121,0,23.7%,100,60%,29,15%,19,5%,16,20%,57,10%,5,10%,5,20%
Usman Garuba,19.6,HOU,Big,165,64,58.3%,71,63%,15,11%,0,0%,8,11%,65,7%,61,19%,58,26%
Luka Garza,22.8,DET,Big,332,11,49.6%,41,46%,29,15%,86,11%,51,26%,41,2%,78,26%,65,28%
Rudy Gay,35.2,UTA,Big,1021,18,51.4%,5,20%,51,20%,79,9%,59,29%,90,15%,94,35%,92,51%
Paul George,31.5,LAC,Forward,1073,24,49.2%,24,22%,61,17%,97,24%,88,41%,12,6%,61,31%,38,38%
Taj Gibson,36.4,NYK,Big,939,54,57.1%,48,49%,48,20%,88,11%,66,31%,88,14%,34,6%,51,20%
Josh Giddey,19.1,OKC,Wing,1693,10,46.5%,63,29%,98,33%,49,7%,92,40%,12,6%,29,24%,13,30%
Shai Gilgeous-Alexander,23.3,OKC,Point,1941,48,49.9%,82,34%,84,33%,28,8%,76,41%,10,2%,16,22%,14,24%
Anthony Gill,29.0,WAS,Big,405,74,60.5%,44,47%,88,32%,0,0%,71,32%,81,11%,45,9%,52,20%
Freddie Gillespie,24.4,ORL,Big,118,1,40.9%,28,42%,99,54%,0,0%,98,54%,54,4%,0,0%,27,4%
Rudy Gobert,29.3,UTA,Big,2116,98,71.4%,97,90%,8,9%,9,0%,5,10%,0,0%,18,0%,16,0%
Brandon Goodwin,26.1,CLE,Point,472,36,48.6%,76,32%,74,27%,22,6%,46,33%,44,5%,48,30%,40,34%
Aaron Gordon,26.1,DEN,Forward,2373,87,57.5%,88,48%,51,16%,64,8%,56,23%,37,12%,17,16%,21,29%
Eric Gordon,32.9,HOU,Wing,1669,89,58.7%,71,32%,61,17%,12,1%,39,19%,2,3%,83,46%,51,50%
Devonte' Graham,26.7,NOP,Point,2147,40,48.6%,8,11%,12,10%,60,13%,18,22%,78,10%,98,56%,94,67%
Jerami Grant,27.6,DET,Big,1496,12,49.7%,16,31%,37,17%,98,21%,82,38%,83,12%,66,20%,71,32%
Hassani Gravett,25.3,ORL,Combo,170,98,63.5%,21,15%,19,13%,40,8%,18,21%,81,15%,89,49%,88,64%
Danny Green,34.4,PHI,Wing,1346,71,55.6%,6,9%,8,5%,19,2%,4,7%,100,45%,67,39%,98,84%
Draymond Green,31.7,GSW,Big,1328,49,56.5%,43,47%,82,31%,58,5%,78,36%,54,4%,50,13%,48,17%
JaMychal Green,31.4,DEN,Big,1048,33,54.0%,58,53%,9,9%,58,5%,16,14%,74,10%,70,23%,74,33%
Jalen Green,19.7,HOU,Combo,2116,56,51.1%,82,36%,10,10%,58,10%,15,20%,32,7%,64,37%,54,44%
Javonte Green,28.3,CHI,Forward,1506,96,59.8%,98,59%,35,13%,0,0%,18,13%,66,18%,6,10%,20,28%
Jeff Green,35.2,DEN,Big,1834,56,57.5%,41,46%,55,21%,63,5%,53,26%,91,16%,49,12%,62,27%
Josh Green,21.0,DAL,Wing,928,82,57.3%,84,42%,78,23%,28,4%,58,26%,73,23%,6,9%,17,32%
Blake Griffin,32.6,BKN,Big,936,6,48.3%,36,44%,19,12%,31,2%,14,14%,82,12%,86,31%,88,42%
Quentin Grimes,21.5,NYK,Wing,750,67,54.9%,9,10%,0,2%,52,8%,10,9%,74,23%,94,57%,96,80%
Kyle Guy,24.2,MIA,Combo,148,93,58.7%,20,15%,31,15%,66,11%,38,26%,80,15%,79,43%,82,58%
Rui Hachimura,23.7,WAS,Forward,917,83,56.5%,39,28%,70,18%,96,24%,89,42%,19,9%,34,22%,24,31%
Tyrese Haliburton,21.7,IND,Combo,937,95,60.4%,39,22%,77,28%,73,14%,82,41%,25,6%,45,31%,36,37%
Tyrese Haliburton,21.7,SAC,Combo,1750,82,55.3%,22,15%,80,28%,81,16%,86,44%,28,7%,54,34%,45,40%
R.J. Hampton,20.7,ORL,Combo,1325,25,45.7%,75,33%,68,25%,23,5%,50,30%,38,8%,35,29%,33,36%
Tim Hardaway Jr.,29.6,DAL,Wing,1234,28,49.6%,17,14%,50,14%,91,18%,73,32%,38,12%,77,42%,61,54%
James Harden,32.2,PHI,Point,787,38,48.6%,80,34%,48,21%,10,4%,28,25%,16,2%,68,39%,62,41%
James Harden,32.2,BKN,Point,1626,42,48.9%,72,32%,58,24%,18,4%,34,29%,18,3%,66,37%,52,40%
Maurice Harkless,28.5,SAC,Forward,863,73,54.7%,70,37%,14,9%,15,2%,9,11%,97,33%,26,20%,65,53%
Montrezl Harrell,27.8,WAS,Big,1089,91,65.5%,78,70%,57,21%,69,6%,56,28%,26,0%,26,2%,23,3%
Montrezl Harrell,27.8,CHA,Big,506,88,64.4%,92,82%,28,15%,45,3%,25,18%,0,0%,0,0%,0,0%
Gary Harris,27.1,ORL,Wing,1729,57,53.9%,44,23%,42,12%,78,13%,55,25%,80,25%,39,28%,56,52%
Joe Harris,30.2,BKN,Wing,422,99,62.7%,22,15%,32,11%,27,3%,23,15%,72,23%,85,48%,86,70%
Tobias Harris,29.3,PHI,Forward,2541,56,53.3%,57,32%,96,35%,67,8%,90,43%,14,7%,21,18%,12,25%
Josh Hart,26.7,NOP,Wing,1368,74,55.9%,96,52%,53,14%,31,5%,40,19%,11,6%,22,23%,10,29%
Josh Hart,26.7,POR,Combo,415,94,59.4%,85,38%,30,15%,27,6%,22,21%,12,5%,61,36%,46,41%
Isaiah Hartenstein,23.5,LAC,Big,1118,82,63.0%,66,59%,91,35%,9,0%,76,35%,36,2%,32,4%,31,6%
Jaxson Hayes,21.4,NOP,Big,1347,85,63.6%,74,65%,56,21%,44,3%,45,24%,52,4%,38,7%,40,11%
Killian Hayes,20.3,DET,Point,1619,16,44.0%,52,26%,80,29%,48,12%,74,41%,86,13%,14,21%,36,33%
Gordon Hayward,31.6,CHA,Wing,1561,49,52.8%,62,29%,85,24%,81,14%,88,38%,17,7%,31,26%,20,33%
Juan Hernangomez,26.1,UTA,Big,270,80,62.5%,19,35%,1,4%,0,0%,1,4%,98,29%,91,32%,97,61%
