Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
OG Anunoby,24.3,TOR,Wing,1722,44,52.5%,50,50.9%,50,36.2%,27,74.6%,74,62%,67,55%,91,28%,67,88%
Trevor Ariza,36.3,LAL,Forward,453,5,42.8%,41,52.0%,14,26.4%,0,55.6%,7,91%,12,77%,0,,0,100%
D.J. Augustin,34.0,LAL,Combo,357,97,63.4%,88,55.6%,93,43.8%,0,100.0%,21,71%,66,33%,98,0%,32,89%
D.J. Augustin,34.0,HOU,Point,507,88,55.2%,8,40.0%,89,41.1%,72,86.8%,4,65%,14,46%,94,0%,30,77%
Deni Avdija,20.8,WAS,Forward,1910,36,50.6%,51,52.4%,30,32.2%,39,74.8%,64,71%,56,60%,57,57%,59,94%
Deandre Ayton,23.3,PHX,Big,1708,86,64.0%,82,64.2%,81,38.9%,58,74.6%,19,81%,15,78%,27,84%,24,100%
Udoka Azubuike,22.1,UTA,Big,155,98,70.6%,97,70.6%,0,,0,40.0%,6,88%,3,91%,100,0%,0,
Marvin Bagley,22.6,DET,Big,488,59,57.8%,75,62.4%,6,23.5%,10,59.3%,51,74%,24,75%,64,64%,24,100%
Marvin Bagley,22.6,SAC,Big,650,9,49.4%,24,53.6%,9,24.6%,59,75.0%,82,64%,92,50%,42,78%,94,87%
LaMelo Ball,20.2,CHA,Point,2403,74,52.4%,40,46.5%,83,39.4%,81,87.2%,36,46%,56,30%,48,23%,42,75%
Lonzo Ball,24.0,CHI,Point,1204,96,56.6%,18,41.8%,98,42.4%,22,75.0%,0,70%,16,46%,34,25%,22,84%
Mohamed Bamba,23.5,ORL,Big,1795,48,56.1%,40,55.7%,80,37.8%,70,77.5%,55,72%,84,56%,68,63%,66,99%
Desmond Bane,23.4,MEM,Wing,2262,81,57.0%,35,48.5%,96,44.0%,96,90.3%,57,70%,65,55%,40,64%,77,83%
Dalano Banton,22.0,TOR,Combo,626,16,44.0%,46,46.9%,7,23.9%,1,55.0%,82,38%,66,33%,77,22%,46,82%
Harrison Barnes,29.4,SAC,Forward,2581,79,55.5%,54,52.6%,86,39.4%,61,82.7%,61,71%,65,58%,64,54%,47,95%
Scottie Barnes,20.3,TOR,Forward,2603,47,52.5%,59,54.1%,20,30.3%,35,73.8%,91,48%,87,46%,81,39%,84,84%
RJ Barrett,21.4,NYK,Wing,2407,12,46.7%,15,44.1%,34,34.6%,18,71.4%,84,54%,85,44%,88,30%,53,91%
Will Barton,30.8,DEN,Wing,2272,47,52.7%,49,50.4%,56,36.9%,43,79.8%,78,61%,64,55%,79,42%,88,77%
Charles Bassey,21.0,PHI,Big,124,96,69.0%,99,74.1%,0,0.0%,0,70.0%,79,65%,79,57%,28,83%,0,
Keita Bates-Diop,25.8,SAS,Big,911,38,54.6%,47,57.2%,21,28.3%,65,75.9%,40,77%,38,70%,1,100%,85,92%
Nicolas Batum,32.9,LAC,Forward,1457,97,60.7%,87,60.7%,91,40.4%,13,66.7%,6,92%,7,83%,15,83%,35,97%
Kent Bazemore,32.3,LAL,Wing,487,7,43.8%,1,30.0%,44,35.9%,0,75.0%,6,92%,3,89%,36,67%,1,100%
Darius Bazley,21.4,OKC,Forward,1931,23,48.8%,36,51.3%,19,30.2%,19,68.5%,50,73%,41,64%,50,62%,48,95%
Bradley Beal,28.3,WAS,Combo,1438,40,49.3%,68,50.7%,17,30.1%,51,82.8%,77,41%,46,44%,59,30%,85,60%
Malik Beasley,24.9,MIN,Wing,1959,56,53.7%,13,43.8%,63,37.9%,71,84.5%,28,84%,50,62%,32,69%,56,91%
DeAndre' Bembry,27.3,BKN,Wing,894,85,58.1%,88,58.5%,60,37.5%,3,60.0%,39,79%,19,76%,25,75%,1,100%
Davis Bertans,29.0,WAS,Forward,489,34,50.3%,41,52.0%,36,33.1%,100,93.3%,2,95%,15,75%,19,80%,0,100%
Davis Bertans,29.0,DAL,Forward,285,85,56.9%,28,50.0%,81,38.3%,0,80.0%,1,97%,0,100%,2,100%,38,97%
Patrick Beverley,33.3,MIN,Combo,1473,50,50.5%,54,48.7%,44,34.3%,13,71.8%,60,51%,94,17%,50,33%,54,79%
Saddiq Bey,22.6,DET,Forward,2684,27,49.7%,13,45.3%,59,35.4%,63,83.1%,74,65%,83,49%,86,37%,76,89%
Khem Birch,29.1,TOR,Big,988,6,48.5%,16,52.2%,0,0.0%,58,74.6%,21,80%,46,68%,12,95%,0,
Goga Bitadze,22.3,IND,Big,678,68,58.9%,83,64.2%,35,31.5%,28,67.8%,43,76%,41,70%,28,83%,24,100%
Bismack Biyombo,29.2,PHX,Big,440,78,61.8%,72,61.8%,0,,9,55.6%,46,75%,22,75%,51,74%,0,
Nemanja Bjelica,33.5,GSW,Big,1093,41,54.9%,31,54.3%,73,37.1%,50,72.8%,41,76%,71,61%,38,79%,80,94%
Eric Bledsoe,31.9,LAC,Point,1358,30,47.7%,56,47.9%,26,31.7%,25,75.7%,40,46%,36,34%,32,26%,12,90%
Keljin Blevins,25.9,POR,Combo,258,5,34.6%,3,25.9%,8,25.9%,0,60.0%,10,81%,17,60%,1,100%,39,86%
Bogdan Bogdanovic,29.2,ATL,Wing,1835,55,53.6%,55,52.0%,55,36.7%,66,84.1%,81,58%,84,45%,83,35%,84,79%
Bojan Bogdanovic,32.5,UTA,Forward,2121,77,55.4%,46,52.3%,83,38.8%,79,85.3%,55,72%,50,62%,66,50%,66,92%
Leandro Bolmaro,21.1,MIN,Wing,165,1,30.4%,4,31.8%,0,16.7%,0,80.0%,46,75%,26,71%,0,,1,100%
Devin Booker,25.0,PHX,Wing,2343,54,53.4%,50,50.8%,73,38.8%,84,86.8%,92,46%,77,49%,83,36%,95,63%
Brandon Boston Jr.,19.9,LAC,Forward,669,11,44.3%,6,42.2%,31,32.3%,76,84.6%,76,65%,40,64%,34,71%,97,60%
Chris Boucher,28.8,TOR,Big,1666,25,52.6%,52,58.0%,25,29.6%,72,77.8%,46,75%,59,66%,39,79%,68,98%
James Bouknight,21.1,CHA,Combo,234,24,45.5%,15,39.3%,58,36.8%,0,88.0%,31,63%,38,48%,50,33%,21,93%
Avery Bradley,30.9,LAL,Wing,1384,61,54.4%,29,47.8%,79,39.2%,0,88.9%,36,80%,48,63%,38,65%,46,94%
Tony Bradley,23.8,CHI,Big,492,66,58.7%,57,58.7%,0,,0,57.1%,53,73%,51,67%,1,100%,0,
Ignas Brazdeikis,22.8,ORL,Forward,439,60,54.0%,73,57.3%,38,33.3%,5,61.5%,66,70%,63,59%,65,54%,45,96%
Mikal Bridges,25.2,PHX,Wing,2846,94,60.5%,96,62.9%,59,37.5%,59,83.4%,32,82%,12,80%,28,72%,21,98%
Miles Bridges,23.6,CHA,Forward,2824,81,55.7%,83,58.9%,34,33.0%,56,80.4%,73,66%,43,64%,73,45%,89,82%
Oshae Brissett,23.4,IND,Big,1508,10,49.5%,6,46.5%,60,35.1%,38,70.5%,20,81%,32,72%,82,53%,73,97%
Malcolm Brogdon,28.9,IND,Combo,1205,49,50.3%,73,52.0%,24,31.2%,75,85.6%,92,33%,84,23%,65,28%,90,59%
Armoni Brooks,23.4,HOU,Combo,619,34,48.2%,93,56.7%,22,31.1%,0,82.4%,12,79%,11,64%,9,67%,45,83%
Armoni Brooks,23.4,TOR,Combo,139,10,41.4%,100,100.0%,10,26.5%,0,100.0%,2,90%,0,,1,100%,33,89%
Dillon Brooks,25.8,MEM,Wing,881,22,48.2%,32,48.3%,19,31.3%,77,84.9%,85,54%,79,48%,72,46%,78,83%
Bruce Brown,25.2,BKN,Forward,1707,62,54.1%,52,52.5%,92,40.9%,45,76.2%,35,78%,28,70%,13,85%,33,97%
Charles Brown,24.7,PHI,Wing,135,0,23.1%,0,28.6%,0,0.0%,0,83.3%,66,67%,51,60%,2,100%,0,
Greg Brown,20.2,POR,Big,504,9,49.3%,9,48.3%,55,34.0%,48,72.5%,25,79%,49,68%,28,83%,24,100%
Jaylen Brown,25.0,BOS,Wing,2220,59,54.2%,73,54.4%,43,35.9%,28,75.6%,83,55%,66,55%,81,37%,90,76%
Moses Brown,22.1,CLE,Big,163,84,63.6%,79,63.6%,0,,0,52.0%,35,77%,6,86%,93,43%,0,
Moses Brown,22.1,DAL,Big,134,47,56.1%,41,56.1%,0,,20,63.3%,6,87%,4,86%,1,100%,0,
Sterling Brown,26.7,DAL,Forward,569,14,45.2%,38,51.7%,15,26.9%,0,91.7%,24,80%,15,75%,19,80%,82,86%
Troy Brown,22.3,CHI,Forward,955,35,50.5%,17,47.2%,61,35.7%,0,76.2%,39,77%,69,57%,27,77%,46,95%
Jalen Brunson,25.2,DAL,Combo,2519,77,54.9%,85,54.7%,58,36.8%,59,84.0%,84,36%,81,24%,68,27%,49,81%
Thomas Bryant,24.3,WAS,Big,416,52,56.7%,78,62.9%,16,27.0%,99,87.5%,25,79%,19,76%,52,73%,24,100%
Reggie Bullock,30.6,DAL,Forward,1893,67,54.4%,64,55.0%,70,36.2%,65,83.3%,5,92%,24,71%,14,85%,27,99%
Trey Burke,29.0,DAL,Combo,351,31,47.6%,35,44.3%,49,34.9%,0,82.4%,75,42%,86,21%,87,18%,29,91%
Alec Burks,30.3,NYK,Combo,2309,48,50.0%,10,37.7%,84,40.5%,50,82.1%,37,61%,26,53%,40,37%,63,75%
Jared Butler,21.2,UTA,Combo,266,36,48.6%,89,55.8%,18,30.2%,0,77.8%,94,33%,66,33%,94,13%,99,47%
Jimmy Butler,32.1,MIA,Forward,1926,28,49.7%,39,51.8%,9,24.1%,87,87.1%,96,41%,84,49%,97,25%,93,78%
Kentavious Caldwell-Pope,28.7,WAS,Wing,2326,52,53.3%,30,47.9%,80,39.3%,95,89.0%,48,75%,28,71%,52,56%,54,91%
Facundo Campazzo,30.6,DEN,Point,1098,26,47.3%,32,45.5%,30,32.1%,33,76.6%,14,58%,20,41%,20,31%,34,75%
Vlatko Cancar,24.6,DEN,Big,163,80,62.5%,35,55.2%,0,54.5%,0,60.0%,1,95%,0,100%,86,50%,24,100%
Devin Cannady,25.4,ORL,Combo,139,30,47.6%,0,0.0%,67,38.2%,0,71.4%,0,100%,0,,0,,0,100%
Clint Capela,27.5,ATL,Big,2041,76,61.5%,69,61.5%,0,,2,47.3%,41,76%,15,78%,59,67%,0,
Jevon Carter,26.1,MIL,Combo,325,100,70.3%,60,50.0%,100,57.1%,0,100.0%,47,57%,17,60%,87,18%,63,75%
Jevon Carter,26.1,BKN,Combo,472,23,45.4%,5,30.3%,38,33.3%,0,62.5%,15,76%,0,,7,70%,57,78%
Wendell Carter,22.5,ORL,Big,1848,60,57.9%,71,61.6%,46,33.0%,34,69.1%,72,69%,75,59%,66,64%,24,100%
Alex Caruso,27.7,CHI,Combo,1136,38,48.8%,41,45.7%,47,34.7%,34,79.5%,18,72%,11,64%,32,41%,21,93%
Willie Cauley-Stein,28.2,DAL,Big,170,4,47.1%,4,45.5%,0,50.0%,0,50.0%,18,81%,9,83%,59,67%,24,100%
Justin Champagnie,20.3,TOR,Wing,227,29,50.0%,31,48.1%,38,35.0%,0,100.0%,46,75%,54,58%,2,100%,1,100%
Chris Chiozza,25.9,GSW,Combo,307,6,35.5%,2,20.8%,12,28.3%,0,66.7%,19,72%,97,0%,71,25%,24,92%
Marquese Chriss,24.3,DAL,Big,278,32,53.8%,16,51.7%,95,43.8%,0,76.2%,7,87%,8,85%,25,86%,24,100%
Josh Christopher,19.9,HOU,Combo,1195,65,52.3%,87,55.0%,26,31.6%,16,73.1%,52,53%,40,47%,57,33%,43,84%
Gary Clark,27.0,NOP,Big,314,29,53.3%,1,25.0%,88,40.7%,0,70.0%,0,96%,0,100%,59,67%,24,100%
Brandon Clarke,25.1,MEM,Big,1188,89,65.2%,89,66.2%,11,25.0%,19,62.9%,64,71%,58,66%,41,78%,24,100%
Jordan Clarkson,29.4,UTA,Combo,2109,53,50.6%,78,53.1%,32,32.0%,54,82.8%,79,40%,83,23%,81,21%,77,67%
Nicolas Claxton,22.5,BKN,Big,940,95,68.7%,94,68.7%,0,,11,59.6%,50,74%,25,74%,52,73%,0,
Amir Coffey,24.4,LAC,Wing,1472,76,56.0%,72,54.4%,68,38.2%,86,87.3%,41,76%,32,68%,69,48%,47,93%
John Collins,24.1,ATL,Big,1662,55,57.2%,59,59.0%,68,36.4%,80,79.3%,15,83%,10,82%,49,74%,69,98%
Zach Collins,24.0,SAS,Big,482,26,53.0%,29,54.1%,48,33.3%,77,78.7%,23,79%,29,73%,45,77%,24,100%
Mike Conley,34.1,UTA,Point,2056,86,54.5%,42,46.5%,94,41.3%,42,79.6%,58,39%,60,29%,40,24%,74,52%
Pat Connaughton,28.8,MIL,Wing,1655,93,60.2%,99,64.2%,77,39.1%,58,83.3%,11,90%,9,82%,33,69%,35,96%
Tyler Cook,24.1,CHI,Big,188,85,63.9%,81,63.9%,0,,20,63.3%,27,78%,12,80%,59,67%,0,
DeMarcus Cousins,31.2,MIL,Big,286,25,52.6%,65,60.9%,17,27.1%,85,81.6%,22,80%,31,72%,28,83%,24,100%
DeMarcus Cousins,31.2,DEN,Big,424,17,51.3%,18,52.3%,44,32.9%,52,73.3%,84,63%,95,49%,77,56%,24,100%
Robert Covington,30.9,LAC,Forward,478,100,68.1%,85,60.0%,100,48.0%,74,84.4%,19,82%,9,80%,79,40%,78,88%
Robert Covington,30.9,POR,Forward,1425,33,50.1%,14,46.2%,51,34.6%,65,83.3%,18,83%,55,61%,43,64%,40,96%
Torrey Craig,30.9,IND,Forward,1013,74,55.0%,74,57.4%,50,34.6%,48,77.1%,60,71%,66,58%,66,50%,31,98%
Torrey Craig,30.9,PHX,Forward,521,80,55.6%,94,63.8%,38,33.3%,0,61.5%,44,75%,64,58%,36,69%,64,93%
Jae Crowder,31.3,PHX,Forward,1884,41,51.8%,28,50.0%,56,35.0%,53,78.9%,9,89%,15,75%,12,86%,63,93%
Jarrett Culver,22.7,MEM,Combo,201,8,38.7%,11,37.8%,11,26.9%,0,33.3%,67,46%,51,42%,83,20%,70,71%
Cade Cunningham,20.1,DET,Wing,2082,14,47.0%,22,47.2%,22,31.6%,70,84.3%,99,36%,95,24%,96,23%,92,72%
Seth Curry,31.2,BKN,Wing,568,100,63.3%,61,52.9%,99,47.2%,0,85.7%,60,69%,92,33%,77,43%,51,91%
Seth Curry,31.2,PHI,Combo,1564,91,57.9%,90,56.1%,78,39.9%,88,87.5%,39,60%,37,48%,23,48%,57,78%
Stephen Curry,33.6,GSW,Point,2203,90,55.5%,84,52.7%,77,38.3%,97,92.2%,32,48%,24,38%,8,36%,70,57%
Anthony Davis,28.6,LAL,Big,1402,36,54.3%,48,57.2%,4,18.6%,41,71.1%,79,65%,40,70%,81,54%,94,85%
Ed Davis,32.4,CLE,Big,158,87,64.3%,84,64.3%,0,,0,42.9%,77,67%,68,63%,1,100%,0,
Terence Davis,24.5,SAC,Wing,517,33,51.0%,65,53.5%,27,32.6%,73,84.6%,64,68%,49,62%,74,44%,83,81%
DeMar DeRozan,32.2,CHI,Forward,2737,46,52.4%,45,52.0%,72,36.5%,90,87.7%,99,26%,97,32%,99,18%,72,90%
Dewayne Dedmon,32.2,MIA,Big,1057,75,60.7%,60,59.4%,97,45.2%,54,74.0%,49,75%,46,68%,28,83%,78,95%
Donte DiVincenzo,24.8,MIL,Combo,327,13,43.1%,25,42.9%,13,28.8%,0,84.0%,27,65%,16,62%,35,40%,66,74%
Donte DiVincenzo,24.8,SAC,Combo,660,37,48.6%,8,35.1%,61,37.1%,57,83.9%,20,72%,53,41%,27,44%,37,87%
Mamadi Diakite,24.8,OKC,Big,181,37,54.3%,66,61.0%,0,0.0%,0,54.5%,14,84%,2,93%,53,73%,0,
Hamidou Diallo,23.3,DET,Wing,1248,38,51.6%,77,54.7%,7,24.1%,5,65.0%,83,55%,68,53%,61,50%,39,95%
Gorgui Dieng,31.8,ATL,Big,302,66,58.8%,15,51.5%,93,42.6%,0,78.9%,4,92%,33,71%,16,90%,24,100%
Spencer Dinwiddie,28.6,WAS,Point,1330,20,45.1%,20,43.2%,23,31.4%,44,81.0%,78,28%,80,18%,80,13%,80,50%
Spencer Dinwiddie,28.6,DAL,Wing,649,87,58.3%,83,56.8%,86,40.8%,20,72.5%,98,39%,94,32%,98,22%,98,60%
Luka Doncic,22.7,DAL,Point,2299,76,53.0%,82,52.7%,55,35.3%,17,74.4%,100,14%,82,17%,92,7%,100,22%
Luguentz Dort,22.5,OKC,Wing,1664,27,49.6%,39,48.9%,29,33.3%,68,84.1%,69,66%,80,47%,55,53%,68,88%
Ayo Dosunmu,21.8,CHI,Combo,2020,92,58.5%,96,60.2%,60,37.0%,9,66.7%,22,69%,25,54%,8,67%,0,100%
PJ Dozier,25.0,DEN,Forward,332,7,43.8%,4,41.2%,24,31.1%,0,76.9%,88,54%,94,36%,94,30%,82,86%
Goran Dragic,35.5,BKN,Combo,396,21,45.0%,49,47.7%,9,26.1%,0,71.4%,80,40%,78,25%,94,13%,27,92%
Andre Drummond,28.2,BKN,Big,534,76,61.3%,68,61.3%,0,,6,53.1%,80,65%,62,65%,65,64%,0,
Andre Drummond,28.2,PHI,Big,894,36,54.3%,30,54.3%,0,0.0%,5,50.0%,94,54%,86,55%,86,50%,0,
Chris Duarte,24.4,IND,Wing,1527,39,51.6%,27,47.7%,69,38.3%,54,81.3%,80,59%,53,59%,82,36%,85,78%
David Duke,22.1,BKN,Wing,295,4,40.6%,14,44.1%,5,22.6%,0,81.3%,66,67%,54,58%,61,50%,1,100%
Kris Dunn,27.6,POR,Forward,335,6,43.6%,18,47.3%,0,9.1%,0,94.4%,100,16%,99,20%,100,9%,0,100%
Kevin Durant,33.1,BKN,Forward,2047,86,57.3%,71,56.9%,82,38.7%,98,91.0%,90,51%,48,63%,72,46%,99,56%
Anthony Edwards,20.2,MIN,Wing,2459,51,53.1%,58,52.2%,42,35.9%,37,78.6%,94,44%,90,39%,90,28%,100,55%
Kessler Edwards,21.2,BKN,Forward,920,38,50.8%,20,47.5%,69,36.1%,0,82.4%,24,80%,27,70%,59,57%,0,100%
CJ Elleby,21.4,POR,Wing,1065,8,45.1%,19,46.1%,11,29.1%,8,68.4%,50,74%,44,64%,44,60%,1,100%
Wayne Ellington,33.9,LAL,Wing,745,83,57.4%,97,63.6%,67,38.1%,0,81.8%,1,95%,4,88%,15,83%,28,97%
Joel Embiid,27.6,PHI,Big,2295,28,53.3%,21,52.9%,77,37.3%,84,81.4%,95,54%,77,58%,91,45%,98,71%
Drew Eubanks,24.7,POR,Big,632,91,65.5%,92,67.9%,0,21.4%,83,80.0%,44,76%,53,67%,24,86%,24,100%
Drew Eubanks,24.7,SAS,Big,557,31,53.6%,38,55.6%,0,12.5%,81,79.3%,30,78%,35,71%,18,89%,24,100%
Derrick Favors,30.3,OKC,Big,652,22,52.2%,36,55.4%,1,12.5%,0,64.0%,13,84%,21,76%,15,91%,24,100%
Dorian Finney-Smith,28.5,DAL,Forward,2638,93,59.7%,84,59.8%,88,39.7%,13,66.7%,11,88%,10,78%,37,67%,28,98%
Malachi Flynn,23.5,TOR,Combo,480,64,51.9%,40,44.7%,79,40.0%,0,65.2%,64,47%,93,18%,75,24%,51,80%
Bryn Forbes,28.3,SAS,Wing,649,48,52.8%,12,43.6%,88,41.0%,94,88.9%,28,84%,45,64%,24,76%,41,95%
Bryn Forbes,28.3,DEN,Combo,590,72,53.4%,24,42.6%,83,40.4%,97,92.1%,4,86%,5,80%,12,66%,18,98%
Trent Forrest,23.4,UTA,Wing,695,34,51.0%,80,55.4%,1,18.2%,33,77.3%,100,24%,97,15%,94,24%,1,100%
Evan Fournier,29.0,NYK,Wing,2357,61,54.4%,20,46.5%,78,39.1%,14,70.8%,53,72%,86,42%,60,51%,65,88%
De'Aaron Fox,23.9,SAC,Point,2074,58,50.8%,80,52.4%,17,30.2%,19,74.6%,84,26%,66,27%,62,17%,72,55%
Tim Frazier,31.0,ORL,Point,199,2,37.2%,2,26.9%,57,35.3%,0,55.6%,18,54%,38,33%,34,25%,26,83%
Melvin Frazier Jr.,25.2,OKC,Combo,119,1,28.1%,36,44.4%,0,4.8%,0,71.4%,13,77%,7,73%,1,100%,0,100%
Markelle Fultz,23.4,ORL,Combo,356,44,49.7%,63,50.3%,0,28.6%,43,80.6%,100,19%,85,22%,96,13%,96,50%
Wenyen Gabriel,24.6,LAL,Forward,291,57,53.4%,82,58.8%,8,23.8%,3,60.6%,81,62%,79,51%,2,100%,0,100%
Daniel Gafford,23.1,WAS,Big,1427,97,69.5%,96,69.5%,0,,35,69.3%,52,73%,32,72%,24,86%,0,
Danilo Gallinari,33.2,ATL,Forward,1657,52,52.8%,22,48.6%,79,38.1%,97,90.3%,70,67%,53,61%,83,39%,65,93%
Darius Garland,21.8,CLE,Point,2424,80,53.6%,72,51.3%,72,38.0%,92,89.1%,68,33%,54,30%,44,24%,84,48%
Marcus Garrett,23.0,MIA,Combo,121,0,23.7%,1,20.0%,0,25.0%,0,66.7%,16,75%,3,100%,98,0%,0,100%
Usman Garuba,19.6,HOU,Big,165,64,58.3%,85,64.7%,0,28.6%,0,71.4%,88,62%,87,55%,0,,24,100%
Luka Garza,22.8,DET,Big,332,11,49.6%,11,49.4%,48,33.3%,11,60.0%,91,60%,91,52%,95,36%,24,100%
Rudy Gay,35.2,UTA,Big,1021,18,51.4%,12,50.3%,59,34.7%,74,77.9%,68,69%,98,44%,76,56%,85,93%
Paul George,31.5,LAC,Forward,1073,24,49.2%,15,46.4%,65,35.8%,82,85.8%,98,31%,100,18%,96,25%,100,48%
Taj Gibson,36.4,NYK,Big,939,54,57.1%,38,55.6%,91,41.7%,86,82.0%,49,74%,69,62%,32,83%,24,100%
Josh Giddey,19.1,OKC,Wing,1693,10,46.5%,43,49.6%,8,26.4%,15,70.9%,96,41%,89,39%,97,22%,79,82%
Shai Gilgeous-Alexander,23.3,OKC,Point,1941,48,49.9%,74,51.5%,21,30.6%,47,81.0%,96,17%,84,16%,86,11%,94,30%
Anthony Gill,29.0,WAS,Big,405,74,60.5%,46,56.9%,99,47.8%,68,77.3%,12,85%,26,74%,19,89%,24,100%
Freddie Gillespie,24.4,ORL,Big,118,1,40.9%,2,42.9%,0,0.0%,0,42.9%,30,78%,0,100%,54,71%,0,
Rudy Gobert,29.3,UTA,Big,2116,98,71.4%,98,71.7%,0,0.0%,32,68.9%,55,72%,28,73%,70,61%,0,
Brandon Goodwin,26.1,CLE,Point,472,36,48.6%,24,43.8%,68,37.3%,0,59.4%,54,40%,32,36%,70,14%,60,63%
Aaron Gordon,26.1,DEN,Forward,2373,87,57.5%,86,60.6%,45,33.7%,37,74.6%,69,67%,35,68%,76,44%,81,86%
Eric Gordon,32.9,HOU,Wing,1669,89,58.7%,79,55.0%,89,41.2%,34,77.4%,88,51%,91,34%,84,33%,91,72%
Devonte' Graham,26.7,NOP,Point,2147,40,48.6%,14,41.4%,53,34.5%,56,84.1%,12,60%,58,29%,16,32%,36,75%
Jerami Grant,27.6,DET,Big,1496,12,49.7%,6,46.5%,71,37.0%,91,83.7%,83,64%,78,58%,94,41%,74,97%
Hassani Gravett,25.3,ORL,Combo,170,98,63.5%,95,58.3%,95,44.0%,0,75.0%,36,61%,97,0%,18,50%,67,73%
Danny Green,34.4,PHI,Wing,1346,71,55.6%,18,45.8%,66,38.1%,0,78.6%,8,91%,13,80%,2,100%,50,92%
Draymond Green,31.7,GSW,Big,1328,49,56.5%,56,58.6%,39,32.0%,26,65.9%,48,75%,27,73%,58,68%,24,100%
JaMychal Green,31.4,DEN,Big,1048,33,54.0%,66,60.9%,19,28.1%,97,86.8%,45,76%,45,68%,49,74%,24,100%
Jalen Green,19.7,HOU,Combo,2116,56,51.1%,64,50.4%,46,34.5%,40,79.9%,53,53%,43,44%,30,42%,80,66%
Javonte Green,28.3,CHI,Forward,1506,96,59.8%,91,62.4%,67,36.0%,65,83.3%,46,75%,36,67%,19,80%,0,100%
Jeff Green,35.2,DEN,Big,1834,56,57.5%,75,62.1%,34,31.5%,89,82.8%,11,85%,4,90%,74,59%,71,98%
Josh Green,21.0,DAL,Wing,928,82,57.3%,87,57.5%,62,37.8%,16,71.1%,23,86%,7,84%,29,71%,1,100%
Blake Griffin,32.6,BKN,Big,936,6,48.3%,51,57.9%,10,24.6%,50,73.0%,63,71%,63,64%,84,53%,81,94%
Quentin Grimes,21.5,NYK,Wing,750,67,54.9%,52,51.2%,58,37.2%,0,80.0%,18,87%,70,50%,25,75%,37,96%
Kyle Guy,24.2,MIA,Combo,148,93,58.7%,74,52.4%,87,41.9%,0,80.0%,32,63%,89,20%,9,67%,61,77%
Rui Hachimura,23.7,WAS,Forward,917,83,56.5%,37,51.6%,99,44.3%,24,69.2%,56,72%,45,64%,60,57%,29,98%
Tyrese Haliburton,21.7,IND,Combo,937,95,60.4%,94,57.1%,92,43.5%,66,84.9%,74,43%,34,49%,71,25%,92,58%
Tyrese Haliburton,21.7,SAC,Combo,1750,82,55.3%,55,48.9%,86,41.8%,76,85.7%,83,37%,73,28%,80,21%,89,59%
