Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Tyler Cook,24.1,CHI,Big,188,20,63.3%,100,27.1%,68,2.1%,6,7.7%
DeMarcus Cousins,31.2,MIL,Big,286,85,81.6%,78,16.7%,96,3.9%,98,57.1%
DeMarcus Cousins,31.2,DEN,Big,424,52,73.3%,76,16.5%,97,3.9%,19,15.8%
Robert Covington,30.9,LAC,Forward,478,74,84.4%,38,7.4%,73,1.4%,4,8.3%
Robert Covington,30.9,POR,Forward,1425,65,83.3%,7,3.2%,37,0.7%,5,9.1%
Torrey Craig,30.9,IND,Forward,1013,48,77.1%,26,5.7%,19,0.5%,74,31.3%
Torrey Craig,30.9,PHX,Forward,521,0,61.5%,18,4.8%,6,0.3%,88,42.9%
Jae Crowder,31.3,PHX,Forward,1884,53,78.9%,31,6.3%,48,0.9%,62,27.8%
Jarrett Culver,22.7,MEM,Combo,201,0,33.3%,46,6.6%,61,1.4%,0,0.0%
Cade Cunningham,20.1,DET,Wing,2082,70,84.3%,37,5.6%,89,1.9%,53,23.3%
Seth Curry,31.2,BKN,Wing,568,0,85.7%,9,1.9%,83,1.5%,92,50.0%
Seth Curry,31.2,PHI,Combo,1564,88,87.5%,17,3.7%,51,1.3%,90,45.0%
Stephen Curry,33.6,GSW,Point,2203,97,92.2%,54,8.0%,70,2.1%,54,24.0%
Anthony Davis,28.6,LAL,Big,1402,41,71.1%,44,12.1%,89,3.2%,65,28.3%
Ed Davis,32.4,CLE,Big,158,0,42.9%,95,22.2%,65,2.0%,0,0.0%
Terence Davis,24.5,SAC,Wing,517,73,84.6%,44,6.3%,45,0.9%,91,41.2%
DeMar DeRozan,32.2,CHI,Forward,2737,90,87.7%,94,16.5%,93,2.1%,52,25.8%
Dewayne Dedmon,32.2,MIA,Big,1057,54,74.0%,46,12.5%,52,1.5%,26,17.9%
Donte DiVincenzo,24.8,MIL,Combo,327,0,84.0%,25,4.5%,75,1.7%,36,20.0%
Donte DiVincenzo,24.8,SAC,Combo,660,57,83.9%,36,6.1%,78,1.9%,11,7.1%
Mamadi Diakite,24.8,OKC,Big,181,0,54.5%,28,10.0%,48,1.5%,29,20.0%
Hamidou Diallo,23.3,DET,Wing,1248,5,65.0%,90,13.5%,72,1.3%,74,28.6%
Gorgui Dieng,31.8,ATL,Big,302,0,78.9%,32,10.2%,42,1.3%,9,11.1%
Spencer Dinwiddie,28.6,WAS,Point,1330,44,81.0%,80,11.7%,68,2.0%,20,19.0%
Spencer Dinwiddie,28.6,DAL,Wing,649,20,72.5%,100,19.7%,36,0.8%,61,25.0%
Luka Doncic,22.7,DAL,Point,2299,17,74.4%,88,13.8%,96,3.6%,68,25.5%
Luguentz Dort,22.5,OKC,Wing,1664,68,84.1%,72,10.1%,84,1.5%,27,17.7%
Ayo Dosunmu,21.8,CHI,Combo,2020,9,66.7%,40,6.3%,10,0.6%,75,33.3%
PJ Dozier,25.0,DEN,Forward,332,0,76.9%,35,6.9%,51,0.9%,10,14.3%
Goran Dragic,35.5,BKN,Combo,396,0,71.4%,34,6.0%,62,1.4%,18,14.3%
Andre Drummond,28.2,BKN,Big,534,6,53.1%,83,17.4%,73,2.2%,91,36.8%
Andre Drummond,28.2,PHI,Big,894,5,50.0%,50,13.1%,74,2.3%,71,29.4%
Chris Duarte,24.4,IND,Wing,1527,54,81.3%,54,7.9%,83,1.5%,36,19.6%
David Duke,22.1,BKN,Wing,295,0,81.3%,50,7.3%,77,1.4%,11,14.3%
Kris Dunn,27.6,POR,Forward,335,0,94.4%,55,9.3%,69,1.3%,86,40.0%
Kevin Durant,33.1,BKN,Forward,2047,98,91.0%,80,11.4%,100,3.9%,31,20.1%
Anthony Edwards,20.2,MIN,Wing,2459,37,78.6%,68,9.5%,70,1.2%,66,25.2%
Kessler Edwards,21.2,BKN,Forward,920,0,82.4%,13,4.0%,15,0.5%,89,50.0%
CJ Elleby,21.4,POR,Wing,1065,8,68.4%,87,12.5%,53,1.0%,46,21.1%
Wayne Ellington,33.9,LAL,Wing,745,0,81.8%,2,0.5%,15,0.5%,0,0.0%
Joel Embiid,27.6,PHI,Big,2295,84,81.4%,96,22.9%,98,4.2%,42,22.9%
Drew Eubanks,24.7,POR,Big,632,83,80.0%,33,10.5%,59,1.7%,12,12.5%
Drew Eubanks,24.7,SAS,Big,557,81,79.3%,72,15.7%,95,3.6%,58,25.9%
Derrick Favors,30.3,OKC,Big,652,0,64.0%,11,6.7%,6,0.7%,6,7.7%
Dorian Finney-Smith,28.5,DAL,Forward,2638,13,66.7%,21,4.9%,21,0.6%,26,20.0%
Malachi Flynn,23.5,TOR,Combo,480,0,65.2%,30,5.4%,73,1.7%,75,33.3%
Bryn Forbes,28.3,SAS,Wing,649,94,88.9%,39,5.7%,61,1.1%,24,17.6%
Bryn Forbes,28.3,DEN,Combo,590,97,92.1%,53,7.3%,1,0.4%,62,27.8%
Trent Forrest,23.4,UTA,Wing,695,33,77.3%,92,13.8%,69,1.2%,72,27.3%
Evan Fournier,29.0,NYK,Wing,2357,14,70.8%,26,4.9%,28,0.7%,74,28.6%
De'Aaron Fox,23.9,SAC,Point,2074,19,74.6%,90,14.3%,48,1.6%,76,28.3%
Tim Frazier,31.0,ORL,Point,199,0,55.6%,62,8.7%,22,0.9%,56,25.0%
Melvin Frazier Jr.,25.2,OKC,Combo,119,0,71.4%,56,7.8%,33,1.1%,55,25.0%
Markelle Fultz,23.4,ORL,Combo,356,43,80.6%,60,8.4%,86,2.1%,91,46.7%
Wenyen Gabriel,24.6,LAL,Forward,291,3,60.6%,93,16.0%,64,1.2%,74,31.3%
Daniel Gafford,23.1,WAS,Big,1427,35,69.3%,78,16.8%,75,2.3%,93,39.5%
Danilo Gallinari,33.2,ATL,Forward,1657,97,90.3%,61,9.8%,96,2.5%,6,9.5%
Darius Garland,21.8,CLE,Point,2424,92,89.1%,32,6.3%,80,2.4%,70,26.0%
Marcus Garrett,23.0,MIA,Combo,121,0,66.7%,77,10.0%,5,0.4%,92,50.0%
Usman Garuba,19.6,HOU,Big,165,0,71.4%,65,14.8%,1,0.3%,51,25.0%
Luka Garza,22.8,DET,Big,332,11,60.0%,64,14.5%,81,2.7%,74,30.0%
Rudy Gay,35.2,UTA,Big,1021,74,77.9%,23,9.3%,10,0.8%,28,18.9%
Paul George,31.5,LAC,Forward,1073,82,85.8%,49,8.8%,99,3.5%,26,20.0%
Taj Gibson,36.4,NYK,Big,939,86,82.0%,45,12.2%,19,1.0%,27,18.2%
Josh Giddey,19.1,OKC,Wing,1693,15,70.9%,30,5.2%,75,1.4%,34,19.4%
Shai Gilgeous-Alexander,23.3,OKC,Point,1941,47,81.0%,90,14.3%,90,3.0%,30,20.8%
Anthony Gill,29.0,WAS,Big,405,68,77.3%,90,20.2%,26,1.1%,24,17.4%
Freddie Gillespie,24.4,ORL,Big,118,0,42.9%,47,12.5%,96,3.8%,84,33.3%
Rudy Gobert,29.3,UTA,Big,2116,32,68.9%,99,26.4%,99,4.3%,17,15.2%
Brandon Goodwin,26.1,CLE,Point,472,0,59.4%,68,9.4%,36,1.2%,88,35.7%
Aaron Gordon,26.1,DEN,Forward,2373,37,74.6%,82,12.2%,83,1.6%,71,30.0%
Eric Gordon,32.9,HOU,Wing,1669,34,77.4%,67,9.5%,60,1.0%,43,20.7%
Devonte' Graham,26.7,NOP,Point,2147,56,84.1%,26,5.4%,42,1.4%,78,28.9%
Jerami Grant,27.6,DET,Big,1496,91,83.7%,56,13.9%,64,1.9%,21,16.5%
Hassani Gravett,25.3,ORL,Combo,170,0,75.0%,29,5.1%,59,1.4%,0,0.0%
Danny Green,34.4,PHI,Wing,1346,0,78.6%,3,0.9%,8,0.5%,96,66.7%
Draymond Green,31.7,GSW,Big,1328,26,65.9%,59,14.3%,35,1.2%,23,17.1%
JaMychal Green,31.4,DEN,Big,1048,97,86.8%,38,11.5%,29,1.2%,5,5.0%
Jalen Green,19.7,HOU,Combo,2116,40,79.9%,81,10.3%,58,1.4%,51,23.1%
Javonte Green,28.3,CHI,Forward,1506,65,83.3%,88,13.1%,33,0.7%,17,17.0%
Jeff Green,35.2,DEN,Big,1834,89,82.8%,82,17.3%,18,1.0%,70,29.1%
Josh Green,21.0,DAL,Wing,928,16,71.1%,46,6.5%,28,0.7%,70,26.7%
Blake Griffin,32.6,BKN,Big,936,50,73.0%,31,10.2%,76,2.4%,78,30.3%
