Player,Team,Age,Pos,MIN,BLK% Rank,STL% Rank,FOUL% Rank,fgOR% Rank,fgDR% Rank,ftOR% Rank,ftDR% Rank,FT% Rank,SFLD% Rank,FFLD% Rank,AND1% Rank,Usage Rank,PSA Rank,AST% Rank,AST:Usg Rank,TOV% Rank,OnOff_Opp_Diff Rank,OnOff_Opp_OFFENSE: Pts/Poss Rank,OnOff_Opp_OFFENSE: eFG% Rank,OnOff_Opp_OFFENSE: TOV% Rank,OnOff_Opp_OFFENSE: ORB% Rank,OnOff_Opp_OFFENSE: FT Rate Rank,OnOff_Opp_DEFENSE: Pts/Poss Rank,OnOff_Opp_DEFENSE: eFG% Rank,OnOff_Opp_DEFENSE: TOV% Rank,OnOff_Opp_DEFENSE: ORB% Rank,OnOff_Opp_DEFENSE: FT Rate Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_HALFCOURT: Pts/Play Rank,OnOff_Opp_HALFCOURT: OREB% Rank,OnOff_Opp_HALFCOURT: % of Plays Rank,OnOff_Opp_PUTBACKS: Pts/Miss Rank,OnOff_Opp_PUTBACKS: Plays/Miss Rank,OnOff_Opp_PUTBACKS: Pts/Play Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_TEAM FG%: Rim Rank,OnOff_Opp_TEAM FG%: Short Mid Rank,OnOff_Opp_TEAM FG%: Long Mid Rank,OnOff_Opp_TEAM FG%: All Mid Rank,OnOff_Opp_TEAM FG%: Corner Three Rank,OnOff_Opp_TEAM FG%: Non Corner Rank,OnOff_Opp_TEAM FG%: All Three Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_SHOT FREQUENCY: Rim Rank,OnOff_Opp_SHOT FREQUENCY: Short Mid Rank,OnOff_Opp_SHOT FREQUENCY: Long Mid Rank,OnOff_Opp_SHOT FREQUENCY: All Mid Rank,OnOff_Opp_SHOT FREQUENCY: Corner Three Rank,OnOff_Opp_SHOT FREQUENCY: Non Corner Rank,OnOff_Opp_SHOT FREQUENCY: All Three Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_ALL TRANSITION: Pts+/Poss Rank,OnOff_Opp_ALL TRANSITION: Freq Rank,OnOff_Opp_ALL TRANSITION: Pts/Play Rank,OnOff_Opp_OFF STEALS: Pts+/Poss Rank,OnOff_Opp_OFF STEALS: Freq Rank,OnOff_Opp_OFF STEALS: Pts/Play Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Opp_OFF LIVE REBOUNDS: Freq Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts/Play Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_HALFCOURT: Pts/Play Rank,OnOff_Team_HALFCOURT: OREB% Rank,OnOff_Team_HALFCOURT: % of Plays Rank,OnOff_Team_PUTBACKS: Pts/Miss Rank,OnOff_Team_PUTBACKS: Plays/Miss Rank,OnOff_Team_PUTBACKS: Pts/Play Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_TEAM FG%: Rim Rank,OnOff_Team_TEAM FG%: Short Mid Rank,OnOff_Team_TEAM FG%: Long Mid Rank,OnOff_Team_TEAM FG%: All Mid Rank,OnOff_Team_TEAM FG%: Corner Three Rank,OnOff_Team_TEAM FG%: Non Corner Rank,OnOff_Team_TEAM FG%: All Three Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_SHOT FREQUENCY: Rim Rank,OnOff_Team_SHOT FREQUENCY: Short Mid Rank,OnOff_Team_SHOT FREQUENCY: Long Mid Rank,OnOff_Team_SHOT FREQUENCY: All Mid Rank,OnOff_Team_SHOT FREQUENCY: Corner Three Rank,OnOff_Team_SHOT FREQUENCY: Non Corner Rank,OnOff_Team_SHOT FREQUENCY: All Three Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_ALL TRANSITION: Pts+/Poss Rank,OnOff_Team_ALL TRANSITION: Freq Rank,OnOff_Team_ALL TRANSITION: Pts/Play Rank,OnOff_Team_OFF STEALS: Pts+/Poss Rank,OnOff_Team_OFF STEALS: Freq Rank,OnOff_Team_OFF STEALS: Pts/Play Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Team_OFF LIVE REBOUNDS: Freq Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts/Play Rank,eFG% Rank
Justin Anderson,IND,28.0,Forward,260,69,44,54,3,72,99,76,0,64,9,96,61,6,78,84,97,37,80,71,64,44,91,7,4,11,74,80,7,7,6,73,76,11,46,6,4,4,8,15,5,4,78,14,27,4,4,54,34,56,41,37,63,55,7,7,41,63,36,50,35,52,40,66,38,80,80,88,36,22,49,46,58,71,71,65,56,82,71,73,50,62,71,71,72,94,24,78,29,10,11,80,80,52,20,55,50,70,56,45,54,47,4
Kyle Anderson,MEM,28.1,Forward,1458,91,87,67,71,97,77,100,10,54,40,69,62,22,86,93,40,55,46,51,57,26,11,61,41,36,49,98,61,61,58,49,15,36,53,31,41,41,26,24,33,18,11,77,49,41,41,79,2,25,3,88,80,91,61,61,64,19,74,40,11,49,64,45,74,46,46,39,19,81,34,25,61,51,51,88,55,31,43,8,60,28,51,51,56,85,81,90,68,3,8,46,46,60,89,54,54,73,60,52,95,44,22
Giannis Antetokounmpo,MIL,26.9,Big,2189,64,76,76,28,91,55,91,45,98,99,46,99,77,99,85,65,15,16,12,72,9,37,32,14,56,49,58,32,32,38,43,38,12,29,12,14,14,12,59,56,62,13,36,21,14,14,36,79,10,47,67,64,70,32,32,48,40,40,62,41,61,43,70,37,16,16,31,13,13,30,22,53,12,12,53,24,12,9,64,11,20,12,12,29,56,75,69,85,30,51,16,16,6,15,8,23,8,18,7,21,11,65
Thanasis Antetokounmpo,MIL,29.3,Big,359,24,82,16,43,10,95,18,14,30,16,0,34,46,45,47,32,9,3,5,15,56,9,63,18,98,21,77,63,63,40,24,22,9,36,8,18,18,75,54,13,23,40,19,21,18,18,40,94,73,94,62,3,8,63,63,97,22,98,99,73,99,89,59,90,3,3,3,15,68,9,28,8,5,5,13,16,37,21,16,14,9,5,5,49,59,88,81,34,22,21,3,3,67,68,48,24,42,8,92,60,87,62
Carmelo Anthony,LAL,37.4,Big,1784,39,55,69,5,9,74,15,89,15,44,38,66,48,20,11,94,62,24,28,17,61,41,88,86,57,59,50,88,88,83,56,7,32,36,36,86,86,70,79,26,65,91,63,84,86,86,22,43,38,36,84,76,87,88,88,87,6,90,27,74,33,95,4,93,24,24,23,56,58,78,51,91,28,28,33,47,33,38,16,13,11,28,28,91,67,6,22,90,9,32,24,24,22,49,17,27,16,24,30,37,27,39
Cole Anthony,ORL,21.5,Point,2044,38,8,24,20,90,0,78,69,70,74,46,72,42,54,24,50,39,48,50,44,16,42,35,31,47,79,12,35,35,39,78,68,40,78,17,31,31,31,59,64,65,58,22,30,31,31,51,66,33,52,57,38,43,35,35,32,62,33,64,79,62,22,85,30,48,48,55,21,32,39,29,66,50,50,46,65,6,32,39,56,56,50,50,22,28,25,18,99,73,92,48,48,17,41,22,45,27,51,19,56,19,24
OG Anunoby,TOR,24.3,Wing,1722,71,87,54,84,57,70,96,27,41,81,38,74,37,60,39,54,42,62,69,86,28,62,26,66,28,15,63,26,26,58,11,64,28,22,50,66,66,52,28,36,25,43,90,84,66,66,35,37,83,61,16,79,58,26,26,37,71,43,85,13,91,15,80,13,62,62,72,17,53,16,16,33,69,69,89,72,29,53,86,23,47,69,69,66,31,89,69,32,24,22,62,62,93,68,91,92,88,93,87,59,82,44
Trevor Ariza,LAL,36.3,Forward,453,30,40,95,27,80,0,24,0,28,47,89,10,3,36,65,66,49,74,46,91,41,54,21,23,40,80,9,21,21,9,82,95,64,95,10,23,23,3,28,84,58,34,59,48,23,23,78,81,4,30,6,74,37,21,21,78,78,65,25,43,6,96,77,93,74,74,63,27,65,57,32,86,46,46,19,30,74,47,99,12,52,46,46,86,9,17,6,17,87,71,74,74,54,57,43,61,16,65,47,82,34,5
D.J. Augustin,LAL,34.0,Combo,357,16,12,82,6,4,0,0,0,8,2,92,1,98,20,64,60,98,75,68,97,8,47,98,97,95,69,19,98,98,98,62,100,40,61,26,97,97,63,92,80,92,97,93,98,97,97,10,18,87,47,78,92,96,98,98,80,100,77,91,98,68,62,100,75,75,75,68,4,93,29,13,77,68,68,6,5,95,12,90,93,97,68,68,92,16,16,10,22,62,48,75,75,97,98,95,85,57,92,96,99,84,97
D.J. Augustin,HOU,34.0,Point,507,0,4,96,14,6,0,0,72,34,44,42,14,98,16,58,6,59,51,33,38,88,75,62,66,61,30,51,62,62,57,61,15,49,24,74,66,66,24,48,37,39,75,84,88,66,66,57,67,43,58,18,52,30,62,62,54,19,60,49,16,58,44,11,43,51,51,33,90,27,80,77,66,33,33,59,23,53,28,44,29,27,33,33,53,54,45,46,28,63,52,51,51,35,10,40,47,21,41,31,4,33,88
Deni Avdija,WAS,20.8,Forward,1910,66,52,19,39,90,57,97,39,47,66,23,56,35,68,62,33,40,37,20,84,89,20,51,16,81,93,26,51,51,41,90,74,60,74,40,16,16,47,74,81,86,96,1,3,16,16,63,54,20,33,95,16,51,51,51,11,53,14,43,90,17,13,29,21,37,37,25,85,75,28,54,16,20,20,23,8,65,16,96,4,34,20,20,83,5,29,6,77,71,77,37,37,80,83,58,58,64,33,74,65,68,36
Deandre Ayton,PHX,23.3,Big,1708,28,44,80,64,82,51,89,58,24,33,49,69,85,41,22,55,40,44,48,62,23,57,42,60,54,21,62,42,42,72,38,64,29,24,55,60,60,54,91,46,89,87,23,48,60,60,22,90,62,89,54,23,28,42,42,18,73,11,39,87,29,21,61,15,44,44,53,35,14,37,47,35,48,48,30,44,94,77,16,47,27,48,48,80,54,5,14,65,58,64,44,44,54,10,54,32,38,28,62,7,63,86
Udoka Azubuike,UTA,22.1,Big,155,95,2,29,56,76,0,12,0,38,12,99,4,96,0,0,0,47,43,34,39,62,60,56,42,80,38,46,56,56,50,57,32,20,28,30,42,42,5,52,49,52,28,91,85,42,42,65,73,60,74,14,30,13,56,56,50,40,47,60,11,52,41,52,45,43,43,31,51,77,85,86,78,34,34,46,6,34,9,91,23,50,34,34,84,32,15,16,43,60,57,43,43,43,57,27,55,25,34,33,63,28,98
Marvin Bagley,DET,22.6,Big,488,8,60,78,45,42,0,52,10,58,64,82,71,52,34,19,91,29,55,67,55,28,62,19,29,44,20,37,19,19,22,16,36,19,15,43,29,29,68,42,14,18,34,41,36,29,29,14,34,52,39,87,86,94,19,19,52,49,54,89,80,91,28,27,31,55,55,78,18,79,28,34,38,67,67,68,84,55,80,42,55,51,67,67,42,58,73,70,43,39,38,55,55,34,85,22,10,85,6,67,89,57,59
Marvin Bagley,SAC,22.6,Big,650,12,9,92,62,78,82,72,59,20,34,87,51,10,9,7,92,73,96,95,90,36,81,11,36,24,22,53,11,11,27,37,39,9,23,10,36,36,15,36,31,27,38,71,66,36,36,62,72,38,61,33,31,26,11,11,33,69,40,17,68,9,52,21,69,96,96,96,36,90,53,52,55,95,95,95,94,74,95,89,59,82,95,95,12,87,94,96,74,10,23,96,96,89,91,75,79,77,67,79,88,59,9
LaMelo Ball,CHA,20.2,Point,2403,64,70,16,100,94,80,82,81,44,76,64,80,66,82,52,34,32,17,30,32,37,10,65,39,80,74,51,65,65,50,60,74,69,81,39,39,39,32,38,78,58,62,56,63,39,39,16,91,73,92,69,20,31,65,65,66,53,62,57,25,51,68,62,67,17,17,38,24,74,20,50,9,30,30,25,4,84,26,46,65,66,30,30,23,43,91,78,95,16,47,17,17,16,71,15,37,74,15,16,38,20,74
Lonzo Ball,CHI,24.0,Point,1204,98,88,52,76,78,0,86,22,14,20,94,18,78,12,44,16,77,47,38,64,45,59,89,91,13,64,96,89,89,90,61,65,54,42,62,91,91,83,95,65,93,24,59,44,91,91,71,13,31,12,80,65,75,89,89,61,81,62,82,21,82,45,78,46,47,47,47,31,23,35,22,62,38,38,77,49,85,71,42,6,8,38,38,33,46,73,60,53,56,57,47,47,23,49,15,15,43,12,38,37,35,96
Mohamed Bamba,ORL,23.5,Big,1795,92,26,53,46,70,49,86,70,7,14,25,46,36,44,32,66,83,63,83,69,33,33,84,84,46,47,61,84,84,85,71,38,70,43,79,84,84,76,50,11,20,74,82,86,84,84,91,21,22,14,33,45,36,84,84,29,60,34,63,22,75,10,54,10,63,63,87,33,81,42,51,36,83,83,86,85,32,69,31,67,59,83,83,79,65,41,52,74,12,26,63,63,13,88,11,8,85,3,42,71,54,48
Desmond Bane,MEM,23.4,Wing,2262,60,82,42,35,62,44,89,96,22,62,79,83,83,77,57,67,79,71,71,60,68,40,71,78,55,31,67,71,71,83,29,75,47,48,47,78,78,70,42,68,53,77,57,73,78,78,38,7,64,15,81,85,91,71,71,48,88,55,47,78,61,43,83,48,71,71,58,73,62,80,75,77,71,71,45,74,68,78,57,53,61,71,71,39,47,11,19,95,63,84,71,71,74,60,92,81,52,82,56,57,90,81
Dalano Banton,TOR,22.0,Combo,626,85,63,35,96,96,85,34,1,78,43,44,29,13,51,72,9,19,32,41,50,9,58,20,16,88,51,27,20,20,30,11,14,13,6,60,16,16,56,93,35,86,15,6,5,16,16,39,92,17,75,79,18,31,20,20,47,53,41,61,81,47,42,26,41,32,32,53,9,9,14,8,45,41,41,25,35,70,48,57,83,82,41,41,13,44,100,96,41,22,22,32,32,49,12,43,6,58,3,88,2,97,16
Harrison Barnes,SAC,29.4,Forward,2581,5,16,100,46,56,53,65,61,97,88,55,70,94,63,43,45,85,79,54,67,78,95,70,58,79,52,29,70,70,56,54,79,79,82,65,58,58,22,28,14,12,70,86,87,58,58,59,17,22,11,91,62,83,70,70,64,54,64,55,35,57,61,43,55,79,79,57,78,62,61,75,34,54,54,36,10,78,26,58,79,80,54,54,65,70,47,61,31,31,29,79,79,98,40,99,79,33,85,98,24,99,79
Scottie Barnes,TOR,20.3,Forward,2603,57,48,57,96,63,90,50,35,72,84,65,76,47,80,76,38,66,73,33,74,68,98,46,34,57,75,25,46,46,18,81,80,67,60,61,34,34,16,31,31,26,56,68,67,34,34,29,71,15,44,59,75,79,46,46,72,83,69,58,71,44,73,66,73,73,73,66,69,36,73,53,84,33,33,61,94,18,79,72,7,21,33,33,71,99,60,97,17,2,2,73,73,32,34,29,68,23,69,19,34,16,47
RJ Barrett,NYK,21.4,Wing,2407,19,5,83,57,78,64,86,18,94,72,42,92,20,81,41,55,41,42,52,52,25,55,47,42,58,35,37,47,47,42,45,21,6,21,10,42,42,7,79,48,74,92,23,53,42,42,26,10,62,19,90,84,95,47,47,83,34,80,54,83,35,79,16,76,42,42,66,28,50,54,48,60,52,52,42,76,87,88,53,51,54,52,52,7,83,92,92,64,33,41,42,42,13,59,9,14,49,13,22,79,16,12
Will Barton,DEN,30.8,Wing,2272,63,22,94,39,76,45,70,43,42,66,31,81,43,87,87,32,69,72,80,77,87,5,51,43,17,87,87,51,51,33,93,39,83,86,60,43,43,84,9,67,16,49,25,26,43,43,75,21,51,26,31,58,46,51,51,28,28,33,27,3,56,34,29,39,72,72,80,76,93,71,91,13,80,80,22,69,87,85,72,76,82,80,80,90,76,17,48,49,11,16,72,72,65,78,60,18,27,17,90,87,93,47
Charles Bassey,PHI,21.0,Big,124,99,51,2,84,85,0,100,0,84,47,21,29,94,42,49,11,61,36,26,36,59,15,79,88,98,55,4,79,79,95,60,71,5,14,10,88,88,11,1,98,59,47,97,95,88,88,77,1,10,1,96,87,97,79,79,78,92,83,95,57,98,58,93,60,36,36,9,51,85,92,89,86,26,26,3,88,2,35,4,95,65,26,26,44,57,19,33,93,43,70,36,36,76,52,93,67,41,59,79,19,98,96
Keita Bates-Diop,SAS,25.8,Big,911,10,52,96,31,33,54,34,65,41,8,69,21,35,24,33,32,52,54,72,3,33,26,50,58,26,95,4,50,50,50,95,84,80,91,37,58,58,25,89,94,95,66,25,35,58,58,45,95,29,85,22,24,14,50,50,2,82,2,37,90,50,3,75,1,54,54,47,38,86,4,50,1,72,72,2,47,14,17,98,97,100,72,72,95,5,96,50,67,3,7,54,54,49,97,42,57,92,36,35,83,37,38
Nicolas Batum,LAC,32.9,Forward,1457,85,71,83,15,71,0,26,13,16,14,44,20,91,61,80,64,71,65,29,47,89,53,65,63,68,59,33,65,65,74,70,53,76,77,57,63,63,64,43,75,63,35,72,64,63,63,28,62,88,80,36,47,39,65,65,24,39,24,12,14,16,37,38,36,65,65,39,91,51,87,91,35,29,29,29,57,28,54,51,25,28,29,29,70,83,18,55,40,29,30,65,65,35,22,42,70,15,77,22,22,21,97
Kent Bazemore,LAL,32.3,Wing,487,45,88,3,36,28,0,66,0,39,43,11,14,6,26,60,20,75,37,41,68,42,40,94,61,59,91,80,94,94,68,68,78,73,81,45,61,61,35,65,58,67,11,55,35,61,61,97,21,4,6,76,17,28,94,94,87,75,85,51,38,49,82,89,81,37,37,44,32,13,5,12,15,41,41,55,47,6,29,21,65,44,41,41,37,22,45,25,54,85,82,37,37,44,22,57,15,40,12,72,28,87,7
Darius Bazley,OKC,21.4,Forward,1931,95,51,99,50,91,83,83,19,87,29,32,65,24,37,20,32,11,33,31,41,48,27,7,6,71,30,39,7,7,5,17,50,43,44,44,6,6,46,32,57,40,12,11,6,6,6,38,66,81,79,12,56,28,7,7,64,47,69,75,78,83,52,60,52,33,33,36,49,20,17,48,9,31,31,38,34,77,56,67,15,24,31,31,20,34,26,22,84,90,92,33,33,40,16,41,25,9,21,59,47,60,23
Bradley Beal,WAS,28.3,Combo,1438,55,25,79,75,61,0,47,51,79,75,32,99,48,90,62,38,81,95,87,22,90,65,29,12,74,87,16,29,29,11,84,89,95,78,95,12,12,0,85,39,79,13,80,55,12,12,19,68,40,58,47,81,78,29,29,30,72,25,72,1,72,20,77,23,95,95,100,93,27,75,74,59,87,87,93,99,99,100,10,4,3,87,87,97,29,5,7,15,58,40,95,95,2,17,2,53,24,52,1,21,1,40
Malik Beasley,MIN,24.9,Wing,1959,13,13,99,17,50,0,35,71,7,3,38,60,44,39,28,97,18,24,20,15,92,45,25,40,65,60,4,25,25,28,81,58,82,30,94,40,40,90,2,30,3,90,28,56,40,40,29,96,62,95,23,16,11,25,25,4,58,4,76,16,60,2,81,2,24,24,21,82,2,54,81,12,20,20,4,10,30,9,100,46,84,20,20,25,1,53,3,12,100,99,24,24,29,0,32,21,2,20,34,0,36,56
