Player,Team,Age,Pos,MIN,BLK% Rank,STL% Rank,FOUL% Rank,fgOR% Rank,fgDR% Rank,ftOR% Rank,ftDR% Rank,FT% Rank,SFLD% Rank,FFLD% Rank,AND1% Rank,Usage Rank,PSA Rank,AST% Rank,AST:Usg Rank,TOV% Rank,OnOff_Opp_Diff Rank,OnOff_Opp_OFFENSE: Pts/Poss Rank,OnOff_Opp_OFFENSE: eFG% Rank,OnOff_Opp_OFFENSE: TOV% Rank,OnOff_Opp_OFFENSE: ORB% Rank,OnOff_Opp_OFFENSE: FT Rate Rank,OnOff_Opp_DEFENSE: Pts/Poss Rank,OnOff_Opp_DEFENSE: eFG% Rank,OnOff_Opp_DEFENSE: TOV% Rank,OnOff_Opp_DEFENSE: ORB% Rank,OnOff_Opp_DEFENSE: FT Rate Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_HALFCOURT: Pts/Play Rank,OnOff_Opp_HALFCOURT: OREB% Rank,OnOff_Opp_HALFCOURT: % of Plays Rank,OnOff_Opp_PUTBACKS: Pts/Miss Rank,OnOff_Opp_PUTBACKS: Plays/Miss Rank,OnOff_Opp_PUTBACKS: Pts/Play Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_TEAM FG%: Rim Rank,OnOff_Opp_TEAM FG%: Short Mid Rank,OnOff_Opp_TEAM FG%: Long Mid Rank,OnOff_Opp_TEAM FG%: All Mid Rank,OnOff_Opp_TEAM FG%: Corner Three Rank,OnOff_Opp_TEAM FG%: Non Corner Rank,OnOff_Opp_TEAM FG%: All Three Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_SHOT FREQUENCY: Rim Rank,OnOff_Opp_SHOT FREQUENCY: Short Mid Rank,OnOff_Opp_SHOT FREQUENCY: Long Mid Rank,OnOff_Opp_SHOT FREQUENCY: All Mid Rank,OnOff_Opp_SHOT FREQUENCY: Corner Three Rank,OnOff_Opp_SHOT FREQUENCY: Non Corner Rank,OnOff_Opp_SHOT FREQUENCY: All Three Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_ALL TRANSITION: Pts+/Poss Rank,OnOff_Opp_ALL TRANSITION: Freq Rank,OnOff_Opp_ALL TRANSITION: Pts/Play Rank,OnOff_Opp_OFF STEALS: Pts+/Poss Rank,OnOff_Opp_OFF STEALS: Freq Rank,OnOff_Opp_OFF STEALS: Pts/Play Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Opp_OFF LIVE REBOUNDS: Freq Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts/Play Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_HALFCOURT: Pts/Play Rank,OnOff_Team_HALFCOURT: OREB% Rank,OnOff_Team_HALFCOURT: % of Plays Rank,OnOff_Team_PUTBACKS: Pts/Miss Rank,OnOff_Team_PUTBACKS: Plays/Miss Rank,OnOff_Team_PUTBACKS: Pts/Play Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_TEAM FG%: Rim Rank,OnOff_Team_TEAM FG%: Short Mid Rank,OnOff_Team_TEAM FG%: Long Mid Rank,OnOff_Team_TEAM FG%: All Mid Rank,OnOff_Team_TEAM FG%: Corner Three Rank,OnOff_Team_TEAM FG%: Non Corner Rank,OnOff_Team_TEAM FG%: All Three Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_SHOT FREQUENCY: Rim Rank,OnOff_Team_SHOT FREQUENCY: Short Mid Rank,OnOff_Team_SHOT FREQUENCY: Long Mid Rank,OnOff_Team_SHOT FREQUENCY: All Mid Rank,OnOff_Team_SHOT FREQUENCY: Corner Three Rank,OnOff_Team_SHOT FREQUENCY: Non Corner Rank,OnOff_Team_SHOT FREQUENCY: All Three Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_ALL TRANSITION: Pts+/Poss Rank,OnOff_Team_ALL TRANSITION: Freq Rank,OnOff_Team_ALL TRANSITION: Pts/Play Rank,OnOff_Team_OFF STEALS: Pts+/Poss Rank,OnOff_Team_OFF STEALS: Freq Rank,OnOff_Team_OFF STEALS: Pts/Play Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Team_OFF LIVE REBOUNDS: Freq Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts/Play Rank,eFG% Rank
Andray Blatche,WAS,19.2,Big,123,56,84,4,9,8,99,78,0,0,0,100,72,5,66,59,51,34,82,79,80,95,42,5,98,14,0,0,5,5,19,0,2,3,0,89,98,98,98,77,98,97,66,17,33,98,98,72,4,94,53,5,60,23,5,5,60,72,40,39,52,52,76,70,53,82,82,76,96,6,84,69,78,79,79,67,43,28,33,61,96,91,79,79,83,6,72,36,98,5,41,82,82,52,8,38,53,4,44,71,49,57,12
Mark Blount,BOS,29.9,Big,1077,53,20,88,7,2,0,33,77,49,70,91,90,73,84,68,8,40,78,93,16,40,75,11,14,48,23,88,11,11,18,31,91,41,64,23,14,14,15,22,31,20,65,33,45,14,14,76,44,26,25,50,59,55,11,11,35,82,41,34,66,61,43,91,43,78,78,63,40,51,61,39,85,93,93,71,97,82,93,90,88,93,93,93,49,94,68,92,14,7,6,78,78,99,57,99,66,45,72,100,84,99,59
Mark Blount,MIN,29.9,Big,1140,60,55,53,12,9,43,23,69,38,49,59,62,62,45,34,30,38,39,81,22,7,61,47,7,72,52,98,47,47,17,83,78,93,85,89,7,7,14,16,5,4,97,9,43,7,7,92,48,21,23,27,36,30,47,47,34,52,22,92,91,66,13,2,16,39,39,68,11,4,64,20,96,81,81,17,92,96,97,25,82,76,81,81,36,89,83,93,24,9,8,39,39,14,12,28,20,4,47,18,41,25,54
Keith Bogans,CHA,25.5,Wing,842,14,85,41,63,52,82,33,45,75,63,59,57,43,32,20,71,19,33,35,61,5,98,24,46,41,31,14,24,24,39,29,44,72,47,85,46,46,67,69,29,45,37,52,47,46,46,35,86,61,81,37,22,23,24,24,20,36,14,36,74,33,16,44,13,33,33,26,12,49,46,26,77,35,35,31,25,19,16,37,69,56,35,35,75,31,19,14,67,81,79,33,33,88,27,89,57,29,78,94,71,93,34
Keith Bogans,HOU,25.5,Wing,1042,30,45,43,48,84,0,18,1,67,36,89,29,17,57,79,36,32,21,29,8,76,44,67,54,84,29,78,67,67,79,28,9,40,18,83,54,54,40,76,27,46,46,88,84,54,54,34,8,96,76,4,76,34,67,67,18,18,23,54,39,69,13,20,16,21,21,16,80,68,92,93,56,29,29,7,58,68,69,13,46,17,29,29,92,89,6,25,17,49,35,21,21,22,28,18,16,20,8,28,29,38,27
Andrew Bogut,MIL,20.9,Big,2335,47,49,68,51,52,30,85,34,40,43,75,53,75,94,97,51,86,50,71,18,69,23,95,86,49,87,92,95,95,83,87,37,90,64,96,86,86,90,27,69,50,22,86,65,86,86,49,31,29,23,89,68,82,95,95,90,33,89,48,88,30,93,14,94,50,50,48,67,68,86,85,59,71,71,17,80,64,77,71,82,87,71,71,75,72,22,33,67,38,48,50,50,22,64,19,10,48,13,40,59,40,84
Matt Bonner,TOR,25.6,Forward,1665,73,58,20,52,40,27,45,81,10,28,82,15,85,18,30,98,37,52,55,76,27,59,29,31,73,46,33,29,29,37,19,57,59,49,62,31,31,66,35,79,65,22,9,6,31,31,71,46,77,70,15,14,11,29,29,46,75,33,48,58,24,41,69,37,52,52,46,53,15,54,13,96,55,55,65,36,31,32,53,31,38,55,55,27,4,31,7,84,97,97,52,52,51,21,73,58,40,78,36,30,51,95
Calvin Booth,WAS,29.5,Big,220,65,93,8,30,1,97,59,0,31,3,37,11,9,74,96,52,18,55,46,40,71,87,9,56,76,2,0,9,9,15,3,37,1,1,27,56,56,97,44,92,85,0,25,2,56,56,34,98,34,86,43,13,17,9,9,80,89,59,79,99,52,66,47,53,55,55,41,80,8,45,28,70,46,46,99,1,87,32,63,3,4,46,46,12,10,92,68,66,66,69,55,55,54,10,69,78,94,46,34,5,67,20
Carlos Boozer,UTA,23.9,Big,1023,6,77,84,28,91,94,89,63,53,42,47,91,89,96,91,64,43,95,98,90,43,34,2,3,14,32,43,2,2,1,30,13,19,16,39,3,3,18,48,35,34,71,4,10,3,3,2,88,97,97,20,39,29,2,2,56,32,60,11,15,24,84,35,79,95,95,95,61,70,96,88,90,98,98,92,82,79,87,91,93,96,98,98,88,80,11,27,27,51,43,95,95,58,64,52,71,90,44,35,65,41,87
Chris Bosh,TOR,21.6,Big,2745,46,36,94,44,68,30,39,91,84,90,54,94,90,89,71,92,88,87,86,46,61,78,65,32,67,81,77,65,65,42,88,73,49,61,42,32,32,60,15,19,10,67,24,43,32,32,46,46,27,26,88,66,81,65,65,74,63,64,84,80,90,58,51,45,87,87,78,63,35,51,34,77,86,86,90,43,90,83,55,69,68,86,86,56,59,69,72,89,6,22,87,87,82,57,78,97,76,97,44,34,38,56
Bruce Bowen,SAS,34.4,Wing,2745,64,46,71,11,45,79,89,4,12,25,47,2,64,8,44,72,71,81,92,35,78,34,35,64,3,47,74,35,35,39,47,49,63,32,87,64,64,68,53,59,53,91,36,69,64,64,29,82,43,61,84,34,57,35,35,25,61,25,69,47,79,15,36,14,81,81,83,53,48,42,57,25,92,92,92,83,92,93,64,61,72,92,92,86,73,84,87,20,2,3,81,81,76,61,58,18,64,17,91,56,85,85
Ryan Bowen,HOU,29.9,Forward,618,25,62,13,32,7,87,8,0,7,2,97,0,2,25,58,85,14,10,7,41,41,15,64,36,39,90,49,64,64,36,62,42,92,91,83,36,36,35,47,23,27,46,45,47,36,36,92,61,19,25,60,16,25,64,64,74,15,80,74,20,53,51,15,74,10,10,3,59,50,69,53,86,7,7,16,44,15,21,35,28,20,7,7,37,59,88,84,7,30,17,10,10,61,20,72,62,38,77,56,18,58,2
Earl Boykins,DEN,29.4,Point,1515,33,38,92,23,0,75,35,92,31,65,73,79,56,44,19,94,18,60,17,91,69,57,6,7,62,11,22,6,6,16,10,26,7,8,26,7,7,15,51,23,31,10,42,14,7,7,31,12,84,57,17,83,61,6,6,12,63,8,16,62,6,18,64,19,60,60,45,80,58,79,87,41,17,17,13,54,56,56,22,34,23,17,17,7,79,30,49,74,90,86,60,60,48,16,47,14,64,28,68,64,55,50
Michael Bradley,PHI,26.5,Big,323,29,28,72,80,74,99,75,0,1,3,98,18,7,78,94,13,26,12,2,21,80,62,74,81,51,64,53,74,74,52,46,94,100,98,94,81,81,30,83,66,81,82,67,83,81,81,95,71,25,37,0,56,8,74,74,75,65,69,87,28,92,67,83,52,12,12,8,92,3,74,83,37,2,2,4,4,16,4,2,70,15,2,2,53,7,70,37,79,56,67,12,12,8,1,10,7,57,7,12,0,15,13
Elton Brand,LAC,26.6,Big,3096,89,68,95,49,61,24,35,80,59,92,82,95,85,92,73,95,74,86,78,96,28,61,28,54,2,38,79,28,28,31,70,33,39,48,38,54,54,77,12,4,3,95,59,84,54,54,59,18,22,13,72,91,88,28,28,71,62,63,35,7,19,77,64,79,86,86,93,43,61,39,25,73,78,78,39,91,51,82,90,96,97,78,78,5,69,85,86,55,57,57,86,86,47,82,35,33,59,26,43,90,35,77
Primoz Brezec,CHA,26.1,Big,2160,16,4,77,41,13,49,42,66,35,70,84,65,71,25,16,94,10,37,41,81,32,8,6,5,17,33,94,6,6,7,58,20,24,24,39,5,5,10,29,10,10,17,52,29,5,5,8,49,45,46,76,93,93,6,6,16,8,22,43,33,36,10,13,19,37,37,48,19,40,23,40,23,41,41,32,51,50,48,29,85,71,41,41,37,54,92,90,23,12,11,37,37,39,53,49,20,84,30,64,69,64,68
Devin Brown,UTA,26.8,Wing,1641,51,20,53,77,22,92,50,34,83,48,15,54,32,45,33,27,34,43,28,71,66,33,37,27,72,44,65,37,37,29,45,60,34,29,52,27,27,59,36,76,61,13,15,8,27,27,65,61,68,70,28,13,15,37,37,82,68,83,87,63,92,50,76,43,43,43,35,62,96,74,89,27,28,28,24,11,39,20,27,66,61,28,28,75,68,22,31,69,43,53,43,43,57,89,42,93,98,66,27,66,25,17
Kwame Brown,LAL,23.6,Big,1966,31,18,81,67,30,55,61,16,91,68,71,29,63,50,63,26,45,36,58,17,61,21,61,44,77,52,83,61,61,74,60,12,42,47,45,44,44,38,92,29,65,55,39,43,44,44,32,34,70,59,69,49,58,61,61,14,4,19,31,18,52,15,6,17,36,36,31,53,49,30,23,60,58,58,44,52,81,79,20,45,33,58,58,69,33,51,42,29,57,47,36,36,75,63,77,90,37,91,48,50,46,72
P.J. Brown,NOP,36.0,Big,2365,26,42,82,38,49,80,64,94,34,23,47,34,36,54,68,70,48,38,45,75,33,20,65,62,3,86,94,65,65,51,83,36,83,84,55,62,62,48,26,33,24,80,57,74,62,62,67,20,14,10,93,82,89,65,65,42,26,63,15,15,16,59,18,78,38,38,48,26,26,33,22,66,45,45,57,31,59,47,35,60,53,45,45,17,73,80,85,18,41,31,38,38,13,59,12,9,19,27,29,79,22,24
Rick Brunson,HOU,33.4,Combo,206,53,67,24,2,62,0,75,0,9,4,95,25,2,73,96,2,37,54,84,42,12,35,28,73,22,45,33,28,28,76,41,35,25,82,1,73,73,56,38,70,57,63,86,85,73,73,62,89,65,86,1,39,6,28,28,11,33,19,2,7,12,38,57,42,54,54,86,5,10,25,4,94,84,84,76,72,65,76,96,6,88,84,84,51,87,59,79,96,2,16,54,54,3,29,1,8,6,4,6,40,2,4
Kobe Bryant,LAL,27.2,Combo,3271,80,80,91,71,93,56,69,91,73,100,53,100,87,56,11,95,94,100,100,98,70,85,3,10,27,12,19,3,3,4,26,62,35,25,64,10,10,12,37,26,24,38,40,36,10,10,6,69,31,43,52,99,96,3,3,43,79,28,32,9,28,61,56,49,100,100,100,65,82,28,58,12,100,100,94,86,99,97,83,92,94,100,100,58,18,58,38,26,76,61,100,100,100,90,99,98,54,97,99,98,98,67
Greg Buckner,DEN,29.1,Wing,1721,59,88,23,25,60,0,49,63,7,18,98,8,76,47,89,73,52,52,49,51,52,61,57,29,93,70,21,57,57,52,56,65,69,48,78,29,29,8,93,24,64,46,47,50,29,29,81,33,56,48,62,8,19,57,57,18,77,11,47,69,19,16,67,18,52,52,53,67,26,31,40,33,49,49,40,63,65,67,22,60,43,49,49,11,50,38,39,92,84,88,52,52,40,24,51,67,39,66,31,23,38,85
Pat Burke,PHX,31.9,Big,268,42,49,22,9,12,97,54,0,8,66,20,84,27,55,38,16,8,14,28,1,96,6,15,37,6,51,47,15,15,58,15,4,19,24,23,37,37,13,11,95,81,86,29,51,37,37,21,97,15,62,28,78,64,15,15,2,13,4,2,1,29,6,84,4,14,14,2,91,77,90,92,46,28,28,44,75,15,29,98,21,61,28,28,37,29,92,81,2,55,21,14,14,77,66,47,48,62,64,78,57,41,45
Antonio Burks,MEM,25.7,Point,513,0,56,48,10,8,0,0,0,17,21,98,33,4,37,46,21,13,9,20,5,55,42,61,58,97,10,45,61,61,77,3,93,36,55,24,58,58,29,43,84,75,40,61,55,58,58,54,39,51,46,67,41,51,61,61,62,94,58,56,72,71,54,97,49,9,9,12,73,45,27,71,5,20,20,49,13,24,13,94,40,76,20,20,63,50,97,96,3,3,2,9,9,41,33,49,80,34,68,27,19,37,6
Kevin Burleson,CHA,26.6,Combo,307,73,100,0,31,13,0,96,0,18,36,58,27,4,62,89,9,86,17,8,49,7,98,99,86,98,98,21,99,99,96,88,99,95,95,78,86,86,59,81,44,64,99,85,97,86,86,10,96,88,97,5,18,8,99,99,88,99,69,69,98,64,92,97,75,17,17,33,10,52,1,1,26,8,8,46,78,10,29,31,2,2,8,8,21,9,6,2,96,99,99,17,17,16,87,24,41,31,24,10,29,22,2
Caron Butler,WAS,25.6,Wing,2688,34,87,69,80,93,54,56,91,59,52,41,78,58,54,27,47,46,59,44,52,46,94,29,34,41,70,44,29,29,23,81,53,59,78,33,34,34,16,11,56,21,84,87,92,34,34,37,86,53,77,35,27,28,29,29,71,40,74,56,20,46,74,37,81,59,59,64,38,54,31,18,65,44,44,49,63,84,84,16,22,14,44,44,69,51,78,74,20,14,12,59,59,66,69,57,47,52,45,73,85,69,54
Jackie Butler,NYK,20.6,Big,651,72,56,26,76,35,52,95,65,52,46,94,64,88,37,21,4,97,95,99,42,57,53,81,91,61,45,26,81,81,90,44,44,71,71,61,91,91,84,91,85,94,94,18,57,91,91,58,39,74,64,37,23,24,81,81,18,25,16,38,77,28,21,3,26,95,95,94,50,61,85,79,65,99,99,91,99,87,99,71,83,88,99,99,40,53,52,52,78,43,56,95,95,93,46,98,72,90,64,87,22,98,85
Rasual Butler,NOP,26.4,Wing,1787,95,11,65,50,67,45,21,19,20,13,28,35,33,1,0,91,57,76,73,57,72,57,28,45,71,16,26,28,28,30,21,78,31,42,31,45,45,71,91,8,39,31,58,49,45,45,25,55,73,71,47,48,48,28,28,87,90,81,85,59,78,70,80,63,76,76,66,71,13,57,48,66,73,73,84,86,13,37,51,68,67,73,73,28,20,36,22,88,86,88,76,76,84,11,95,78,21,82,81,11,95,48
Andrew Bynum,LAL,18.0,Big,307,92,15,19,64,24,72,70,0,35,8,92,31,0,39,49,43,19,13,36,48,8,1,65,85,36,73,12,65,65,81,62,26,40,46,37,85,85,82,30,94,82,5,71,38,85,85,88,9,40,18,80,27,50,65,65,25,35,27,18,33,4,39,50,46,13,13,38,3,39,22,47,14,36,36,3,34,41,36,62,78,81,36,36,4,83,20,43,93,88,93,13,13,7,70,5,48,54,61,5,57,3,3
Will Bynum,GSW,22.8,Point,144,0,85,81,58,17,0,0,0,69,31,54,48,23,12,8,13,2,22,3,43,71,94,1,0,35,0,24,1,1,6,2,0,0,0,58,0,0,38,0,0,0,55,97,94,0,0,1,99,92,98,29,30,25,1,1,1,0,6,40,87,22,1,0,13,22,22,15,47,3,5,27,4,3,3,4,99,1,20,2,49,6,3,3,100,87,4,17,14,5,5,22,22,36,2,46,92,98,74,9,1,9,37
Zarko Cabarkapa,GSW,24.4,Big,442,10,46,16,37,63,40,9,48,72,74,15,85,6,51,28,73,4,10,15,74,15,24,5,1,30,77,54,5,5,3,50,91,98,97,76,1,1,50,2,11,1,12,22,10,1,1,21,85,74,87,46,21,26,5,5,7,66,2,23,77,3,6,51,7,10,10,23,16,4,9,16,16,15,15,7,81,38,59,9,68,39,15,15,28,80,77,87,10,33,20,10,10,33,13,36,79,8,78,9,26,14,4
Jose Calderon,TOR,24.1,Point,1445,35,35,75,60,52,79,52,84,65,40,81,21,44,71,92,10,46,40,42,45,26,81,59,74,53,15,78,59,59,69,31,13,37,8,95,74,74,92,16,77,48,37,69,57,74,74,28,87,74,88,25,22,18,59,59,45,28,51,39,44,47,48,33,47,40,40,43,25,66,46,30,80,42,42,46,22,32,22,66,40,54,42,42,88,37,26,22,81,29,49,40,40,64,71,55,79,50,84,55,72,41,27
Marcus Camby,DEN,31.6,Big,1851,96,94,91,36,99,0,97,60,22,26,46,66,24,82,79,79,63,44,43,30,78,61,78,92,28,47,65,78,78,91,53,7,33,32,44,92,92,93,86,46,69,61,49,56,92,92,46,66,9,19,61,93,87,78,78,47,14,64,64,48,84,33,9,34,44,44,36,59,75,67,72,47,43,43,63,21,45,35,51,15,19,43,43,92,46,79,73,7,4,3,44,44,53,60,52,53,68,45,51,18,54,28
Brian Cardinal,MEM,28.5,Big,388,0,100,18,1,6,0,48,55,23,72,10,66,33,94,92,20,69,44,74,37,24,9,84,39,86,92,46,84,84,22,85,89,80,59,88,39,39,11,13,39,20,72,73,80,39,39,98,14,4,2,96,24,59,84,84,99,94,99,90,49,84,98,97,99,44,44,66,5,60,4,39,1,74,74,92,12,53,28,95,35,83,74,74,54,37,90,80,60,8,13,44,44,84,80,88,50,17,40,79,68,89,33
Matt Carroll,CHA,25.2,Wing,1199,53,65,40,42,85,61,0,82,65,37,59,48,68,3,2,95,61,58,35,72,38,87,62,61,59,95,8,62,62,49,89,84,47,83,12,61,61,60,33,91,81,64,34,46,61,61,46,76,87,90,9,13,7,62,62,65,79,54,51,68,39,55,89,49,58,58,77,43,47,9,23,14,35,35,16,89,29,51,54,19,34,35,35,41,33,29,22,97,68,84,58,58,27,75,20,65,68,41,13,51,11,49
Anthony Carter,MIN,30.4,Point,569,96,69,17,37,77,0,56,26,88,46,77,31,33,54,69,17,53,53,27,58,80,70,57,79,60,34,7,57,57,47,14,37,25,8,79,79,79,99,15,15,7,8,69,25,79,79,89,8,25,10,17,89,69,57,57,79,79,81,73,10,93,58,94,44,53,53,44,78,87,64,61,60,27,27,10,97,14,47,90,13,44,27,27,75,44,48,44,76,20,39,53,53,41,88,25,26,49,8,58,86,52,17
Vince Carter,BKN,28.8,Wing,2900,87,55,68,85,81,39,30,64,78,99,73,97,59,96,68,75,100,98,89,93,41,86,97,95,22,76,97,97,97,95,76,81,89,82,90,95,95,97,62,65,67,49,42,44,95,95,75,35,7,8,75,89,86,97,97,79,84,73,39,51,31,91,78,88,98,98,96,23,96,72,74,57,89,89,82,79,67,73,34,90,82,89,89,73,81,10,27,32,73,61,98,98,76,96,54,88,92,79,59,91,49,45
Sam Cassell,LAC,36.0,Point,2651,54,27,56,42,65,63,73,87,50,79,21,92,62,77,37,81,76,86,82,90,21,66,31,50,15,17,74,31,31,36,37,24,59,41,75,50,50,44,6,10,2,77,92,93,50,50,63,17,16,9,96,84,92,31,31,56,31,56,15,34,17,88,25,85,86,86,91,24,84,18,46,12,82,82,13,91,94,95,21,91,86,82,82,14,56,78,76,42,58,53,86,86,79,86,64,50,46,62,81,97,63,60
Kelvin Cato,ORL,31.2,Big,298,61,50,35,25,42,0,42,70,73,33,8,50,23,3,1,37,28,10,14,16,13,10,83,65,76,96,79,83,83,68,90,76,74,58,79,65,65,81,32,86,74,67,18,34,65,65,55,80,67,80,8,26,13,83,83,86,47,85,86,32,73,59,83,69,10,10,12,3,6,1,0,38,14,14,27,5,2,1,99,99,100,14,14,28,70,73,80,34,32,32,10,10,53,66,67,36,7,79,68,82,71,9
Tyson Chandler,CHI,23.1,Big,2107,78,39,51,96,89,25,60,9,94,49,46,8,81,49,77,3,83,78,79,32,88,41,69,65,19,61,85,69,69,65,62,92,79,91,35,65,65,93,41,17,19,66,33,42,65,65,91,33,20,18,11,67,42,69,69,52,85,41,59,86,59,53,66,48,78,78,65,91,55,86,91,45,79,79,57,83,46,64,32,88,79,79,79,62,22,54,36,28,75,60,78,78,84,40,85,32,65,32,94,30,91,93
Calbert Cheaney,GSW,34.3,Forward,413,8,37,63,28,10,83,27,0,2,7,0,17,10,38,68,60,6,8,2,39,78,43,20,22,64,42,30,20,20,32,20,3,43,43,48,22,22,27,6,84,49,67,17,31,22,22,32,98,23,79,57,21,32,20,20,24,1,42,29,17,45,62,6,65,8,8,9,67,38,22,45,15,2,2,2,64,73,80,2,47,11,2,2,27,63,91,91,11,21,14,8,8,5,22,6,29,2,43,4,82,6,17
Josh Childress,ATL,22.4,Wing,2193,85,75,64,90,72,86,76,48,88,32,54,13,99,31,65,22,67,90,82,21,88,95,17,62,11,15,40,17,17,37,23,31,34,19,68,62,62,86,78,39,59,47,10,14,62,62,38,27,72,55,54,53,53,17,17,15,62,13,19,12,38,17,49,12,90,90,75,94,72,97,95,79,82,82,19,62,83,84,85,88,92,82,82,80,70,19,30,60,47,52,90,90,71,44,74,18,48,18,86,42,88,100
Doug Christie,DAL,35.5,Wing,184,28,91,91,9,5,0,0,0,95,14,0,1,5,50,97,25,6,5,11,13,31,6,23,6,94,38,97,23,23,15,82,68,10,34,5,6,6,8,14,66,37,29,1,2,6,6,80,82,5,17,98,25,64,23,23,96,48,96,70,60,85,95,62,93,5,5,23,22,15,3,83,0,11,11,90,1,16,3,3,16,4,11,11,96,2,81,26,16,25,20,5,5,6,5,9,94,10,94,1,2,1,3
Speedy Claxton,NOP,27.5,Combo,1970,31,95,55,64,40,73,71,49,85,98,56,95,35,96,75,62,93,89,61,65,80,99,77,94,88,7,13,77,77,86,13,65,51,20,91,94,94,90,95,86,96,76,44,56,94,94,74,55,83,81,4,17,6,77,77,61,95,39,75,82,60,51,81,41,89,89,72,86,43,86,82,70,61,61,68,70,34,46,56,38,44,61,61,58,55,33,39,75,48,59,89,89,78,16,90,73,35,69,77,6,88,18
Mateen Cleaves,OKC,28.2,Point,200,88,0,19,2,4,96,0,0,77,60,0,38,40,83,85,52,81,57,50,73,49,54,86,88,3,99,15,86,86,63,98,97,96,99,31,88,88,39,18,97,89,26,81,70,88,88,96,21,10,7,59,34,43,86,86,13,86,10,60,92,1,2,80,8,57,57,44,69,57,49,29,82,50,50,10,3,8,2,98,93,98,50,50,63,22,32,21,77,74,78,57,57,41,53,44,6,13,11,90,70,83,44
Jarron Collins,UTA,26.9,Big,1701,20,53,32,44,15,84,8,59,85,87,23,22,63,80,96,68,84,35,17,56,52,69,97,68,90,90,82,97,97,88,92,91,98,95,92,68,68,86,22,26,16,65,65,71,68,68,79,63,6,14,88,51,72,97,97,42,43,32,83,29,63,23,41,27,35,35,24,31,19,40,31,61,17,17,32,64,36,43,15,19,13,17,17,10,59,77,78,68,51,57,35,35,59,22,76,35,53,53,72,13,78,27
Jason Collins,BKN,26.9,Big,1891,28,66,45,10,29,0,2,10,29,41,16,3,4,48,87,32,88,59,74,60,50,11,93,80,47,88,93,93,93,86,90,84,74,75,65,80,80,88,22,29,18,64,70,73,80,80,68,35,4,3,91,96,98,93,93,78,74,76,18,81,13,95,48,95,59,59,71,29,51,17,14,39,74,74,61,84,70,85,73,49,59,74,74,21,52,90,86,9,45,27,59,59,42,90,35,77,69,81,25,87,21,5
Nick Collison,OKC,25.0,Big,1438,34,16,40,75,58,74,27,54,37,32,87,49,75,68,76,47,85,81,60,30,97,53,68,71,45,25,51,68,68,68,25,42,39,17,83,71,71,76,59,52,54,23,59,42,71,71,86,37,27,24,48,37,40,68,68,39,61,39,29,55,28,55,29,54,81,81,39,98,76,91,94,43,60,60,43,37,89,75,56,40,43,60,60,84,12,77,47,35,24,25,81,81,95,52,88,60,79,34,97,32,95,76
Brian Cook,LAL,24.9,Big,1504,25,58,46,13,7,66,53,95,18,4,17,58,84,65,70,87,67,75,77,86,32,23,41,26,57,58,54,41,41,25,72,87,64,74,46,26,26,29,42,7,11,71,33,48,26,26,91,14,12,6,64,70,72,41,41,71,87,42,50,58,25,75,87,58,75,75,86,35,44,24,62,7,77,77,78,40,70,61,62,73,74,77,77,21,28,85,69,13,75,51,75,75,29,46,27,8,28,11,69,72,54,89
Jamal Crawford,NYK,25.6,Combo,2465,62,45,98,49,80,82,20,72,71,47,51,62,82,55,42,58,42,63,64,64,28,93,23,14,75,45,22,23,23,20,17,66,20,42,13,14,14,5,72,35,50,78,23,41,14,14,41,29,75,60,16,66,45,23,23,88,62,85,58,40,67,91,54,86,63,63,61,22,11,32,10,83,64,64,61,92,51,82,64,14,28,64,64,7,75,47,62,84,80,83,63,63,92,26,95,87,71,86,88,17,90,51
Austin Croshere,IND,30.5,Forward,1138,18,18,53,62,87,58,72,98,42,48,23,23,100,53,75,45,69,78,89,78,6,48,44,40,50,53,74,44,44,31,75,54,60,43,75,40,40,36,53,18,28,91,38,68,40,40,83,52,14,19,71,46,56,44,44,68,65,56,63,38,56,70,58,60,78,78,82,8,9,52,6,97,89,89,80,54,69,68,24,84,74,89,89,65,56,10,15,78,82,82,78,78,62,33,64,76,36,90,49,43,43,92
