player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Ryan Anderson,ORL,23.5,Big,1956,12,50,81,86,14,81,27,98,22,31,63,70,89,29,22,96,98,98,93,93,94,24,68,46,89,43,31,68,45,61,44,53,27,79,41,55,12,18,84,83,90,28,13,91,69,22,66,49,68,71,54,70,50,71,39,74,28,72,98,93,94,95,93,88,85,74,42,66,56,27,60,52,88,3,1,0,98,96,97,98,87,90,87,89,36,93,67,95,59,83,31,17,35,20,83,79,86,24,2,20,2,97,98,99,53,87,30,92,57,88
Carmelo Anthony,NYK,27.4,Forward,1871,25,54,54,50,56,100,38,74,71,96,42,98,58,94,75,75,47,74,49,58,63,95,15,27,9,50,62,15,13,68,17,75,63,81,64,71,47,63,15,21,11,65,49,71,66,18,25,18,15,21,28,34,26,9,44,23,18,27,74,66,43,82,74,90,16,85,20,11,11,42,58,52,93,59,70,73,3,7,3,74,83,68,79,78,83,75,78,50,70,44,33,52,60,58,29,54,54,60,54,79,67,23,46,31,42,51,96,94,96,96
Joel Anthony,MIA,29.2,Big,1342,84,61,60,53,5,0,15,53,84,8,14,1,88,1,2,13,79,80,95,43,58,11,56,41,25,48,98,56,38,70,61,47,46,52,61,29,49,36,50,35,34,26,36,45,36,88,77,88,56,75,54,77,21,46,35,84,43,85,80,84,44,77,36,37,47,70,82,92,95,57,97,96,36,67,45,54,36,67,58,80,80,94,51,82,74,53,67,93,42,87,80,52,4,46,0,0,0,81,79,2,24,0,0,0,88,0,42,43,24,0
Gilbert Arenas,MEM,29.8,Point,210,50,84,0,13,53,0,0,0,27,8,0,13,67,2,6,56,75,52,53,21,53,45,84,57,81,41,80,84,77,73,22,20,6,63,78,55,3,8,7,98,86,5,19,82,57,49,98,94,84,63,26,69,56,1,60,72,66,87,52,28,44,50,98,45,100,83,13,90,44,53,32,34,2,39,20,18,90,99,98,52,14,70,32,95,6,99,2,90,3,83,81,11,97,94,0,35,48,9,5,47,9,19,98,97,95,42,8,92,19,20
Trevor Ariza,NOP,26.3,Wing,1346,87,95,84,69,88,81,96,41,66,67,51,58,29,84,88,16,31,61,67,75,28,16,13,10,62,19,79,13,51,41,14,27,20,53,20,71,6,17,67,25,36,11,28,45,32,99,87,98,13,2,13,2,7,10,16,5,28,4,61,69,37,55,20,39,17,24,62,90,85,60,46,54,63,42,21,19,85,58,71,61,63,59,65,62,84,59,59,60,58,27,31,21,35,24,70,19,42,87,47,46,49,37,25,24,36,43,61,59,33,39
Omer Asik,CHI,25.3,Big,874,90,75,24,96,78,94,20,8,95,70,68,20,26,37,60,4,44,13,20,15,70,15,88,96,90,28,16,88,89,10,83,77,46,92,99,15,77,50,67,77,81,84,11,26,13,49,60,58,88,75,77,54,34,61,19,78,87,65,13,10,81,30,17,74,5,14,35,10,14,96,34,75,24,28,59,44,65,79,78,13,77,20,87,49,57,36,83,6,92,37,15,25,4,8,0,0,0,99,4,7,1,0,0,0,40,0,45,34,1,0
D.J. Augustin,CHA,24.0,Point,1404,13,19,95,53,11,0,58,93,52,66,27,64,45,81,81,61,51,82,85,64,53,40,12,24,27,19,38,12,25,26,5,10,2,72,37,60,46,54,42,26,28,26,13,93,73,57,42,45,12,24,16,35,39,52,30,25,7,39,82,83,42,39,24,41,15,32,39,69,59,98,95,98,68,61,12,19,67,65,68,82,70,38,81,13,69,6,92,36,94,31,22,2,64,28,36,43,44,70,45,22,16,61,69,66,19,46,53,66,39,73
Gustavo Ayon,NOP,26.6,Big,1042,65,98,39,45,45,89,67,32,30,42,91,34,74,81,91,43,70,63,65,40,63,30,61,76,92,5,27,61,90,13,39,3,4,16,88,80,18,45,95,21,65,47,58,56,58,68,33,43,61,39,81,32,20,47,20,54,82,56,63,63,36,66,61,64,51,40,43,62,50,60,26,37,98,26,4,5,65,42,48,63,54,63,38,79,55,60,33,58,24,79,59,58,48,50,0,0,0,72,39,40,32,0,0,0,80,0,12,9,23,0
Luke Babbitt,POR,22.4,Forward,468,6,4,27,25,58,0,0,0,10,27,0,35,73,19,13,73,3,29,19,30,77,35,0,5,1,13,49,0,7,10,31,4,42,3,2,82,56,76,34,3,4,31,48,77,71,36,48,42,0,2,12,9,33,33,36,3,11,11,29,26,70,87,42,81,8,53,42,4,8,71,40,49,7,86,28,58,46,94,88,29,61,59,55,12,85,9,92,85,92,85,81,63,6,15,97,91,95,6,63,25,35,73,98,92,10,95,46,100,100,52
Leandro Barbosa,IND,28.9,Wing,413,0,80,49,60,25,0,66,33,45,47,91,82,34,79,62,72,55,69,56,21,96,63,34,70,30,33,2,34,83,32,11,9,34,5,80,27,96,82,45,31,30,26,41,88,80,73,22,35,34,3,30,3,6,20,6,6,38,9,69,55,96,90,71,76,45,37,17,25,22,77,89,91,75,52,10,13,75,67,73,69,57,83,23,41,93,15,70,81,48,37,47,9,3,3,89,83,91,75,48,41,39,41,45,39,13,93,70,83,53,64
Leandro Barbosa,TOR,28.9,Combo,925,53,56,11,67,11,82,51,63,49,40,76,78,64,13,7,67,53,52,6,73,96,97,57,43,94,11,10,57,31,7,34,13,3,59,8,9,98,77,32,59,53,48,6,88,50,89,27,53,57,93,57,97,72,27,89,92,47,92,52,9,99,93,76,56,81,9,0,0,0,76,91,93,83,2,65,13,54,62,59,52,80,85,71,58,79,11,84,68,90,62,67,80,18,38,34,78,62,71,33,67,62,76,13,24,53,69,11,16,11,27
J.J. Barea,MIN,27.3,Point,1022,0,8,80,36,73,0,64,19,72,48,36,84,52,89,69,44,37,51,62,65,11,75,32,32,25,41,89,32,38,65,56,33,56,22,83,59,19,29,11,43,22,41,93,49,83,32,19,18,32,62,43,55,66,62,57,53,51,50,51,72,20,54,17,32,21,14,45,68,48,82,75,86,81,86,2,12,46,72,66,51,41,66,27,27,93,32,53,83,36,56,56,27,16,17,61,80,79,75,72,5,19,55,61,59,36,79,81,80,86,88
Andrea Bargnani,TOR,26.0,Forward,1030,31,6,96,23,60,56,79,100,85,98,40,92,71,63,35,63,68,83,83,83,21,77,31,29,39,16,85,31,33,18,15,35,11,77,26,73,39,55,52,64,65,16,91,74,90,72,11,21,31,32,23,41,46,13,70,36,31,40,83,93,15,6,33,13,85,80,87,87,94,48,49,48,22,51,71,68,41,66,58,83,20,6,20,40,5,39,19,9,16,50,38,88,83,88,0,31,38,27,75,94,85,8,58,38,60,38,44,42,33,65
Matt Barnes,LAL,31.6,Wing,1429,96,27,6,99,97,88,90,30,76,54,34,34,79,70,82,19,59,73,80,44,55,58,33,34,38,82,23,33,16,69,80,38,38,41,66,44,23,27,58,33,35,65,14,90,68,48,13,17,33,69,91,64,40,60,53,81,84,67,73,80,51,97,78,79,63,45,83,70,85,70,55,68,74,46,20,20,76,55,65,73,59,94,38,19,90,3,82,92,79,81,49,27,91,42,36,49,49,94,39,3,5,71,34,46,91,46,13,14,4,3
Brandon Bass,BOS,26.5,Big,1850,40,25,86,14,22,70,40,92,32,43,24,61,43,31,25,90,74,87,84,65,63,43,32,39,12,71,63,32,20,88,69,80,76,77,40,42,9,10,66,97,96,7,89,71,87,42,59,54,32,46,48,41,44,30,31,53,41,52,87,85,59,50,65,51,84,50,41,96,91,66,78,83,33,27,86,72,63,36,42,87,47,59,48,6,63,4,84,52,85,36,16,63,92,94,0,0,0,15,37,96,92,0,0,0,38,0,17,55,25,0
Tony Battie,PHI,35.7,Big,286,25,11,50,2,78,92,14,0,2,20,0,3,3,65,93,96,74,22,42,21,30,13,97,85,64,92,60,97,86,91,69,90,85,90,59,88,81,94,6,49,16,70,4,41,11,40,93,87,97,79,36,75,12,49,5,97,48,96,22,40,7,41,6,22,1,71,22,53,33,81,35,50,10,75,56,72,57,79,76,22,64,51,61,79,48,72,42,28,47,3,100,6,62,16,0,0,0,2,88,95,100,0,81,76,5,0,2,36,1,0
Shane Battier,MIA,33.1,Wing,1451,94,86,41,84,9,62,49,8,5,44,34,5,30,33,72,61,31,39,14,69,78,41,42,25,79,75,20,42,45,66,86,59,82,23,24,73,33,53,82,9,24,89,73,26,47,23,10,9,42,20,87,11,55,48,43,13,91,8,39,26,82,15,69,65,62,13,46,41,45,64,3,8,25,33,16,14,98,82,92,39,36,2,72,24,6,59,52,3,74,59,15,65,100,82,48,14,41,22,74,2,7,97,71,94,58,41,7,15,34,28
Nicolas Batum,POR,22.9,Wing,1747,97,59,72,90,72,0,67,80,61,92,70,56,91,28,19,39,50,75,71,59,57,79,17,25,72,17,19,17,8,31,39,30,10,77,57,24,20,12,6,85,47,26,50,69,65,55,54,57,17,90,94,84,47,88,20,96,91,94,75,76,72,52,59,65,43,27,73,68,74,32,90,77,62,18,45,23,76,60,67,75,36,48,44,28,42,29,49,64,60,90,75,16,31,20,44,90,82,74,17,21,13,73,56,63,83,82,24,30,7,53
Jerryd Bayless,TOR,23.2,Combo,684,42,58,13,27,67,91,78,74,87,87,13,87,87,89,78,58,64,86,79,32,91,85,18,19,69,27,11,18,11,28,37,85,68,93,54,7,49,11,9,38,19,65,18,25,15,90,69,84,18,31,20,37,5,30,3,70,10,80,86,83,91,69,71,63,68,53,33,45,39,82,94,96,62,20,41,24,84,52,67,86,54,70,43,25,54,15,77,81,76,82,38,93,38,51,100,81,90,38,2,82,49,27,78,60,33,90,49,71,69,58
Michael Beasley,MIN,22.8,Forward,1043,52,2,65,35,75,0,60,9,35,33,50,83,42,35,15,25,39,27,39,36,45,21,66,74,40,36,79,66,69,43,31,49,33,70,38,66,46,58,91,88,94,60,70,63,73,43,13,17,66,64,45,70,27,65,38,82,72,84,27,30,57,39,39,56,32,37,84,77,87,39,17,20,31,91,47,80,69,22,33,27,51,27,51,56,70,69,45,45,40,60,46,54,79,79,85,80,90,25,96,67,94,44,33,33,40,87,88,77,83,94
Rodrigue Beaubois,DAL,23.7,Combo,1069,96,87,33,53,89,0,40,69,29,78,87,67,42,60,47,80,55,79,87,70,46,38,21,45,33,7,54,21,32,5,40,31,21,57,94,37,3,5,63,49,52,31,11,89,62,32,67,55,21,51,62,49,12,41,13,76,42,77,79,82,47,40,65,28,95,76,83,76,88,71,57,66,52,31,62,49,68,44,50,79,54,58,46,83,77,73,36,61,27,60,80,71,44,49,66,25,28,69,76,29,40,51,44,44,73,31,69,40,89,62
Marco Belinelli,NOP,25.6,Combo,1944,13,18,73,22,42,0,73,43,27,36,82,16,67,2,4,96,20,49,60,74,38,2,11,22,10,10,72,11,43,22,35,17,7,55,50,83,10,38,21,52,29,19,49,58,55,81,68,78,11,7,52,4,5,45,4,17,50,13,49,60,51,27,12,25,13,34,45,81,70,87,43,68,11,36,68,57,88,76,84,49,24,47,15,14,57,23,46,72,34,69,62,42,49,47,52,72,74,24,11,78,53,91,64,80,40,74,2,4,2,29
Raja Bell,UTA,35.1,Wing,794,9,8,9,5,4,0,17,0,10,66,91,6,96,20,59,59,47,66,77,93,4,17,26,24,27,41,34,26,30,43,74,45,59,34,11,8,60,17,54,58,55,62,5,21,5,67,99,97,26,45,41,19,14,2,6,62,71,44,66,82,4,10,22,5,84,69,55,79,72,74,90,91,12,54,77,75,87,54,70,66,31,46,53,61,41,73,20,77,36,97,100,95,64,82,79,65,76,19,3,72,37,82,78,82,96,76,1,2,2,3
Mike Bibby,NYK,33.5,Point,522,61,59,34,14,88,0,50,0,2,9,0,2,11,23,86,88,13,34,32,97,0,39,12,2,75,92,44,12,3,89,73,54,64,38,45,21,36,22,30,1,1,59,59,56,59,60,23,32,12,82,45,70,95,84,87,39,49,36,34,61,0,5,7,1,85,46,2,72,27,51,65,63,1,21,88,72,89,94,94,34,9,18,21,27,12,41,9,52,18,17,2,0,11,3,89,12,33,0,0,48,5,98,97,98,0,35,0,92,0,17
Andris Biedrins,GSW,25.6,Big,737,81,73,4,23,63,0,47,0,13,2,53,0,86,12,83,24,27,31,56,49,28,3,42,18,29,57,90,42,39,78,12,70,74,52,43,72,14,34,75,2,6,85,52,6,8,51,73,70,42,8,2,7,3,8,5,35,2,22,31,41,21,19,41,36,59,78,33,51,42,93,19,65,20,65,83,85,81,21,40,31,43,18,61,43,34,55,46,20,59,96,95,64,0,58,0,0,0,69,89,0,36,0,0,0,96,0,19,11,39,0
Chauncey Billups,LAC,35.1,Combo,605,33,4,84,2,47,0,0,89,78,98,9,71,91,56,44,76,79,62,54,54,44,68,80,75,20,69,77,80,87,53,15,13,36,7,62,75,98,97,32,12,15,10,70,49,60,98,55,87,80,76,16,84,79,58,89,40,21,44,62,58,41,35,45,34,66,24,19,66,43,57,62,64,57,36,31,25,21,84,69,62,54,48,60,45,12,59,64,64,63,47,9,9,33,20,38,81,79,4,24,47,29,80,100,100,4,79,22,51,42,56
Bismack Biyombo,CHA,19.2,Big,1377,95,7,56,34,50,30,71,12,86,66,66,18,27,11,17,22,47,31,34,16,82,31,71,84,15,41,75,71,73,64,21,65,47,74,71,75,78,83,77,57,70,48,32,63,50,27,70,54,71,36,31,44,6,11,16,76,50,72,31,22,88,77,72,75,58,29,13,33,24,15,76,61,64,85,16,43,75,33,45,31,26,75,22,54,96,48,25,46,25,34,43,32,14,22,0,0,0,68,75,19,37,0,0,0,34,0,43,24,66,0
DeJuan Blair,SAS,22.5,Big,1319,4,94,31,85,21,66,91,20,25,52,73,73,66,73,62,37,10,10,12,26,84,1,38,12,88,20,74,38,37,30,7,17,15,34,14,48,49,46,42,12,14,10,78,32,56,64,89,89,38,42,16,44,32,6,41,56,18,53,10,11,62,63,54,83,9,9,61,68,69,13,65,30,27,90,95,98,11,4,4,10,15,57,9,36,47,11,18,50,13,78,54,70,62,66,0,0,0,65,86,17,43,0,0,0,79,0,25,11,52,0
Steve Blake,LAL,31.7,Point,1234,22,38,61,8,5,0,83,21,6,13,0,3,53,19,73,25,38,43,47,36,50,33,42,33,73,53,39,42,34,40,45,62,44,74,70,62,15,26,45,48,43,20,53,78,75,22,72,53,42,27,50,23,20,89,23,40,49,33,43,45,48,41,63,43,75,22,53,76,71,79,15,31,32,8,28,8,97,86,94,43,18,42,8,3,21,0,59,54,59,75,31,6,89,73,43,47,58,8,8,61,25,100,81,94,50,56,5,92,5,36
Andray Blatche,WAS,25.2,Big,623,38,70,70,22,71,42,25,46,21,57,37,82,6,64,43,70,16,26,15,89,22,52,22,1,81,96,61,22,2,100,89,99,99,66,6,7,2,1,5,65,20,54,78,50,67,10,47,24,22,33,13,40,76,3,77,13,34,24,26,39,30,75,13,46,5,21,17,41,27,57,24,34,47,51,85,82,28,22,20,26,48,70,30,38,67,9,62,78,54,5,27,21,32,19,0,0,0,16,60,89,88,76,83,80,6,0,91,80,91,66
