player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
OG Anunoby,TOR,22.3,Forward,2062,76,88,60,68,45,91,79,25,25,24,72,20,83,35,51,48,63,69,52,69,21,92,48,50,10,49,98,48,52,48,17,43,32,65,85,88,75,89,19,16,11,32,79,53,75,25,57,44,48,39,33,40,43,7,54,44,57,43,69,49,14,69,56,36,73,65,22,82,43,32,55,45,64,60,44,57,45,37,38,69,90,68,90,84,76,89,80,47,78,89,56,19,71,32,57,66,78,93,16,23,12,81,15,45,85,79,41,45,43,39
Ryan Arcidiacono,CHI,25.6,Wing,896,7,49,19,43,49,77,43,17,19,82,0,22,54,74,94,19,92,68,57,63,68,32,93,91,71,39,90,93,92,41,29,20,34,24,50,19,91,50,88,91,95,71,22,45,27,74,36,49,93,82,39,86,82,48,86,72,39,77,68,47,61,92,72,62,69,22,89,81,92,96,13,40,53,64,61,68,17,50,37,68,82,93,74,52,64,31,85,82,85,60,48,19,45,19,72,65,75,28,61,33,42,75,73,81,18,81,44,44,81,63
Trevor Ariza,SAC,34.3,Forward,783,31,83,53,29,71,0,97,43,23,37,16,7,43,60,88,24,64,88,94,72,11,22,24,36,42,44,19,24,15,53,12,55,16,88,71,99,18,95,12,10,6,15,74,37,60,26,92,82,24,72,18,75,47,10,74,80,22,69,88,92,21,1,11,6,50,92,91,8,75,77,83,88,8,42,65,55,52,90,88,88,86,6,96,37,29,43,89,3,97,49,43,0,5,0,23,79,59,19,0,28,1,95,89,96,35,56,17,64,0,27
Trevor Ariza,POR,34.3,Wing,701,50,91,69,26,63,97,82,88,90,46,58,17,94,22,47,12,32,52,58,36,56,28,30,25,23,88,36,30,31,69,96,53,88,11,56,32,25,23,29,11,10,94,18,4,6,36,55,49,30,31,88,34,27,85,18,46,86,62,52,58,59,23,28,49,21,51,86,78,88,40,35,30,29,15,46,21,33,94,89,52,30,20,33,13,37,32,48,28,41,94,56,91,3,44,77,57,83,86,8,8,3,85,38,56,91,84,29,13,48,57
D.J. Augustin,ORL,32.0,Point,1419,2,16,90,33,4,0,49,93,82,63,25,33,67,51,78,63,82,42,42,26,37,81,92,84,90,82,26,92,83,94,90,94,81,90,86,35,59,40,70,88,89,43,99,37,95,8,13,4,92,56,76,54,33,66,35,65,85,66,42,36,28,88,84,58,92,31,64,54,60,62,29,35,86,47,38,37,74,15,28,42,39,86,27,68,48,69,27,57,18,20,24,16,51,29,23,63,46,45,43,59,51,53,61,55,22,48,63,59,82,63
Deandre Ayton,PHX,21.3,Big,1235,69,23,68,90,77,0,90,59,27,49,79,83,43,52,24,60,64,11,24,22,53,73,96,99,95,18,6,96,98,9,25,51,33,78,94,71,54,69,80,98,99,51,30,45,31,58,69,71,96,82,29,91,99,82,99,26,8,38,11,28,65,63,24,56,9,31,85,1,23,27,38,31,90,29,71,49,70,7,17,11,11,61,18,57,61,27,7,12,30,48,60,63,52,58,0,0,0,58,92,88,95,17,24,21,46,0,48,33,42,18
Dwayne Bacon,CHA,24.2,Wing,660,6,62,53,50,71,76,92,9,79,12,79,73,3,69,52,35,51,93,83,51,75,81,5,5,2,87,48,5,5,88,40,41,88,13,33,63,45,56,28,2,3,17,97,40,93,10,47,24,5,20,21,30,7,10,16,54,14,51,93,93,78,26,65,78,27,11,70,88,88,9,79,56,99,6,8,3,70,36,47,93,45,14,46,13,77,25,60,28,50,5,6,23,34,19,0,17,10,82,88,56,80,7,19,6,5,8,79,58,76,65
Marvin Bagley,SAC,20.6,Big,326,57,18,22,61,70,0,34,90,42,68,90,90,13,10,0,83,23,38,48,23,69,69,29,24,68,50,35,29,36,43,70,58,33,76,67,93,24,83,7,26,9,8,92,80,93,54,41,43,29,22,84,15,60,97,46,13,71,13,38,23,82,69,78,77,60,14,5,37,7,37,99,98,41,52,25,34,93,49,73,38,74,49,85,10,27,19,92,67,96,10,43,19,79,28,0,4,3,53,90,77,88,20,41,35,24,3,80,67,64,18
Lonzo Ball,NOP,22.0,Combo,2014,86,73,85,79,92,74,89,4,9,24,18,56,44,86,97,2,37,78,75,58,42,18,11,15,3,3,100,11,5,40,64,71,5,100,24,32,53,42,7,52,20,31,9,33,11,65,97,98,11,19,69,25,67,92,77,3,41,4,78,28,20,23,11,1,78,13,4,15,5,43,99,99,23,31,91,71,43,59,54,78,100,59,99,100,99,99,94,36,94,73,50,12,15,12,31,86,76,41,9,42,14,88,88,92,26,76,20,41,44,42
Mohamed Bamba,ORL,21.5,Big,859,99,46,30,77,68,55,98,29,24,25,27,54,26,40,32,65,73,75,75,49,77,16,55,47,67,67,89,55,65,65,74,52,51,54,29,38,82,58,96,35,69,46,73,86,86,48,13,17,55,58,73,41,74,33,80,45,91,25,75,44,82,64,79,84,53,82,48,46,45,68,54,64,63,30,27,24,62,64,67,75,89,69,83,81,57,87,83,73,72,32,32,10,39,13,0,73,60,51,18,73,30,49,69,63,32,57,76,90,50,18
J.J. Barea,DAL,35.3,Point,388,6,0,71,61,41,0,86,0,29,35,41,82,20,96,76,43,17,10,15,5,64,48,65,51,97,29,23,65,81,19,63,69,66,52,84,64,32,50,3,38,11,77,64,3,16,65,50,56,65,21,40,31,69,64,88,6,38,7,10,10,90,57,55,79,16,39,39,63,46,23,6,6,92,74,17,46,24,18,14,10,23,30,25,8,21,11,45,3,49,29,65,4,37,8,0,38,52,67,45,47,39,33,63,53,27,52,90,90,96,86
Harrison Barnes,SAC,27.4,Forward,2474,9,9,100,45,32,64,15,58,83,77,27,63,61,61,47,80,28,7,20,16,3,22,86,36,8,100,100,86,48,99,94,94,100,1,92,16,7,7,25,9,9,96,57,1,6,68,22,33,86,94,20,95,96,53,97,72,15,85,7,40,12,42,16,91,1,3,14,14,10,91,84,90,81,13,1,2,31,96,93,7,4,3,1,2,2,2,26,20,25,53,45,43,57,45,45,80,75,68,89,41,71,36,23,17,45,74,72,53,77,76
RJ Barrett,NYK,19.4,Wing,1678,42,51,73,66,81,87,81,5,92,84,46,86,12,69,28,27,88,95,95,78,12,76,49,59,21,56,39,49,54,57,95,19,32,26,90,10,45,12,69,33,44,43,26,32,23,66,86,87,49,64,97,46,88,67,82,43,95,30,95,97,22,59,13,14,37,56,56,33,42,92,83,91,64,2,0,1,36,100,100,95,59,90,52,18,64,38,77,97,67,11,19,17,25,15,26,14,19,92,68,53,58,23,8,6,19,20,87,90,82,46
Will Barton,DEN,28.8,Wing,1903,70,56,81,88,90,0,95,37,45,62,69,77,44,80,76,69,79,64,57,56,89,13,78,56,90,74,35,78,61,70,79,81,86,61,56,60,30,47,60,21,27,96,29,1,4,37,43,38,78,74,25,75,93,21,93,46,18,45,64,46,86,80,58,73,28,36,77,17,48,92,53,79,11,32,74,55,39,88,83,64,67,75,59,49,36,30,75,53,68,51,41,31,93,57,94,39,55,66,73,55,65,12,45,30,51,55,85,78,87,91
Keita Bates-Diop,MIN,23.8,Big,617,40,48,99,10,15,0,23,38,74,11,36,39,26,38,38,99,53,33,57,42,66,41,68,81,18,45,76,68,81,53,65,40,70,22,86,75,63,78,60,48,52,49,25,53,34,34,82,73,68,60,51,67,67,43,72,43,55,50,33,60,59,84,42,57,30,81,50,12,33,46,56,57,31,86,64,83,85,14,30,33,12,78,10,52,30,64,4,92,6,18,35,4,26,2,85,23,55,45,36,39,27,85,64,73,15,54,36,51,70,74
Nicolas Batum,CHA,30.9,Wing,488,69,69,31,94,89,0,92,0,27,32,58,14,10,86,99,2,85,85,91,79,60,3,65,51,31,42,79,65,61,77,37,43,48,42,49,29,66,36,74,51,64,40,23,55,32,84,66,80,65,15,35,20,16,26,18,34,19,33,85,88,47,58,77,70,71,48,82,68,80,90,76,90,67,59,18,34,58,49,51,85,49,56,48,36,39,42,55,76,53,9,50,91,13,6,15,3,9,43,7,63,24,92,54,77,24,10,79,94,97,53
Aron Baynes,PHX,32.9,Big,934,35,5,16,54,47,60,42,56,20,79,65,76,53,70,47,73,74,61,78,85,4,67,74,62,40,54,66,74,41,63,92,55,55,56,80,18,25,13,35,81,72,29,38,47,38,53,86,82,74,85,92,76,41,96,21,93,73,90,61,87,4,86,14,6,65,92,21,31,22,51,58,60,94,36,63,46,35,11,11,61,48,99,39,40,97,54,54,99,43,56,30,95,21,88,5,67,57,37,48,27,33,55,83,76,58,55,23,48,30,18
Kent Bazemore,POR,30.3,Wing,1077,94,77,15,17,75,0,87,57,59,72,36,45,14,24,22,11,93,89,96,30,18,97,81,56,24,71,85,81,68,88,23,72,78,43,44,85,65,84,79,25,39,64,68,35,52,44,28,30,81,40,15,43,28,10,45,56,26,50,89,94,16,31,25,10,86,71,54,21,43,83,95,97,76,16,51,23,13,72,54,89,68,55,58,58,87,58,70,45,58,12,5,16,44,24,12,74,36,49,39,62,43,90,33,54,6,36,53,74,80,43
Kent Bazemore,SAC,30.3,Forward,556,51,92,7,28,93,0,63,35,75,88,72,73,45,49,21,47,82,99,97,84,45,95,7,33,17,14,17,7,14,50,16,48,43,59,67,11,7,5,8,74,48,67,35,47,36,23,58,43,7,24,28,29,42,12,43,20,8,20,99,99,50,67,45,80,9,88,87,78,89,78,89,93,51,82,21,61,85,27,44,99,97,73,96,89,97,79,92,77,93,36,13,48,19,28,46,99,90,84,56,53,51,72,11,21,12,89,52,35,85,35
Darius Bazley,OKC,19.4,Big,1072,54,21,98,8,43,43,38,39,35,7,8,34,7,8,9,80,54,41,65,20,36,39,62,50,60,60,39,62,74,69,22,65,68,55,34,37,41,35,61,78,78,29,24,88,58,43,69,66,62,14,9,17,16,26,18,31,7,30,41,67,44,60,37,58,25,60,76,65,76,18,81,55,53,43,86,70,63,24,31,41,20,58,19,45,32,48,19,72,17,8,6,14,48,15,23,58,47,34,43,54,41,83,65,73,4,47,53,80,28,89
Bradley Beal,WAS,26.3,Wing,2051,51,58,96,61,37,0,55,75,88,95,42,99,65,98,80,46,50,31,33,33,61,88,67,53,31,75,70,67,47,73,57,88,85,73,63,39,93,73,13,58,34,29,57,53,57,32,75,67,67,55,68,57,57,68,56,58,72,59,31,29,68,30,32,30,52,17,78,94,93,18,18,11,57,17,94,64,26,46,38,31,43,46,43,69,49,72,35,45,31,53,72,68,60,66,16,55,45,57,75,81,84,10,41,26,62,44,94,86,81,94
Malik Beasley,MIN,22.9,Wing,462,9,8,93,42,82,0,84,27,26,55,58,80,70,41,11,78,40,64,79,37,69,29,26,15,14,60,69,26,13,54,71,51,64,34,8,43,29,33,19,60,44,54,68,43,58,72,23,36,26,46,86,40,70,97,61,37,66,36,64,51,69,81,90,85,78,90,73,22,51,80,43,58,82,43,61,52,28,27,24,64,70,58,71,77,90,75,55,60,58,83,71,46,51,40,89,86,90,55,53,40,41,31,64,52,63,90,42,15,45,79
Malik Beasley,DEN,22.9,Wing,697,18,81,79,19,31,0,54,84,11,29,10,67,23,38,20,43,70,54,57,56,25,41,73,45,65,88,17,73,46,83,85,86,88,57,39,5,71,17,88,58,76,11,69,44,62,82,79,86,73,61,49,58,68,58,58,46,47,42,54,53,32,9,19,12,61,79,78,50,69,42,33,29,60,69,92,86,21,11,8,54,62,36,75,85,34,88,38,31,41,32,16,27,76,43,60,52,59,32,64,70,71,44,69,61,14,59,30,31,30,32
Marco Belinelli,SAS,33.6,Wing,833,2,2,94,6,44,0,67,67,31,69,47,52,30,54,48,97,83,96,56,99,94,35,33,37,51,21,46,33,58,6,98,48,80,13,36,97,51,95,18,7,6,85,31,85,58,38,6,6,33,22,74,10,88,94,55,4,11,4,96,89,97,2,40,92,6,8,97,20,73,97,72,93,54,10,100,90,19,9,6,96,64,0,80,65,13,83,66,1,72,28,37,29,50,39,50,46,52,8,21,99,85,54,74,69,12,50,8,3,5,60
Jordan Bell,MIN,24.8,Big,205,71,4,87,88,55,74,47,0,54,69,16,44,45,54,59,4,45,94,90,97,33,50,4,6,99,1,56,4,38,1,88,4,15,4,89,90,0,2,0,88,10,7,71,98,94,71,25,37,4,33,99,28,80,64,78,13,70,14,94,97,13,63,3,4,21,71,93,97,99,66,52,61,17,25,54,32,97,68,88,94,44,85,75,25,100,20,64,60,83,49,40,17,0,13,0,0,0,88,24,0,15,60,30,33,63,0,51,36,2,18
DeAndre' Bembry,ATL,25.3,Combo,881,89,95,33,83,79,0,44,2,64,6,17,3,20,20,52,3,54,58,37,38,55,91,47,79,22,40,18,47,80,15,50,79,56,82,58,49,75,63,85,55,75,65,25,38,25,67,54,60,47,6,61,6,28,49,27,8,49,7,58,40,77,22,76,77,55,20,19,67,39,93,39,65,59,89,36,77,32,23,21,58,72,14,86,97,21,97,32,16,48,55,47,88,2,83,10,6,9,100,39,2,12,80,9,15,91,9,17,9,12,2
Dragan Bender,GSW,22.0,Big,184,29,36,27,58,48,98,90,0,13,55,0,82,11,91,87,13,85,19,14,34,11,84,98,96,70,100,5,98,97,97,94,100,100,85,14,74,96,94,47,98,96,89,5,76,22,9,52,26,98,2,43,1,5,3,3,7,81,11,19,14,2,43,1,2,19,6,93,9,66,58,11,17,16,50,46,46,91,66,82,19,92,76,85,98,43,96,45,66,23,19,13,68,0,70,0,68,50,23,78,0,58,74,79,78,24,36,10,8,54,18
Davis Bertans,WAS,27.0,Forward,1570,67,29,47,11,49,88,56,92,13,87,47,64,97,52,33,81,86,87,25,94,71,100,64,47,41,90,74,64,31,97,84,82,86,53,39,70,44,63,16,66,43,64,17,34,19,76,63,75,64,81,89,84,76,32,71,49,82,61,87,67,63,44,46,47,44,45,49,64,57,55,28,32,88,99,62,97,23,1,1,87,79,58,86,88,50,87,53,27,67,95,33,49,33,37,100,91,93,1,15,43,17,11,100,97,27,93,9,23,19,63
Patrick Beverley,LAC,31.3,Point,1341,96,61,10,92,96,98,71,13,24,33,76,4,61,12,73,37,49,11,2,68,89,86,91,85,100,30,0,91,90,29,92,42,90,3,98,87,33,82,1,92,52,39,92,98,98,17,2,2,91,79,78,93,96,37,98,36,45,55,11,4,84,99,39,78,11,1,64,74,67,7,2,1,61,1,79,9,100,46,84,11,83,95,44,99,64,78,16,83,12,82,53,67,6,51,57,69,76,22,35,8,8,96,76,96,57,78,4,41,37,12
Khem Birch,ORL,27.1,Big,885,42,31,55,71,24,0,15,25,98,33,8,8,40,41,80,42,29,50,31,80,60,71,24,49,25,27,32,24,35,18,48,38,27,63,58,47,33,39,29,57,49,35,56,19,33,69,80,82,24,36,60,35,66,68,57,36,59,38,50,29,53,62,76,62,76,30,36,64,50,65,11,22,54,62,27,44,55,54,54,50,87,39,83,78,91,70,79,39,78,32,64,18,28,13,0,0,0,74,96,30,81,19,0,12,32,0,74,74,16,0
Goga Bitadze,IND,20.3,Big,407,90,13,15,32,18,0,11,0,28,20,0,45,13,26,27,24,23,10,26,5,92,5,71,59,32,82,97,71,79,77,18,65,80,31,64,40,11,20,34,54,47,58,9,3,2,57,99,99,71,29,5,47,12,74,28,66,8,80,10,8,86,96,89,93,47,14,45,87,65,39,55,51,86,92,62,87,51,2,2,10,61,85,54,44,96,42,70,68,61,13,89,60,77,75,0,0,4,31,76,96,94,44,54,49,51,4,21,42,17,18
