Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Christian Laettner,35.2,MIA,Big,130,15,-8.5,42,-1.3,6,-8.0%,37,+0.8%,15,-7.8,11,-5.5,45,-2.3
Rashard Lewis,25.2,SEA,Forward,311,74,+7.2,64,+2.7,18,-3.9%,62,-1.5%,54,+1.4,19,-2.8,75,+20.5
Shawn Marion,26.5,PHX,Forward,631,82,+9.6,62,+2.1,93,+8.2%,94,-6.1%,45,-0.3,78,+3.7,19,-24.4
Kenyon Martin,26.8,DEN,Big,163,83,+9.7,94,+15.7,15,-4.5%,49,-0.3%,16,-7.4,14,-3.8,29,-13.3
Antonio McDyess,30.2,DET,Big,493,43,-1.7,47,-0.3,46,+0.4%,30,+1.7%,42,-0.6,49,-0.0,43,-2.4
Tracy McGrady,25.4,HOU,Wing,301,61,+3.9,81,+7.4,1,-15.1%,9,+4.1%,67,+3.8,22,-2.1,80,+27.3
Andre Miller,28.6,DEN,Combo,183,98,+18.9,78,+6.7,78,+4.9%,89,-4.8%,35,-1.7,59,+1.2,20,-22.9
Brad Miller,28.6,SAC,Big,138,68,+5.6,34,-2.4,16,-4.3%,13,+3.7%,69,+5.3,2,-11.5,97,+83.3
Mike Miller,24.7,MEM,Wing,108,16,-8.4,17,-6.8,98,+14.1%,83,-3.9%,82,+7.6,94,+9.6,21,-22.2
Reggie Miller,39.2,IND,Wing,427,51,+1.3,25,-5.2,44,+0.2%,73,-2.6%,51,+1.1,61,+1.7,44,-2.3
Cuttino Mobley,29.2,SAC,Wing,158,3,-19.6,5,-15.8,74,+4.0%,68,-2.3%,86,+9.5,96,+12.3,18,-25.0
Nazr Mohammed,27.2,SAS,Big,529,12,-11.0,11,-10.5,63,+2.4%,70,-2.3%,53,+1.4,73,+3.2,31,-12.4
Alonzo Mourning,34.7,MIA,Big,252,29,-5.1,24,-5.3,53,+0.6%,34,+1.2%,39,-1.3,23,-1.9,60,+9.2
Dikembe Mutombo,38.4,HOU,Big,100,66,+5.1,68,+3.6,21,-3.7%,35,+1.2%,17,-7.1,62,+1.8,7,-45.6
Steve Nash,30.7,PHX,Point,610,90,+13.0,99,+20.1,11,-6.0%,24,+2.2%,9,-10.8,8,-6.0,32,-9.6
Andres Nocioni,24.9,CHI,Forward,197,4,-18.8,9,-11.7,34,-0.6%,76,-2.9%,0,-18.0,4,-7.9,11,-37.9
Dirk Nowitzki,26.4,DAL,Big,553,32,-4.6,46,-0.5,0,-22.5%,23,+2.2%,8,-11.4,0,-16.0,73,+19.0
Jermaine O'Neal,26.1,IND,Big,477,67,+5.4,77,+6.0,19,-3.8%,39,+0.7%,11,-10.0,10,-5.9,23,-21.2
Shaquille O'Neal,32.7,MIA,Big,428,56,+3.2,68,+3.4,11,-6.2%,44,+0.1%,40,-1.0,32,-1.3,54,+5.3
Scott Padgett,28.5,HOU,Big,102,52,+1.3,46,-0.7,73,+3.9%,45,+0.1%,92,+14.3,79,+3.8,89,+46.0
Tony Parker,22.5,SAS,Point,848,73,+7.2,83,+8.2,35,-0.5%,46,-0.1%,54,+1.6,61,+1.5,46,-1.5
Gary Payton,36.3,BOS,Point,238,93,+15.6,89,+13.2,69,+3.2%,82,-3.8%,50,+0.5,67,+2.1,37,-6.4
Paul Pierce,27.1,BOS,Wing,276,87,+11.0,92,+15.0,62,+2.0%,61,-1.4%,6,-12.9,50,+0.0,4,-58.1
Tayshaun Prince,24.7,DET,Wing,1016,80,+9.0,49,-0.2,91,+7.2%,52,-0.5%,89,+12.3,76,+3.5,92,+59.3
Vladimir Radmanovic,24.0,SEA,Forward,123,64,+4.7,76,+5.1,12,-5.2%,22,+2.3%,32,-2.6,11,-5.5,68,+16.1
Quentin Richardson,24.6,PHX,Wing,561,14,-8.5,25,-4.7,3,-12.1%,40,+0.6%,12,-9.1,9,-6.0,41,-3.5
Luke Ridnour,23.7,SEA,Point,374,25,-5.6,16,-7.3,48,+0.5%,75,-2.9%,75,+5.8,75,+3.4,61,+9.7
Glenn Robinson,31.8,SAS,Forward,102,18,-7.6,32,-3.2,27,-2.6%,79,-3.4%,26,-4.0,26,-1.7,30,-13.0
Michael Ruffin,27.8,WAS,Big,154,28,-5.3,38,-2.1,72,+3.8%,2,+8.4%,44,-0.5,52,+0.3,48,-0.3
Jerry Stackhouse,30.0,DAL,Wing,403,72,+6.9,67,+3.4,50,+0.5%,63,-1.7%,11,-9.6,51,+0.1,5,-48.9
Peja Stojakovic,27.4,SAC,Wing,201,63,+4.5,39,-2.0,28,-2.5%,0,+8.5%,52,+1.2,15,-3.8,75,+22.4
Amar'e Stoudemire,22.0,PHX,Big,599,25,-5.7,33,-2.4,40,+0.0%,32,+1.6%,58,+1.8,46,-0.2,64,+12.4
Bob Sura,31.6,HOU,Point,180,19,-7.4,11,-11.2,61,+1.8%,28,+2.0%,90,+12.7,38,-0.9,95,+67.9
Jason Terry,27.1,DAL,Point,499,78,+8.3,87,+11.8,29,-2.4%,58,-1.0%,21,-5.0,56,+1.1,16,-29.3
Etan Thomas,26.6,WAS,Big,126,20,-6.7,54,+0.2,46,+0.3%,3,+7.2%,34,-1.8,42,-0.5,38,-5.1
Kenny Thomas,27.3,SAC,Big,153,39,-3.1,14,-8.2,41,+0.0%,54,-0.6%,72,+5.5,68,+2.2,70,+17.0
Jamaal Tinsley,26.7,IND,Point,249,60,+3.8,58,+1.0,31,-1.7%,85,-4.0%,82,+7.5,71,+2.8,82,+28.0
Beno Udrih,22.3,SAS,Point,224,21,-6.0,23,-5.4,59,+1.7%,47,-0.3%,25,-4.0,30,-1.5,32,-11.4
Dwyane Wade,22.8,MIA,Combo,572,95,+16.8,82,+7.6,84,+6.6%,65,-1.8%,68,+4.7,68,+2.2,62,+10.5
Antoine Walker,28.2,BOS,Big,223,6,-15.4,3,-18.6,66,+2.9%,84,-3.9%,37,-1.7,75,+3.4,17,-26.8
Ben Wallace,30.1,DET,Big,973,48,-0.2,26,-4.6,87,+6.7%,77,-3.0%,83,+8.7,69,+2.3,87,+40.7
Rasheed Wallace,30.1,DET,Big,822,59,+3.6,72,+4.7,17,-4.0%,54,-0.6%,33,-2.1,39,-0.9,35,-8.1
Chris Webber,31.7,PHI,Big,185,41,-2.6,43,-1.2,39,-0.2%,64,-1.7%,76,+6.3,64,+1.9,84,+33.3
David Wesley,34.0,HOU,Wing,279,65,+4.8,10,-11.6,96,+9.9%,82,-3.7%,100,+29.3,96,+12.8,99,+132.6
Delonte West,21.3,BOS,Combo,100,18,-7.4,45,-0.8,4,-9.6%,4,+6.9%,24,-4.0,1,-13.8,91,+58.1
Damien Wilkins,24.8,SEA,Forward,132,10,-11.9,15,-7.7,77,+4.8%,32,+1.5%,38,-1.4,18,-3.0,59,+9.0
Jason Williams,29.0,MEM,Point,115,8,-14.0,19,-6.3,70,+3.2%,75,-2.8%,62,+3.0,89,+7.9,12,-37.5
Yao Ming,24.1,HOU,Big,219,33,-4.2,30,-3.6,76,+4.5%,66,-1.8%,87,+10.9,44,-0.2,90,+55.5
